annotator_id,trial_idx,true_category,chosen_category,true_label,chosen_label,correct_guess
0,0,horse,horse,7,7,1
0,1,airplane,airplane,0,0,1
0,2,frog,frog,6,6,1
0,3,truck,truck,9,9,1
0,4,dog,dog,5,5,1
0,5,automobile,automobile,1,1,1
0,6,horse,horse,7,7,1
0,7,airplane,airplane,0,0,1
0,8,cat,dog,3,5,0
0,9,bird,bird,2,2,1
0,10,horse,horse,7,7,1
0,11,bird,bird,2,2,1
0,12,horse,horse,7,7,1
0,13,truck,truck,9,9,1
0,14,frog,frog,6,6,1
0,15,ship,ship,8,8,1
0,16,ship,ship,8,8,1
0,17,ship,ship,8,8,1
0,18,horse,horse,7,7,1
0,19,truck,truck,9,9,1
0,20,deer,deer,4,4,1
0,21,bird,bird,2,2,1
0,22,cat,cat,3,3,1
0,23,dog,dog,5,5,1
0,24,airplane,airplane,0,0,1
0,25,airplane,airplane,0,0,1
0,26,bird,bird,2,2,1
0,27,ship,ship,8,8,1
0,28,automobile,automobile,1,1,1
0,29,ship,ship,8,8,1
0,30,bird,bird,2,2,1
0,31,airplane,airplane,0,0,1
0,32,horse,horse,7,7,1
0,33,bird,bird,2,2,1
0,34,airplane,airplane,0,0,1
0,35,airplane,bird,0,2,0
0,36,truck,truck,9,9,1
0,37,automobile,automobile,1,1,1
0,38,airplane,truck,0,9,0
0,39,dog,dog,5,5,1
0,40,automobile,automobile,1,1,1
0,41,dog,dog,5,5,1
0,42,airplane,airplane,0,0,1
0,43,cat,cat,3,3,1
0,44,dog,dog,5,5,1
0,45,airplane,airplane,0,0,1
0,46,bird,bird,2,2,1
0,47,airplane,airplane,0,0,1
0,48,dog,dog,5,5,1
0,49,cat,cat,3,3,1
0,50,horse,horse,7,7,1
0,51,deer,deer,4,4,1
0,52,automobile,automobile,1,1,1
0,53,deer,deer,4,4,1
0,54,bird,bird,2,2,1
0,55,dog,dog,5,5,1
0,56,automobile,automobile,1,1,1
0,57,dog,dog,5,5,1
0,58,bird,bird,2,2,1
0,59,airplane,airplane,0,0,1
0,60,horse,horse,7,7,1
0,61,bird,bird,2,2,1
0,62,bird,bird,2,2,1
0,63,automobile,automobile,1,1,1
0,64,ship,ship,8,8,1
0,65,dog,horse,5,7,0
0,66,cat,bird,3,2,0
0,67,dog,dog,5,5,1
0,68,cat,dog,3,5,0
0,69,airplane,airplane,0,0,1
0,70,frog,frog,6,6,1
0,71,automobile,automobile,1,1,1
0,72,dog,dog,5,5,1
0,73,bird,bird,2,2,1
0,74,ship,airplane,8,0,0
0,75,bird,bird,2,2,1
0,76,dog,dog,5,5,1
0,77,cat,cat,3,3,1
0,78,airplane,airplane,0,0,1
0,79,ship,ship,8,8,1
0,80,ship,ship,8,8,1
0,81,ship,ship,8,8,1
0,82,frog,frog,6,6,1
0,83,dog,dog,5,5,1
0,84,ship,ship,8,8,1
0,85,automobile,automobile,1,1,1
0,86,truck,truck,9,9,1
0,87,ship,ship,8,8,1
0,88,automobile,automobile,1,1,1
0,89,cat,bird,3,2,0
0,90,frog,frog,6,6,1
0,91,airplane,airplane,0,0,1
0,92,ship,ship,8,8,1
0,93,horse,horse,7,7,1
0,94,dog,dog,5,5,1
0,95,cat,cat,3,3,1
0,96,automobile,automobile,1,1,1
0,97,ship,ship,8,8,1
0,98,automobile,automobile,1,1,1
0,99,deer,deer,4,4,1
0,100,airplane,airplane,0,0,1
0,101,ship,ship,8,8,1
0,102,horse,horse,7,7,1
0,103,cat,cat,3,3,1
0,104,deer,deer,4,4,1
0,105,automobile,automobile,1,1,1
0,106,deer,deer,4,4,1
0,107,cat,cat,3,3,1
0,108,bird,dog,2,5,0
0,109,bird,bird,2,2,1
0,110,automobile,automobile,1,1,1
0,111,deer,deer,4,4,1
0,112,horse,horse,7,7,1
0,113,deer,deer,4,4,1
0,114,truck,truck,9,9,1
0,115,cat,dog,3,5,0
0,116,deer,deer,4,4,1
0,117,deer,deer,4,4,1
0,118,bird,bird,2,2,1
0,119,ship,ship,8,8,1
0,120,automobile,automobile,1,1,1
0,121,bird,bird,2,2,1
0,122,ship,ship,8,8,1
0,123,dog,dog,5,5,1
0,124,bird,bird,2,2,1
0,125,deer,deer,4,4,1
0,126,airplane,airplane,0,0,1
0,127,dog,dog,5,5,1
0,128,truck,truck,9,9,1
0,129,automobile,automobile,1,1,1
0,130,dog,dog,5,5,1
0,131,automobile,automobile,1,1,1
0,132,airplane,airplane,0,0,1
0,133,bird,bird,2,2,1
0,134,horse,horse,7,7,1
0,135,horse,horse,7,7,1
0,136,automobile,automobile,1,1,1
0,137,airplane,airplane,0,0,1
0,138,dog,dog,5,5,1
0,139,deer,deer,4,4,1
0,140,frog,frog,6,6,1
0,141,truck,truck,9,9,1
0,142,horse,horse,7,7,1
0,143,frog,frog,6,6,1
0,144,airplane,airplane,0,0,1
0,145,deer,deer,4,4,1
0,146,airplane,airplane,0,0,1
0,147,dog,dog,5,5,1
0,148,automobile,automobile,1,1,1
0,149,bird,bird,2,2,1
0,150,horse,horse,7,7,1
0,151,airplane,airplane,0,0,1
0,152,frog,frog,6,6,1
0,153,deer,deer,4,4,1
0,154,horse,horse,7,7,1
0,155,dog,dog,5,5,1
0,156,dog,dog,5,5,1
0,157,deer,deer,4,4,1
0,158,horse,horse,7,7,1
0,159,ship,ship,8,8,1
0,160,automobile,automobile,1,1,1
0,161,ship,ship,8,8,1
0,162,bird,bird,2,2,1
0,163,deer,deer,4,4,1
0,164,truck,truck,9,9,1
0,165,cat,cat,3,3,1
0,166,automobile,automobile,1,1,1
0,167,automobile,automobile,1,1,1
0,168,deer,deer,4,4,1
0,169,truck,truck,9,9,1
0,170,truck,automobile,9,1,0
0,171,cat,cat,3,3,1
0,172,horse,horse,7,7,1
0,173,ship,ship,8,8,1
0,174,bird,bird,2,2,1
0,175,frog,frog,6,6,1
0,176,airplane,airplane,0,0,1
0,177,cat,cat,3,3,1
0,178,deer,deer,4,4,1
0,179,bird,bird,2,2,1
0,180,airplane,airplane,0,0,1
0,181,airplane,airplane,0,0,1
0,182,bird,bird,2,2,1
0,183,bird,bird,2,2,1
0,184,dog,dog,5,5,1
0,185,horse,horse,7,7,1
0,186,automobile,automobile,1,1,1
0,187,cat,cat,3,3,1
0,188,airplane,airplane,0,0,1
0,189,bird,bird,2,2,1
0,190,airplane,airplane,0,0,1
0,191,airplane,airplane,0,0,1
0,192,horse,horse,7,7,1
0,193,ship,ship,8,8,1
0,194,frog,frog,6,6,1
0,195,bird,bird,2,2,1
0,196,ship,ship,8,8,1
0,197,dog,dog,5,5,1
0,198,airplane,airplane,0,0,1
0,199,dog,dog,5,5,1
0,200,cat,cat,3,3,1
0,201,deer,deer,4,4,1
0,202,automobile,automobile,1,1,1
0,203,horse,horse,7,7,1
0,204,truck,truck,9,9,1
0,205,dog,dog,5,5,1
0,206,dog,dog,5,5,1
0,207,ship,ship,8,8,1
0,208,deer,deer,4,4,1
0,209,truck,truck,9,9,1
0,210,cat,cat,3,3,1
0,211,horse,horse,7,7,1
0,212,truck,truck,9,9,1
0,213,automobile,automobile,1,1,1
0,214,truck,truck,9,9,1
0,215,dog,dog,5,5,1
