subj,session,trial,rt,object_response,category,condition,imagename
resnet50,7,1,NaN,knife,knife,c100,7681_cop_dnn_c100_knife_10_n03041632_4879.png
resnet50,7,2,NaN,knife,knife,c100,7682_cop_dnn_c100_knife_10_n03041632_47410.png
resnet50,7,3,NaN,knife,knife,c100,7683_cop_dnn_c100_knife_10_n03041632_2184.png
resnet50,7,4,NaN,knife,knife,c100,7684_cop_dnn_c100_knife_10_n03041632_2630.png
resnet50,7,5,NaN,knife,knife,c100,7685_cop_dnn_c100_knife_10_n03041632_41381.png
resnet50,7,6,NaN,knife,knife,c100,7686_cop_dnn_c100_knife_10_n03041632_7279.png
resnet50,7,7,NaN,knife,knife,c100,7687_cop_dnn_c100_knife_10_n03041632_4808.png
resnet50,7,8,NaN,knife,knife,c100,7688_cop_dnn_c100_knife_10_n03041632_20433.png
resnet50,7,9,NaN,knife,knife,c100,7689_cop_dnn_c100_knife_10_n03041632_21590.png
resnet50,7,10,NaN,knife,knife,c100,7690_cop_dnn_c100_knife_10_n03041632_38535.png
resnet50,7,11,NaN,keyboard,keyboard,c100,7691_cop_dnn_c100_keyboard_10_n04505470_6426.png
resnet50,7,12,NaN,keyboard,keyboard,c100,7692_cop_dnn_c100_keyboard_10_n04505470_10558.png
resnet50,7,13,NaN,keyboard,keyboard,c100,7693_cop_dnn_c100_keyboard_10_n04505470_3286.png
resnet50,7,14,NaN,keyboard,keyboard,c100,7694_cop_dnn_c100_keyboard_10_n03085013_18621.png
resnet50,7,15,NaN,keyboard,keyboard,c100,7695_cop_dnn_c100_keyboard_10_n04505470_4507.png
resnet50,7,16,NaN,keyboard,keyboard,c100,7696_cop_dnn_c100_keyboard_10_n04505470_4944.png
resnet50,7,17,NaN,keyboard,keyboard,c100,7697_cop_dnn_c100_keyboard_10_n03085013_23843.png
resnet50,7,18,NaN,keyboard,keyboard,c100,7698_cop_dnn_c100_keyboard_10_n04505470_2608.png
resnet50,7,19,NaN,keyboard,keyboard,c100,7699_cop_dnn_c100_keyboard_10_n03085013_25443.png
resnet50,7,20,NaN,keyboard,keyboard,c100,7700_cop_dnn_c100_keyboard_10_n03085013_18979.png
resnet50,7,21,NaN,elephant,elephant,c100,7701_cop_dnn_c100_elephant_10_n02504458_3066.png
resnet50,7,22,NaN,elephant,elephant,c100,7702_cop_dnn_c100_elephant_10_n02504458_6130.png
resnet50,7,23,NaN,elephant,elephant,c100,7703_cop_dnn_c100_elephant_10_n02504013_6034.png
resnet50,7,24,NaN,elephant,elephant,c100,7704_cop_dnn_c100_elephant_10_n02504013_817.png
resnet50,7,25,NaN,elephant,elephant,c100,7705_cop_dnn_c100_elephant_10_n02504013_6121.png
resnet50,7,26,NaN,elephant,elephant,c100,7706_cop_dnn_c100_elephant_10_n02504013_10390.png
resnet50,7,27,NaN,elephant,elephant,c100,7707_cop_dnn_c100_elephant_10_n02504013_242.png
resnet50,7,28,NaN,elephant,elephant,c100,7708_cop_dnn_c100_elephant_10_n02504013_2924.png
resnet50,7,29,NaN,elephant,elephant,c100,7709_cop_dnn_c100_elephant_10_n02504458_2494.png
resnet50,7,30,NaN,elephant,elephant,c100,7710_cop_dnn_c100_elephant_10_n02504013_1844.png
resnet50,7,31,NaN,bicycle,bicycle,c100,7711_cop_dnn_c100_bicycle_10_n02835271_8617.png
resnet50,7,32,NaN,bicycle,bicycle,c100,7712_cop_dnn_c100_bicycle_10_n02835271_14820.png
resnet50,7,33,NaN,bicycle,bicycle,c100,7713_cop_dnn_c100_bicycle_10_n02835271_14228.png
resnet50,7,34,NaN,bicycle,bicycle,c100,7714_cop_dnn_c100_bicycle_10_n02835271_8109.png
resnet50,7,35,NaN,bicycle,bicycle,c100,7715_cop_dnn_c100_bicycle_10_n03792782_50904.png
resnet50,7,36,NaN,bicycle,bicycle,c100,7716_cop_dnn_c100_bicycle_10_n03792782_42345.png
resnet50,7,37,NaN,bicycle,bicycle,c100,7717_cop_dnn_c100_bicycle_10_n03792782_4659.png
resnet50,7,38,NaN,bicycle,bicycle,c100,7718_cop_dnn_c100_bicycle_10_n02835271_6804.png
resnet50,7,39,NaN,bicycle,bicycle,c100,7719_cop_dnn_c100_bicycle_10_n02835271_3529.png
resnet50,7,40,NaN,bicycle,bicycle,c100,7720_cop_dnn_c100_bicycle_10_n03792782_59022.png
resnet50,7,41,NaN,airplane,airplane,c100,7721_cop_dnn_c100_airplane_10_n02690373_5724.png
resnet50,7,42,NaN,airplane,airplane,c100,7722_cop_dnn_c100_airplane_10_n02690373_2675.png
resnet50,7,43,NaN,airplane,airplane,c100,7723_cop_dnn_c100_airplane_10_n02690373_2447.png
resnet50,7,44,NaN,airplane,airplane,c100,7724_cop_dnn_c100_airplane_10_n02690373_3753.png
resnet50,7,45,NaN,airplane,airplane,c100,7725_cop_dnn_c100_airplane_10_n02690373_3899.png
resnet50,7,46,NaN,airplane,airplane,c100,7726_cop_dnn_c100_airplane_10_n02690373_6834.png
resnet50,7,47,NaN,airplane,airplane,c100,7727_cop_dnn_c100_airplane_10_n02690373_7229.png
resnet50,7,48,NaN,airplane,airplane,c100,7728_cop_dnn_c100_airplane_10_n02690373_3709.png
resnet50,7,49,NaN,boat,airplane,c100,7729_cop_dnn_c100_airplane_10_n02690373_9175.png
resnet50,7,50,NaN,airplane,airplane,c100,7730_cop_dnn_c100_airplane_10_n02690373_3639.png
resnet50,7,51,NaN,clock,clock,c100,7731_cop_dnn_c100_clock_10_n02708093_6672.png
resnet50,7,52,NaN,clock,clock,c100,7732_cop_dnn_c100_clock_10_n04548280_43.png
resnet50,7,53,NaN,clock,clock,c100,7733_cop_dnn_c100_clock_10_n04548280_3854.png
resnet50,7,54,NaN,clock,clock,c100,7734_cop_dnn_c100_clock_10_n04548280_5337.png
resnet50,7,55,NaN,clock,clock,c100,7735_cop_dnn_c100_clock_10_n04548280_3161.png
resnet50,7,56,NaN,clock,clock,c100,7736_cop_dnn_c100_clock_10_n02708093_145.png
resnet50,7,57,NaN,clock,clock,c100,7737_cop_dnn_c100_clock_10_n03196217_1790.png
resnet50,7,58,NaN,clock,clock,c100,7738_cop_dnn_c100_clock_10_n03196217_1255.png
