subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,5,1,NaN,knife,knife,0,5121_lp_dnn_0_knife_10_n03041632_102887.png
cornet-s,5,2,NaN,knife,knife,0,5122_lp_dnn_0_knife_10_n03041632_4305.png
cornet-s,5,3,NaN,knife,knife,0,5123_lp_dnn_0_knife_10_n03041632_18766.png
cornet-s,5,4,NaN,knife,knife,0,5124_lp_dnn_0_knife_10_n03041632_36277.png
cornet-s,5,5,NaN,knife,knife,0,5125_lp_dnn_0_knife_10_n03041632_26236.png
cornet-s,5,6,NaN,chair,knife,0,5126_lp_dnn_0_knife_10_n03041632_1143.png
cornet-s,5,7,NaN,knife,knife,0,5127_lp_dnn_0_knife_10_n03041632_105080.png
cornet-s,5,8,NaN,knife,knife,0,5128_lp_dnn_0_knife_10_n03041632_2630.png
cornet-s,5,9,NaN,knife,knife,0,5129_lp_dnn_0_knife_10_n03041632_131.png
cornet-s,5,10,NaN,knife,knife,0,5130_lp_dnn_0_knife_10_n03041632_8321.png
cornet-s,5,11,NaN,keyboard,keyboard,0,5131_lp_dnn_0_keyboard_10_n04505470_326.png
cornet-s,5,12,NaN,keyboard,keyboard,0,5132_lp_dnn_0_keyboard_10_n04505470_3391.png
cornet-s,5,13,NaN,keyboard,keyboard,0,5133_lp_dnn_0_keyboard_10_n03085013_14279.png
cornet-s,5,14,NaN,keyboard,keyboard,0,5134_lp_dnn_0_keyboard_10_n04505470_3234.png
cornet-s,5,15,NaN,keyboard,keyboard,0,5135_lp_dnn_0_keyboard_10_n04505470_3659.png
cornet-s,5,16,NaN,keyboard,keyboard,0,5136_lp_dnn_0_keyboard_10_n03085013_23885.png
cornet-s,5,17,NaN,keyboard,keyboard,0,5137_lp_dnn_0_keyboard_10_n03085013_23291.png
cornet-s,5,18,NaN,keyboard,keyboard,0,5138_lp_dnn_0_keyboard_10_n03085013_21488.png
cornet-s,5,19,NaN,keyboard,keyboard,0,5139_lp_dnn_0_keyboard_10_n03085013_25671.png
cornet-s,5,20,NaN,keyboard,keyboard,0,5140_lp_dnn_0_keyboard_10_n04505470_4166.png
cornet-s,5,21,NaN,elephant,elephant,0,5141_lp_dnn_0_elephant_10_n02504458_133.png
cornet-s,5,22,NaN,elephant,elephant,0,5142_lp_dnn_0_elephant_10_n02504458_10603.png
cornet-s,5,23,NaN,elephant,elephant,0,5143_lp_dnn_0_elephant_10_n02504458_6079.png
cornet-s,5,24,NaN,elephant,elephant,0,5144_lp_dnn_0_elephant_10_n02504458_6729.png
cornet-s,5,25,NaN,elephant,elephant,0,5145_lp_dnn_0_elephant_10_n02504458_1138.png
cornet-s,5,26,NaN,elephant,elephant,0,5146_lp_dnn_0_elephant_10_n02504458_3381.png
cornet-s,5,27,NaN,elephant,elephant,0,5147_lp_dnn_0_elephant_10_n02504013_1185.png
cornet-s,5,28,NaN,elephant,elephant,0,5148_lp_dnn_0_elephant_10_n02504013_6619.png
cornet-s,5,29,NaN,elephant,elephant,0,5149_lp_dnn_0_elephant_10_n02504458_12439.png
cornet-s,5,30,NaN,elephant,elephant,0,5150_lp_dnn_0_elephant_10_n02504458_800.png
cornet-s,5,31,NaN,bicycle,bicycle,0,5151_lp_dnn_0_bicycle_10_n03792782_18964.png
cornet-s,5,32,NaN,bicycle,bicycle,0,5152_lp_dnn_0_bicycle_10_n02835271_1851.png
cornet-s,5,33,NaN,bicycle,bicycle,0,5153_lp_dnn_0_bicycle_10_n02835271_5861.png
cornet-s,5,34,NaN,bicycle,bicycle,0,5154_lp_dnn_0_bicycle_10_n02835271_22061.png
cornet-s,5,35,NaN,bicycle,bicycle,0,5155_lp_dnn_0_bicycle_10_n02835271_20959.png
cornet-s,5,36,NaN,bicycle,bicycle,0,5156_lp_dnn_0_bicycle_10_n03792782_9280.png
cornet-s,5,37,NaN,bicycle,bicycle,0,5157_lp_dnn_0_bicycle_10_n02835271_1536.png
cornet-s,5,38,NaN,bicycle,bicycle,0,5158_lp_dnn_0_bicycle_10_n03792782_19295.png
cornet-s,5,39,NaN,bicycle,bicycle,0,5159_lp_dnn_0_bicycle_10_n02835271_22206.png
cornet-s,5,40,NaN,bicycle,bicycle,0,5160_lp_dnn_0_bicycle_10_n03792782_13110.png
cornet-s,5,41,NaN,airplane,airplane,0,5161_lp_dnn_0_airplane_10_n02690373_2293.png
cornet-s,5,42,NaN,airplane,airplane,0,5162_lp_dnn_0_airplane_10_n02690373_5870.png
cornet-s,5,43,NaN,airplane,airplane,0,5163_lp_dnn_0_airplane_10_n02690373_3139.png
cornet-s,5,44,NaN,airplane,airplane,0,5164_lp_dnn_0_airplane_10_n02690373_5082.png
cornet-s,5,45,NaN,airplane,airplane,0,5165_lp_dnn_0_airplane_10_n02690373_2075.png
cornet-s,5,46,NaN,airplane,airplane,0,5166_lp_dnn_0_airplane_10_n02690373_5029.png
cornet-s,5,47,NaN,airplane,airplane,0,5167_lp_dnn_0_airplane_10_n02690373_18479.png
cornet-s,5,48,NaN,airplane,airplane,0,5168_lp_dnn_0_airplane_10_n02690373_5055.png
cornet-s,5,49,NaN,airplane,airplane,0,5169_lp_dnn_0_airplane_10_n02690373_6319.png
cornet-s,5,50,NaN,airplane,airplane,0,5170_lp_dnn_0_airplane_10_n02690373_3096.png
cornet-s,5,51,NaN,clock,clock,0,5171_lp_dnn_0_clock_10_n04548280_7490.png
cornet-s,5,52,NaN,clock,clock,0,5172_lp_dnn_0_clock_10_n03196217_7012.png
cornet-s,5,53,NaN,clock,clock,0,5173_lp_dnn_0_clock_10_n04548280_4181.png
cornet-s,5,54,NaN,clock,clock,0,5174_lp_dnn_0_clock_10_n04548280_3098.png
cornet-s,5,55,NaN,clock,clock,0,5175_lp_dnn_0_clock_10_n04548280_532.png
cornet-s,5,56,NaN,clock,clock,0,5176_lp_dnn_0_clock_10_n03196217_743.png
cornet-s,5,57,NaN,chair,clock,0,5177_lp_dnn_0_clock_10_n02708093_8309.png
cornet-s,5,58,NaN,clock,clock,0,5178_lp_dnn_0_clock_10_n03196217_6741.png
cornet-s,5,59,NaN,clock,clock,0,5179_lp_dnn_0_clock_10_n04548280_6814.png
cornet-s,5,60,NaN,clock,clock,0,5180_lp_dnn_0_clock_10_n04548280_607.png
cornet-s,5,61,NaN,oven,oven,0,5181_lp_dnn_0_oven_10_n04111531_1004.png
cornet-s,5,62,NaN,oven,oven,0,5182_lp_dnn_0_oven_10_n04111531_11470.png
cornet-s,5,63,NaN,oven,oven,0,5183_lp_dnn_0_oven_10_n04111531_16463.png
cornet-s,5,64,NaN,oven,oven,0,5184_lp_dnn_0_oven_10_n04111531_13391.png
cornet-s,5,65,NaN,oven,oven,0,5185_lp_dnn_0_oven_10_n04111531_10313.png
cornet-s,5,66,NaN,oven,oven,0,5186_lp_dnn_0_oven_10_n04111531_14876.png
cornet-s,5,67,NaN,knife,oven,0,5187_lp_dnn_0_oven_10_n04111531_92.png
cornet-s,5,68,NaN,oven,oven,0,5188_lp_dnn_0_oven_10_n04111531_2133.png
cornet-s,5,69,NaN,oven,oven,0,5189_lp_dnn_0_oven_10_n04111531_669.png
cornet-s,5,70,NaN,oven,oven,0,5190_lp_dnn_0_oven_10_n04111531_15296.png
cornet-s,5,71,NaN,chair,chair,0,5191_lp_dnn_0_chair_10_n04099969_8873.png
cornet-s,5,72,NaN,chair,chair,0,5192_lp_dnn_0_chair_10_n03376595_7699.png
cornet-s,5,73,NaN,bottle,chair,0,5193_lp_dnn_0_chair_10_n04429376_48665.png
cornet-s,5,74,NaN,chair,chair,0,5194_lp_dnn_0_chair_10_n02791124_12591.png
cornet-s,5,75,NaN,chair,chair,0,5195_lp_dnn_0_chair_10_n04099969_6241.png
cornet-s,5,76,NaN,chair,chair,0,5196_lp_dnn_0_chair_10_n02791124_4437.png
cornet-s,5,77,NaN,chair,chair,0,5197_lp_dnn_0_chair_10_n02791124_3476.png
cornet-s,5,78,NaN,chair,chair,0,5198_lp_dnn_0_chair_10_n04099969_2523.png
cornet-s,5,79,NaN,chair,chair,0,5199_lp_dnn_0_chair_10_n02791124_11404.png
cornet-s,5,80,NaN,chair,chair,0,5200_lp_dnn_0_chair_10_n04429376_15847.png
cornet-s,5,81,NaN,bear,bear,0,5201_lp_dnn_0_bear_10_n02133161_16808.png
cornet-s,5,82,NaN,bear,bear,0,5202_lp_dnn_0_bear_10_n02134418_559.png
cornet-s,5,83,NaN,bear,bear,0,5203_lp_dnn_0_bear_10_n02132136_16330.png
cornet-s,5,84,NaN,bear,bear,0,5204_lp_dnn_0_bear_10_n02132136_10979.png
cornet-s,5,85,NaN,bear,bear,0,5205_lp_dnn_0_bear_10_n02134418_10715.png
cornet-s,5,86,NaN,bear,bear,0,5206_lp_dnn_0_bear_10_n02133161_15593.png
cornet-s,5,87,NaN,bear,bear,0,5207_lp_dnn_0_bear_10_n02134418_1425.png
cornet-s,5,88,NaN,bear,bear,0,5208_lp_dnn_0_bear_10_n02134084_19775.png
cornet-s,5,89,NaN,bear,bear,0,5209_lp_dnn_0_bear_10_n02133161_8493.png
cornet-s,5,90,NaN,bear,bear,0,5210_lp_dnn_0_bear_10_n02134084_15118.png
cornet-s,5,91,NaN,boat,boat,0,5211_lp_dnn_0_boat_10_n04273569_1423.png
cornet-s,5,92,NaN,boat,boat,0,5212_lp_dnn_0_boat_10_n04273569_27387.png
cornet-s,5,93,NaN,boat,boat,0,5213_lp_dnn_0_boat_10_n03662601_6893.png
cornet-s,5,94,NaN,boat,boat,0,5214_lp_dnn_0_boat_10_n02951358_13561.png
cornet-s,5,95,NaN,boat,boat,0,5215_lp_dnn_0_boat_10_n02951358_7923.png
cornet-s,5,96,NaN,boat,boat,0,5216_lp_dnn_0_boat_10_n04273569_5426.png
cornet-s,5,97,NaN,boat,boat,0,5217_lp_dnn_0_boat_10_n03662601_16825.png
cornet-s,5,98,NaN,boat,boat,0,5218_lp_dnn_0_boat_10_n02951358_1116.png
cornet-s,5,99,NaN,boat,boat,0,5219_lp_dnn_0_boat_10_n03344393_9661.png
cornet-s,5,100,NaN,boat,boat,0,5220_lp_dnn_0_boat_10_n03344393_2148.png
cornet-s,5,101,NaN,cat,cat,0,5221_lp_dnn_0_cat_10_n02123045_13039.png
cornet-s,5,102,NaN,cat,cat,0,5222_lp_dnn_0_cat_10_n02123597_6405.png
cornet-s,5,103,NaN,cat,cat,0,5223_lp_dnn_0_cat_10_n02125311_22340.png
cornet-s,5,104,NaN,cat,cat,0,5224_lp_dnn_0_cat_10_n02123394_537.png
cornet-s,5,105,NaN,cat,cat,0,5225_lp_dnn_0_cat_10_n02123045_6286.png
