subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,4,1,NaN,knife,knife,0,3361_ps_dnn_0_knife_10_n03041632_5302.png
cornet-s,4,2,NaN,knife,knife,0,3362_ps_dnn_0_knife_10_n03041632_18863.png
cornet-s,4,3,NaN,knife,knife,0,3363_ps_dnn_0_knife_10_n03041632_27848.png
cornet-s,4,4,NaN,knife,knife,0,3364_ps_dnn_0_knife_10_n03041632_11700.png
cornet-s,4,5,NaN,knife,knife,0,3365_ps_dnn_0_knife_10_n03041632_98864.png
cornet-s,4,6,NaN,knife,knife,0,3366_ps_dnn_0_knife_10_n03041632_29684.png
cornet-s,4,7,NaN,airplane,knife,0,3367_ps_dnn_0_knife_10_n03041632_9635.png
cornet-s,4,8,NaN,knife,knife,0,3368_ps_dnn_0_knife_10_n03041632_18468.png
cornet-s,4,9,NaN,knife,knife,0,3369_ps_dnn_0_knife_10_n03041632_927.png
cornet-s,4,10,NaN,knife,knife,0,3370_ps_dnn_0_knife_10_n03041632_1671.png
cornet-s,4,11,NaN,keyboard,keyboard,0,3371_ps_dnn_0_keyboard_10_n04505470_4575.png
cornet-s,4,12,NaN,keyboard,keyboard,0,3372_ps_dnn_0_keyboard_10_n04505470_1096.png
cornet-s,4,13,NaN,keyboard,keyboard,0,3373_ps_dnn_0_keyboard_10_n03085013_22744.png
cornet-s,4,14,NaN,keyboard,keyboard,0,3374_ps_dnn_0_keyboard_10_n04505470_3566.png
cornet-s,4,15,NaN,keyboard,keyboard,0,3375_ps_dnn_0_keyboard_10_n03085013_23268.png
cornet-s,4,16,NaN,keyboard,keyboard,0,3376_ps_dnn_0_keyboard_10_n04505470_10697.png
cornet-s,4,17,NaN,keyboard,keyboard,0,3377_ps_dnn_0_keyboard_10_n04505470_4362.png
cornet-s,4,18,NaN,keyboard,keyboard,0,3378_ps_dnn_0_keyboard_10_n04505470_147.png
cornet-s,4,19,NaN,keyboard,keyboard,0,3379_ps_dnn_0_keyboard_10_n03085013_3204.png
cornet-s,4,20,NaN,keyboard,keyboard,0,3380_ps_dnn_0_keyboard_10_n03085013_15825.png
cornet-s,4,21,NaN,elephant,elephant,0,3381_ps_dnn_0_elephant_10_n02504013_5615.png
cornet-s,4,22,NaN,elephant,elephant,0,3382_ps_dnn_0_elephant_10_n02504458_224.png
cornet-s,4,23,NaN,elephant,elephant,0,3383_ps_dnn_0_elephant_10_n02504013_6660.png
cornet-s,4,24,NaN,elephant,elephant,0,3384_ps_dnn_0_elephant_10_n02504013_9678.png
cornet-s,4,25,NaN,elephant,elephant,0,3385_ps_dnn_0_elephant_10_n02504458_7084.png
cornet-s,4,26,NaN,elephant,elephant,0,3386_ps_dnn_0_elephant_10_n02504013_3847.png
cornet-s,4,27,NaN,elephant,elephant,0,3387_ps_dnn_0_elephant_10_n02504013_2796.png
cornet-s,4,28,NaN,elephant,elephant,0,3388_ps_dnn_0_elephant_10_n02504013_3173.png
cornet-s,4,29,NaN,elephant,elephant,0,3389_ps_dnn_0_elephant_10_n02504458_3344.png
cornet-s,4,30,NaN,elephant,elephant,0,3390_ps_dnn_0_elephant_10_n02504458_7259.png
cornet-s,4,31,NaN,bicycle,bicycle,0,3391_ps_dnn_0_bicycle_10_n03792782_42131.png
cornet-s,4,32,NaN,bicycle,bicycle,0,3392_ps_dnn_0_bicycle_10_n02835271_4923.png
cornet-s,4,33,NaN,bicycle,bicycle,0,3393_ps_dnn_0_bicycle_10_n03792782_8271.png
cornet-s,4,34,NaN,bicycle,bicycle,0,3394_ps_dnn_0_bicycle_10_n03792782_5665.png
cornet-s,4,35,NaN,bicycle,bicycle,0,3395_ps_dnn_0_bicycle_10_n03792782_6512.png
cornet-s,4,36,NaN,bicycle,bicycle,0,3396_ps_dnn_0_bicycle_10_n03792782_49637.png
cornet-s,4,37,NaN,bicycle,bicycle,0,3397_ps_dnn_0_bicycle_10_n03792782_11023.png
cornet-s,4,38,NaN,bicycle,bicycle,0,3398_ps_dnn_0_bicycle_10_n02835271_507.png
cornet-s,4,39,NaN,bicycle,bicycle,0,3399_ps_dnn_0_bicycle_10_n02835271_8109.png
cornet-s,4,40,NaN,bicycle,bicycle,0,3400_ps_dnn_0_bicycle_10_n03792782_45780.png
cornet-s,4,41,NaN,airplane,airplane,0,3401_ps_dnn_0_airplane_10_n02690373_744.png
