subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,knife,knife,0,0001_ps_dnn_0_knife_10_n03041632_8618.png
resnet50,1,2,NaN,knife,knife,0,0002_ps_dnn_0_knife_10_n03041632_51256.png
resnet50,1,3,NaN,knife,knife,0,0003_ps_dnn_0_knife_10_n03041632_27898.png
resnet50,1,4,NaN,knife,knife,0,0004_ps_dnn_0_knife_10_n03041632_32177.png
resnet50,1,5,NaN,knife,knife,0,0005_ps_dnn_0_knife_10_n03041632_23548.png
resnet50,1,6,NaN,knife,knife,0,0006_ps_dnn_0_knife_10_n03041632_41381.png
resnet50,1,7,NaN,knife,knife,0,0007_ps_dnn_0_knife_10_n03041632_24264.png
resnet50,1,8,NaN,knife,knife,0,0008_ps_dnn_0_knife_10_n03041632_45090.png
resnet50,1,9,NaN,knife,knife,0,0009_ps_dnn_0_knife_10_n03041632_87339.png
resnet50,1,10,NaN,chair,knife,0,0010_ps_dnn_0_knife_10_n03041632_96361.png
resnet50,1,11,NaN,keyboard,keyboard,0,0011_ps_dnn_0_keyboard_10_n03085013_21070.png
resnet50,1,12,NaN,keyboard,keyboard,0,0012_ps_dnn_0_keyboard_10_n04505470_5009.png
resnet50,1,13,NaN,keyboard,keyboard,0,0013_ps_dnn_0_keyboard_10_n03085013_3098.png
resnet50,1,14,NaN,keyboard,keyboard,0,0014_ps_dnn_0_keyboard_10_n03085013_20594.png
resnet50,1,15,NaN,keyboard,keyboard,0,0015_ps_dnn_0_keyboard_10_n04505470_3261.png
resnet50,1,16,NaN,keyboard,keyboard,0,0016_ps_dnn_0_keyboard_10_n04505470_8121.png
resnet50,1,17,NaN,keyboard,keyboard,0,0017_ps_dnn_0_keyboard_10_n04505470_64.png
resnet50,1,18,NaN,keyboard,keyboard,0,0018_ps_dnn_0_keyboard_10_n03085013_19687.png
resnet50,1,19,NaN,keyboard,keyboard,0,0019_ps_dnn_0_keyboard_10_n04505470_241.png
resnet50,1,20,NaN,keyboard,keyboard,0,0020_ps_dnn_0_keyboard_10_n03085013_23763.png
resnet50,1,21,NaN,elephant,elephant,0,0021_ps_dnn_0_elephant_10_n02504013_6171.png
resnet50,1,22,NaN,elephant,elephant,0,0022_ps_dnn_0_elephant_10_n02504013_5918.png
resnet50,1,23,NaN,elephant,elephant,0,0023_ps_dnn_0_elephant_10_n02504458_574.png
resnet50,1,24,NaN,elephant,elephant,0,0024_ps_dnn_0_elephant_10_n02504458_804.png
resnet50,1,25,NaN,elephant,elephant,0,0025_ps_dnn_0_elephant_10_n02504013_2787.png
resnet50,1,26,NaN,elephant,elephant,0,0026_ps_dnn_0_elephant_10_n02504458_8126.png
resnet50,1,27,NaN,elephant,elephant,0,0027_ps_dnn_0_elephant_10_n02504458_341.png
resnet50,1,28,NaN,elephant,elephant,0,0028_ps_dnn_0_elephant_10_n02504458_5288.png
resnet50,1,29,NaN,elephant,elephant,0,0029_ps_dnn_0_elephant_10_n02504013_6880.png
resnet50,1,30,NaN,elephant,elephant,0,0030_ps_dnn_0_elephant_10_n02504458_4228.png
resnet50,1,31,NaN,bicycle,bicycle,0,0031_ps_dnn_0_bicycle_10_n02835271_17168.png
resnet50,1,32,NaN,bicycle,bicycle,0,0032_ps_dnn_0_bicycle_10_n03792782_15614.png
resnet50,1,33,NaN,bicycle,bicycle,0,0033_ps_dnn_0_bicycle_10_n03792782_67333.png
resnet50,1,34,NaN,bicycle,bicycle,0,0034_ps_dnn_0_bicycle_10_n02835271_9507.png
resnet50,1,35,NaN,bicycle,bicycle,0,0035_ps_dnn_0_bicycle_10_n03792782_6250.png
resnet50,1,36,NaN,bicycle,bicycle,0,0036_ps_dnn_0_bicycle_10_n03792782_15189.png
resnet50,1,37,NaN,chair,bicycle,0,0037_ps_dnn_0_bicycle_10_n02835271_6921.png
resnet50,1,38,NaN,bicycle,bicycle,0,0038_ps_dnn_0_bicycle_10_n02835271_12173.png
resnet50,1,39,NaN,bicycle,bicycle,0,0039_ps_dnn_0_bicycle_10_n03792782_17134.png
resnet50,1,40,NaN,bicycle,bicycle,0,0040_ps_dnn_0_bicycle_10_n02835271_2013.png
resnet50,1,41,NaN,airplane,airplane,0,0041_ps_dnn_0_airplane_10_n02690373_20071.png
resnet50,1,42,NaN,airplane,airplane,0,0042_ps_dnn_0_airplane_10_n02690373_8583.png
resnet50,1,43,NaN,airplane,airplane,0,0043_ps_dnn_0_airplane_10_n02690373_5689.png
resnet50,1,44,NaN,airplane,airplane,0,0044_ps_dnn_0_airplane_10_n02690373_1451.png
resnet50,1,45,NaN,airplane,airplane,0,0045_ps_dnn_0_airplane_10_n02690373_1975.png
resnet50,1,46,NaN,airplane,airplane,0,0046_ps_dnn_0_airplane_10_n02690373_2010.png
resnet50,1,47,NaN,airplane,airplane,0,0047_ps_dnn_0_airplane_10_n02690373_3451.png
resnet50,1,48,NaN,airplane,airplane,0,0048_ps_dnn_0_airplane_10_n02690373_10723.png
resnet50,1,49,NaN,airplane,airplane,0,0049_ps_dnn_0_airplane_10_n02690373_7408.png
resnet50,1,50,NaN,airplane,airplane,0,0050_ps_dnn_0_airplane_10_n02690373_5487.png
resnet50,1,51,NaN,clock,clock,0,0051_ps_dnn_0_clock_10_n04548280_7069.png
resnet50,1,52,NaN,clock,clock,0,0052_ps_dnn_0_clock_10_n02708093_1356.png
resnet50,1,53,NaN,clock,clock,0,0053_ps_dnn_0_clock_10_n04548280_4862.png
resnet50,1,54,NaN,chair,clock,0,0054_ps_dnn_0_clock_10_n04548280_8429.png
resnet50,1,55,NaN,clock,clock,0,0055_ps_dnn_0_clock_10_n03196217_85.png
resnet50,1,56,NaN,clock,clock,0,0056_ps_dnn_0_clock_10_n04548280_5072.png
resnet50,1,57,NaN,clock,clock,0,0057_ps_dnn_0_clock_10_n04548280_2712.png
resnet50,1,58,NaN,clock,clock,0,0058_ps_dnn_0_clock_10_n02708093_4833.png
resnet50,1,59,NaN,clock,clock,0,0059_ps_dnn_0_clock_10_n04548280_1108.png
resnet50,1,60,NaN,clock,clock,0,0060_ps_dnn_0_clock_10_n04548280_1619.png
resnet50,1,61,NaN,oven,oven,0,0061_ps_dnn_0_oven_10_n04111531_8353.png
resnet50,1,62,NaN,oven,oven,0,0062_ps_dnn_0_oven_10_n04111531_519.png
resnet50,1,63,NaN,oven,oven,0,0063_ps_dnn_0_oven_10_n04111531_4685.png
resnet50,1,64,NaN,oven,oven,0,0064_ps_dnn_0_oven_10_n04111531_8441.png
resnet50,1,65,NaN,oven,oven,0,0065_ps_dnn_0_oven_10_n04111531_1567.png
resnet50,1,66,NaN,oven,oven,0,0066_ps_dnn_0_oven_10_n04111531_10681.png
resnet50,1,67,NaN,oven,oven,0,0067_ps_dnn_0_oven_10_n04111531_1828.png
resnet50,1,68,NaN,oven,oven,0,0068_ps_dnn_0_oven_10_n04111531_663.png
resnet50,1,69,NaN,oven,oven,0,0069_ps_dnn_0_oven_10_n04111531_5102.png
resnet50,1,70,NaN,oven,oven,0,0070_ps_dnn_0_oven_10_n04111531_1295.png
resnet50,1,71,NaN,chair,chair,0,0071_ps_dnn_0_chair_10_n03376595_697.png
resnet50,1,72,NaN,chair,chair,0,0072_ps_dnn_0_chair_10_n03376595_849.png
resnet50,1,73,NaN,chair,chair,0,0073_ps_dnn_0_chair_10_n04429376_23092.png
resnet50,1,74,NaN,chair,chair,0,0074_ps_dnn_0_chair_10_n03376595_16197.png
resnet50,1,75,NaN,chair,chair,0,0075_ps_dnn_0_chair_10_n02791124_2058.png
resnet50,1,76,NaN,chair,chair,0,0076_ps_dnn_0_chair_10_n04099969_23387.png
resnet50,1,77,NaN,chair,chair,0,0077_ps_dnn_0_chair_10_n02791124_7602.png
resnet50,1,78,NaN,chair,chair,0,0078_ps_dnn_0_chair_10_n02791124_7174.png
resnet50,1,79,NaN,chair,chair,0,0079_ps_dnn_0_chair_10_n03376595_7755.png
resnet50,1,80,NaN,chair,chair,0,0080_ps_dnn_0_chair_10_n04099969_6360.png
resnet50,1,81,NaN,bear,bear,0,0081_ps_dnn_0_bear_10_n02134084_5756.png
resnet50,1,82,NaN,bear,bear,0,0082_ps_dnn_0_bear_10_n02133161_14729.png
resnet50,1,83,NaN,bear,bear,0,0083_ps_dnn_0_bear_10_n02133161_1059.png
resnet50,1,84,NaN,bear,bear,0,0084_ps_dnn_0_bear_10_n02134418_5962.png
resnet50,1,85,NaN,bear,bear,0,0085_ps_dnn_0_bear_10_n02132136_4883.png
resnet50,1,86,NaN,bear,bear,0,0086_ps_dnn_0_bear_10_n02134084_7288.png
resnet50,1,87,NaN,bear,bear,0,0087_ps_dnn_0_bear_10_n02132136_6431.png
resnet50,1,88,NaN,bear,bear,0,0088_ps_dnn_0_bear_10_n02133161_5066.png
resnet50,1,89,NaN,bear,bear,0,0089_ps_dnn_0_bear_10_n02132136_13864.png
resnet50,1,90,NaN,bear,bear,0,0090_ps_dnn_0_bear_10_n02134084_7521.png
resnet50,1,91,NaN,boat,boat,0,0091_ps_dnn_0_boat_10_n02951358_10138.png
resnet50,1,92,NaN,boat,boat,0,0092_ps_dnn_0_boat_10_n02951358_20000.png
resnet50,1,93,NaN,boat,boat,0,0093_ps_dnn_0_boat_10_n03662601_23315.png
resnet50,1,94,NaN,boat,boat,0,0094_ps_dnn_0_boat_10_n04273569_14243.png
resnet50,1,95,NaN,boat,boat,0,0095_ps_dnn_0_boat_10_n04612504_15844.png
resnet50,1,96,NaN,boat,boat,0,0096_ps_dnn_0_boat_10_n04273569_1339.png
resnet50,1,97,NaN,boat,boat,0,0097_ps_dnn_0_boat_10_n02951358_13090.png
resnet50,1,98,NaN,boat,boat,0,0098_ps_dnn_0_boat_10_n03344393_5859.png
resnet50,1,99,NaN,boat,boat,0,0099_ps_dnn_0_boat_10_n04273569_11964.png
resnet50,1,100,NaN,boat,boat,0,0100_ps_dnn_0_boat_10_n04273569_21405.png
resnet50,1,101,NaN,cat,cat,0,0101_ps_dnn_0_cat_10_n02123045_2351.png
resnet50,1,102,NaN,cat,cat,0,0102_ps_dnn_0_cat_10_n02125311_45313.png
resnet50,1,103,NaN,cat,cat,0,0103_ps_dnn_0_cat_10_n02123159_6666.png
resnet50,1,104,NaN,cat,cat,0,0104_ps_dnn_0_cat_10_n02123597_7490.png
resnet50,1,105,NaN,cat,cat,0,0105_ps_dnn_0_cat_10_n02124075_7119.png
resnet50,1,106,NaN,cat,cat,0,0106_ps_dnn_0_cat_10_n02123159_6428.png
resnet50,1,107,NaN,cat,cat,0,0107_ps_dnn_0_cat_10_n02123045_4126.png
resnet50,1,108,NaN,cat,cat,0,0108_ps_dnn_0_cat_10_n02123597_5225.png
resnet50,1,109,NaN,cat,cat,0,0109_ps_dnn_0_cat_10_n02123597_13429.png
resnet50,1,110,NaN,cat,cat,0,0110_ps_dnn_0_cat_10_n02125311_51723.png
