subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,2,1,NaN,knife,knife,0.00,1281_nse_dnn_0.00_knife_10_n03041632_1884.JPEG
cornet-s,2,2,NaN,knife,knife,0.00,1282_nse_dnn_0.00_knife_10_n03041632_21859.JPEG
cornet-s,2,3,NaN,knife,knife,0.00,1283_nse_dnn_0.00_knife_10_n03041632_44230.JPEG
cornet-s,2,4,NaN,knife,knife,0.00,1284_nse_dnn_0.00_knife_10_n03041632_29862.JPEG
cornet-s,2,5,NaN,chair,knife,0.00,1285_nse_dnn_0.00_knife_10_n03041632_95293.JPEG
cornet-s,2,6,NaN,knife,knife,0.00,1286_nse_dnn_0.00_knife_10_n03041632_29125.JPEG
cornet-s,2,7,NaN,knife,knife,0.00,1287_nse_dnn_0.00_knife_10_n03041632_45312.JPEG
cornet-s,2,8,NaN,knife,knife,0.00,1288_nse_dnn_0.00_knife_10_n03041632_24060.JPEG
cornet-s,2,9,NaN,knife,knife,0.00,1289_nse_dnn_0.00_knife_10_n03041632_5102.JPEG
cornet-s,2,10,NaN,bottle,knife,0.00,1290_nse_dnn_0.00_knife_10_n03041632_29858.JPEG
cornet-s,2,11,NaN,keyboard,keyboard,0.00,1291_nse_dnn_0.00_keyboard_10_n04505470_8148.JPEG
cornet-s,2,12,NaN,keyboard,keyboard,0.00,1292_nse_dnn_0.00_keyboard_10_n03085013_24649.JPEG
cornet-s,2,13,NaN,keyboard,keyboard,0.00,1293_nse_dnn_0.00_keyboard_10_n03085013_23658.JPEG
cornet-s,2,14,NaN,chair,keyboard,0.00,1294_nse_dnn_0.00_keyboard_10_n03085013_24633.JPEG
cornet-s,2,15,NaN,keyboard,keyboard,0.00,1295_nse_dnn_0.00_keyboard_10_n04505470_4878.JPEG
cornet-s,2,16,NaN,keyboard,keyboard,0.00,1296_nse_dnn_0.00_keyboard_10_n03085013_6432.JPEG
cornet-s,2,17,NaN,keyboard,keyboard,0.00,1297_nse_dnn_0.00_keyboard_10_n03085013_5714.JPEG
cornet-s,2,18,NaN,keyboard,keyboard,0.00,1298_nse_dnn_0.00_keyboard_10_n03085013_23286.JPEG
cornet-s,2,19,NaN,keyboard,keyboard,0.00,1299_nse_dnn_0.00_keyboard_10_n04505470_2488.JPEG
cornet-s,2,20,NaN,keyboard,keyboard,0.00,1300_nse_dnn_0.00_keyboard_10_n03085013_11332.JPEG
cornet-s,2,21,NaN,elephant,elephant,0.00,1301_nse_dnn_0.00_elephant_10_n02504013_3634.JPEG
cornet-s,2,22,NaN,elephant,elephant,0.00,1302_nse_dnn_0.00_elephant_10_n02504013_16929.JPEG
cornet-s,2,23,NaN,elephant,elephant,0.00,1303_nse_dnn_0.00_elephant_10_n02504458_825.JPEG
cornet-s,2,24,NaN,elephant,elephant,0.00,1304_nse_dnn_0.00_elephant_10_n02504458_6202.JPEG
cornet-s,2,25,NaN,elephant,elephant,0.00,1305_nse_dnn_0.00_elephant_10_n02504458_4165.JPEG
cornet-s,2,26,NaN,elephant,elephant,0.00,1306_nse_dnn_0.00_elephant_10_n02504013_3569.JPEG
cornet-s,2,27,NaN,elephant,elephant,0.00,1307_nse_dnn_0.00_elephant_10_n02504458_5384.JPEG
cornet-s,2,28,NaN,elephant,elephant,0.00,1308_nse_dnn_0.00_elephant_10_n02504458_5436.JPEG
cornet-s,2,29,NaN,elephant,elephant,0.00,1309_nse_dnn_0.00_elephant_10_n02504013_1576.JPEG
cornet-s,2,30,NaN,elephant,elephant,0.00,1310_nse_dnn_0.00_elephant_10_n02504458_6618.JPEG
cornet-s,2,31,NaN,bicycle,bicycle,0.00,1311_nse_dnn_0.00_bicycle_10_n03792782_1802.JPEG
cornet-s,2,32,NaN,bicycle,bicycle,0.00,1312_nse_dnn_0.00_bicycle_10_n02835271_1691.JPEG
cornet-s,2,33,NaN,bicycle,bicycle,0.00,1313_nse_dnn_0.00_bicycle_10_n02835271_695.JPEG
cornet-s,2,34,NaN,bicycle,bicycle,0.00,1314_nse_dnn_0.00_bicycle_10_n03792782_59381.JPEG
cornet-s,2,35,NaN,bicycle,bicycle,0.00,1315_nse_dnn_0.00_bicycle_10_n03792782_12844.JPEG
cornet-s,2,36,NaN,bicycle,bicycle,0.00,1316_nse_dnn_0.00_bicycle_10_n02835271_8327.JPEG
cornet-s,2,37,NaN,bicycle,bicycle,0.00,1317_nse_dnn_0.00_bicycle_10_n02835271_8881.JPEG
cornet-s,2,38,NaN,bicycle,bicycle,0.00,1318_nse_dnn_0.00_bicycle_10_n03792782_1155.JPEG
cornet-s,2,39,NaN,bicycle,bicycle,0.00,1319_nse_dnn_0.00_bicycle_10_n02835271_6362.JPEG
cornet-s,2,40,NaN,bicycle,bicycle,0.00,1320_nse_dnn_0.00_bicycle_10_n03792782_15101.JPEG
cornet-s,2,41,NaN,airplane,airplane,0.00,1321_nse_dnn_0.00_airplane_10_n02690373_1815.JPEG
cornet-s,2,42,NaN,airplane,airplane,0.00,1322_nse_dnn_0.00_airplane_10_n02690373_16620.JPEG
cornet-s,2,43,NaN,airplane,airplane,0.00,1323_nse_dnn_0.00_airplane_10_n02690373_1295.JPEG
cornet-s,2,44,NaN,airplane,airplane,0.00,1324_nse_dnn_0.00_airplane_10_n02690373_6899.JPEG
cornet-s,2,45,NaN,airplane,airplane,0.00,1325_nse_dnn_0.00_airplane_10_n02690373_5712.JPEG
cornet-s,2,46,NaN,airplane,airplane,0.00,1326_nse_dnn_0.00_airplane_10_n02690373_8446.JPEG
cornet-s,2,47,NaN,airplane,airplane,0.00,1327_nse_dnn_0.00_airplane_10_n02690373_12964.JPEG
cornet-s,2,48,NaN,airplane,airplane,0.00,1328_nse_dnn_0.00_airplane_10_n02690373_2010.JPEG
cornet-s,2,49,NaN,airplane,airplane,0.00,1329_nse_dnn_0.00_airplane_10_n02690373_3588.JPEG
cornet-s,2,50,NaN,airplane,airplane,0.00,1330_nse_dnn_0.00_airplane_10_n02690373_5885.JPEG
cornet-s,2,51,NaN,clock,clock,0.00,1331_nse_dnn_0.00_clock_10_n04548280_7868.JPEG
cornet-s,2,52,NaN,clock,clock,0.00,1332_nse_dnn_0.00_clock_10_n02708093_7944.JPEG
cornet-s,2,53,NaN,clock,clock,0.00,1333_nse_dnn_0.00_clock_10_n02708093_6959.JPEG
cornet-s,2,54,NaN,clock,clock,0.00,1334_nse_dnn_0.00_clock_10_n03196217_5404.JPEG
cornet-s,2,55,NaN,clock,clock,0.00,1335_nse_dnn_0.00_clock_10_n02708093_8234.JPEG
cornet-s,2,56,NaN,clock,clock,0.00,1336_nse_dnn_0.00_clock_10_n04548280_7490.JPEG
cornet-s,2,57,NaN,clock,clock,0.00,1337_nse_dnn_0.00_clock_10_n03196217_2695.JPEG
cornet-s,2,58,NaN,clock,clock,0.00,1338_nse_dnn_0.00_clock_10_n03196217_3695.JPEG
cornet-s,2,59,NaN,clock,clock,0.00,1339_nse_dnn_0.00_clock_10_n03196217_5610.JPEG
cornet-s,2,60,NaN,clock,clock,0.00,1340_nse_dnn_0.00_clock_10_n03196217_50.JPEG
cornet-s,2,61,NaN,oven,oven,0.00,1341_nse_dnn_0.00_oven_10_n04111531_12053.JPEG
cornet-s,2,62,NaN,oven,oven,0.00,1342_nse_dnn_0.00_oven_10_n04111531_7252.JPEG
cornet-s,2,63,NaN,oven,oven,0.00,1343_nse_dnn_0.00_oven_10_n04111531_12103.JPEG
