subj,session,trial,rt,object_response,category,condition,imagename
resnet50,6,1,NaN,knife,knife,0.00,6401_nse_dnn_0.00_knife_10_n03041632_383.JPEG
resnet50,6,2,NaN,knife,knife,0.00,6402_nse_dnn_0.00_knife_10_n03041632_21425.JPEG
resnet50,6,3,NaN,clock,knife,0.00,6403_nse_dnn_0.00_knife_10_n03041632_16826.JPEG
resnet50,6,4,NaN,knife,knife,0.00,6404_nse_dnn_0.00_knife_10_n03041632_22472.JPEG
resnet50,6,5,NaN,knife,knife,0.00,6405_nse_dnn_0.00_knife_10_n03041632_45326.JPEG
resnet50,6,6,NaN,knife,knife,0.00,6406_nse_dnn_0.00_knife_10_n03041632_5162.JPEG
resnet50,6,7,NaN,knife,knife,0.00,6407_nse_dnn_0.00_knife_10_n03041632_33739.JPEG
resnet50,6,8,NaN,bottle,knife,0.00,6408_nse_dnn_0.00_knife_10_n03041632_15444.JPEG
resnet50,6,9,NaN,car,knife,0.00,6409_nse_dnn_0.00_knife_10_n03041632_29037.JPEG
resnet50,6,10,NaN,bottle,knife,0.00,6410_nse_dnn_0.00_knife_10_n03041632_15174.JPEG
resnet50,6,11,NaN,bottle,keyboard,0.00,6411_nse_dnn_0.00_keyboard_10_n04505470_4789.JPEG
resnet50,6,12,NaN,keyboard,keyboard,0.00,6412_nse_dnn_0.00_keyboard_10_n03085013_24294.JPEG
resnet50,6,13,NaN,keyboard,keyboard,0.00,6413_nse_dnn_0.00_keyboard_10_n03085013_21241.JPEG
resnet50,6,14,NaN,keyboard,keyboard,0.00,6414_nse_dnn_0.00_keyboard_10_n03085013_11110.JPEG
resnet50,6,15,NaN,keyboard,keyboard,0.00,6415_nse_dnn_0.00_keyboard_10_n04505470_8512.JPEG
resnet50,6,16,NaN,keyboard,keyboard,0.00,6416_nse_dnn_0.00_keyboard_10_n03085013_20798.JPEG
resnet50,6,17,NaN,keyboard,keyboard,0.00,6417_nse_dnn_0.00_keyboard_10_n03085013_19439.JPEG
resnet50,6,18,NaN,keyboard,keyboard,0.00,6418_nse_dnn_0.00_keyboard_10_n04505470_159.JPEG
resnet50,6,19,NaN,keyboard,keyboard,0.00,6419_nse_dnn_0.00_keyboard_10_n04505470_867.JPEG
resnet50,6,20,NaN,keyboard,keyboard,0.00,6420_nse_dnn_0.00_keyboard_10_n03085013_25800.JPEG
resnet50,6,21,NaN,elephant,elephant,0.00,6421_nse_dnn_0.00_elephant_10_n02504458_3234.JPEG
resnet50,6,22,NaN,elephant,elephant,0.00,6422_nse_dnn_0.00_elephant_10_n02504458_6261.JPEG
resnet50,6,23,NaN,elephant,elephant,0.00,6423_nse_dnn_0.00_elephant_10_n02504013_5894.JPEG
resnet50,6,24,NaN,elephant,elephant,0.00,6424_nse_dnn_0.00_elephant_10_n02504458_6566.JPEG
resnet50,6,25,NaN,elephant,elephant,0.00,6425_nse_dnn_0.00_elephant_10_n02504458_277.JPEG
resnet50,6,26,NaN,elephant,elephant,0.00,6426_nse_dnn_0.00_elephant_10_n02504013_6376.JPEG
