subj,session,trial,rt,object_response,category,condition,imagename
resnet34,1,1,NaN,airplane,airplane,NaN,airplane1.png
resnet34,1,2,NaN,clock,airplane,NaN,airplane10.png
resnet34,1,3,NaN,knife,airplane,NaN,airplane2.png
resnet34,1,4,NaN,clock,airplane,NaN,airplane3.png
resnet34,1,5,NaN,clock,airplane,NaN,airplane4.png
resnet34,1,6,NaN,clock,airplane,NaN,airplane5.png
resnet34,1,7,NaN,clock,airplane,NaN,airplane6.png
resnet34,1,8,NaN,clock,airplane,NaN,airplane7.png
resnet34,1,9,NaN,clock,airplane,NaN,airplane8.png
resnet34,1,10,NaN,knife,airplane,NaN,airplane9.png
resnet34,1,11,NaN,bird,bear,NaN,bear1.png
resnet34,1,12,NaN,clock,bear,NaN,bear10.png
resnet34,1,13,NaN,clock,bear,NaN,bear2.png
resnet34,1,14,NaN,clock,bear,NaN,bear3.png
resnet34,1,15,NaN,clock,bear,NaN,bear4.png
resnet34,1,16,NaN,clock,bear,NaN,bear5.png
resnet34,1,17,NaN,bird,bear,NaN,bear6.png
resnet34,1,18,NaN,clock,bear,NaN,bear7.png
resnet34,1,19,NaN,clock,bear,NaN,bear8.png
resnet34,1,20,NaN,clock,bear,NaN,bear9.png
resnet34,1,21,NaN,clock,bicycle,NaN,bicycle1.png
resnet34,1,22,NaN,clock,bicycle,NaN,bicycle10.png
resnet34,1,23,NaN,clock,bicycle,NaN,bicycle2.png
resnet34,1,24,NaN,clock,bicycle,NaN,bicycle3.png
resnet34,1,25,NaN,clock,bicycle,NaN,bicycle4.png
resnet34,1,26,NaN,clock,bicycle,NaN,bicycle5.png
resnet34,1,27,NaN,knife,bicycle,NaN,bicycle6.png
resnet34,1,28,NaN,clock,bicycle,NaN,bicycle7.png
resnet34,1,29,NaN,clock,bicycle,NaN,bicycle8.png
resnet34,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
resnet34,1,31,NaN,clock,bird,NaN,bird1.png
resnet34,1,32,NaN,clock,bird,NaN,bird10.png
resnet34,1,33,NaN,bird,bird,NaN,bird2.png
resnet34,1,34,NaN,clock,bird,NaN,bird3.png
resnet34,1,35,NaN,clock,bird,NaN,bird4.png
resnet34,1,36,NaN,clock,bird,NaN,bird5.png
resnet34,1,37,NaN,clock,bird,NaN,bird6.png
resnet34,1,38,NaN,knife,bird,NaN,bird7.png
resnet34,1,39,NaN,clock,bird,NaN,bird8.png
resnet34,1,40,NaN,bird,bird,NaN,bird9.png
resnet34,1,41,NaN,knife,boat,NaN,boat1.png
resnet34,1,42,NaN,knife,boat,NaN,boat10.png
resnet34,1,43,NaN,knife,boat,NaN,boat2.png
resnet34,1,44,NaN,knife,boat,NaN,boat3.png
resnet34,1,45,NaN,knife,boat,NaN,boat4.png
resnet34,1,46,NaN,clock,boat,NaN,boat5.png
resnet34,1,47,NaN,knife,boat,NaN,boat6.png
resnet34,1,48,NaN,knife,boat,NaN,boat7.png
resnet34,1,49,NaN,clock,boat,NaN,boat8.png
resnet34,1,50,NaN,bird,boat,NaN,boat9.png
resnet34,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet34,1,52,NaN,bottle,bottle,NaN,bottle10.png
