subj,session,trial,rt,object_response,category,condition,imagename
squeezenet1-1,1,1,NaN,clock,airplane,NaN,airplane1.png
squeezenet1-1,1,2,NaN,knife,airplane,NaN,airplane10.png
squeezenet1-1,1,3,NaN,clock,airplane,NaN,airplane2.png
squeezenet1-1,1,4,NaN,clock,airplane,NaN,airplane3.png
squeezenet1-1,1,5,NaN,clock,airplane,NaN,airplane4.png
squeezenet1-1,1,6,NaN,bird,airplane,NaN,airplane5.png
squeezenet1-1,1,7,NaN,airplane,airplane,NaN,airplane6.png
squeezenet1-1,1,8,NaN,clock,airplane,NaN,airplane7.png
squeezenet1-1,1,9,NaN,keyboard,airplane,NaN,airplane8.png
squeezenet1-1,1,10,NaN,clock,airplane,NaN,airplane9.png
squeezenet1-1,1,11,NaN,clock,bear,NaN,bear1.png
squeezenet1-1,1,12,NaN,clock,bear,NaN,bear10.png
squeezenet1-1,1,13,NaN,bird,bear,NaN,bear2.png
squeezenet1-1,1,14,NaN,bird,bear,NaN,bear3.png
squeezenet1-1,1,15,NaN,clock,bear,NaN,bear4.png
squeezenet1-1,1,16,NaN,clock,bear,NaN,bear5.png
squeezenet1-1,1,17,NaN,clock,bear,NaN,bear6.png
squeezenet1-1,1,18,NaN,bird,bear,NaN,bear7.png
squeezenet1-1,1,19,NaN,clock,bear,NaN,bear8.png
squeezenet1-1,1,20,NaN,bird,bear,NaN,bear9.png
squeezenet1-1,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
squeezenet1-1,1,22,NaN,clock,bicycle,NaN,bicycle10.png
squeezenet1-1,1,23,NaN,bird,bicycle,NaN,bicycle2.png
squeezenet1-1,1,24,NaN,bird,bicycle,NaN,bicycle3.png
squeezenet1-1,1,25,NaN,bird,bicycle,NaN,bicycle4.png
squeezenet1-1,1,26,NaN,bird,bicycle,NaN,bicycle5.png
squeezenet1-1,1,27,NaN,knife,bicycle,NaN,bicycle6.png
squeezenet1-1,1,28,NaN,bird,bicycle,NaN,bicycle7.png
squeezenet1-1,1,29,NaN,bird,bicycle,NaN,bicycle8.png
squeezenet1-1,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
squeezenet1-1,1,31,NaN,clock,bird,NaN,bird1.png
squeezenet1-1,1,32,NaN,clock,bird,NaN,bird10.png
squeezenet1-1,1,33,NaN,clock,bird,NaN,bird2.png
squeezenet1-1,1,34,NaN,clock,bird,NaN,bird3.png
squeezenet1-1,1,35,NaN,bird,bird,NaN,bird4.png
squeezenet1-1,1,36,NaN,clock,bird,NaN,bird5.png
squeezenet1-1,1,37,NaN,clock,bird,NaN,bird6.png
squeezenet1-1,1,38,NaN,clock,bird,NaN,bird7.png
squeezenet1-1,1,39,NaN,clock,bird,NaN,bird8.png
squeezenet1-1,1,40,NaN,bird,bird,NaN,bird9.png
squeezenet1-1,1,41,NaN,truck,boat,NaN,boat1.png
squeezenet1-1,1,42,NaN,clock,boat,NaN,boat10.png
squeezenet1-1,1,43,NaN,clock,boat,NaN,boat2.png
squeezenet1-1,1,44,NaN,clock,boat,NaN,boat3.png
squeezenet1-1,1,45,NaN,clock,boat,NaN,boat4.png
squeezenet1-1,1,46,NaN,clock,boat,NaN,boat5.png
squeezenet1-1,1,47,NaN,clock,boat,NaN,boat6.png
squeezenet1-1,1,48,NaN,clock,boat,NaN,boat7.png
squeezenet1-1,1,49,NaN,bird,boat,NaN,boat8.png
squeezenet1-1,1,50,NaN,bird,boat,NaN,boat9.png
squeezenet1-1,1,51,NaN,clock,bottle,NaN,bottle1.png
squeezenet1-1,1,52,NaN,clock,bottle,NaN,bottle10.png
squeezenet1-1,1,53,NaN,clock,bottle,NaN,bottle2.png
squeezenet1-1,1,54,NaN,clock,bottle,NaN,bottle3.png
squeezenet1-1,1,55,NaN,knife,bottle,NaN,bottle4.png
squeezenet1-1,1,56,NaN,bottle,bottle,NaN,bottle5.png
squeezenet1-1,1,57,NaN,bottle,bottle,NaN,bottle6.png
squeezenet1-1,1,58,NaN,clock,bottle,NaN,bottle7.png
squeezenet1-1,1,59,NaN,clock,bottle,NaN,bottle8.png
squeezenet1-1,1,60,NaN,bottle,bottle,NaN,bottle9.png
squeezenet1-1,1,61,NaN,clock,car,NaN,car1.png
squeezenet1-1,1,62,NaN,knife,car,NaN,car10.png
squeezenet1-1,1,63,NaN,clock,car,NaN,car2.png
squeezenet1-1,1,64,NaN,clock,car,NaN,car3.png
squeezenet1-1,1,65,NaN,clock,car,NaN,car4.png
squeezenet1-1,1,66,NaN,clock,car,NaN,car5.png
squeezenet1-1,1,67,NaN,clock,car,NaN,car6.png
squeezenet1-1,1,68,NaN,clock,car,NaN,car7.png
squeezenet1-1,1,69,NaN,clock,car,NaN,car8.png
squeezenet1-1,1,70,NaN,clock,car,NaN,car9.png
squeezenet1-1,1,71,NaN,bottle,cat,NaN,cat1.png
squeezenet1-1,1,72,NaN,clock,cat,NaN,cat10.png
squeezenet1-1,1,73,NaN,clock,cat,NaN,cat2.png
squeezenet1-1,1,74,NaN,bird,cat,NaN,cat3.png
squeezenet1-1,1,75,NaN,clock,cat,NaN,cat4.png
squeezenet1-1,1,76,NaN,clock,cat,NaN,cat5.png
squeezenet1-1,1,77,NaN,clock,cat,NaN,cat6.png
squeezenet1-1,1,78,NaN,clock,cat,NaN,cat7.png
squeezenet1-1,1,79,NaN,clock,cat,NaN,cat8.png
squeezenet1-1,1,80,NaN,knife,cat,NaN,cat9.png
squeezenet1-1,1,81,NaN,clock,chair,NaN,chair1.png
squeezenet1-1,1,82,NaN,clock,chair,NaN,chair10.png
squeezenet1-1,1,83,NaN,clock,chair,NaN,chair2.png
squeezenet1-1,1,84,NaN,clock,chair,NaN,chair3.png
squeezenet1-1,1,85,NaN,clock,chair,NaN,chair4.png
squeezenet1-1,1,86,NaN,bird,chair,NaN,chair5.png
squeezenet1-1,1,87,NaN,clock,chair,NaN,chair6.png
squeezenet1-1,1,88,NaN,clock,chair,NaN,chair7.png
squeezenet1-1,1,89,NaN,clock,chair,NaN,chair8.png
squeezenet1-1,1,90,NaN,clock,chair,NaN,chair9.png
squeezenet1-1,1,91,NaN,clock,clock,NaN,clock1.png
squeezenet1-1,1,92,NaN,clock,clock,NaN,clock10.png
squeezenet1-1,1,93,NaN,clock,clock,NaN,clock2.png
squeezenet1-1,1,94,NaN,clock,clock,NaN,clock3.png
squeezenet1-1,1,95,NaN,clock,clock,NaN,clock4.png
squeezenet1-1,1,96,NaN,clock,clock,NaN,clock5.png
squeezenet1-1,1,97,NaN,clock,clock,NaN,clock6.png
squeezenet1-1,1,98,NaN,clock,clock,NaN,clock7.png
squeezenet1-1,1,99,NaN,clock,clock,NaN,clock8.png
squeezenet1-1,1,100,NaN,clock,clock,NaN,clock9.png
squeezenet1-1,1,101,NaN,clock,dog,NaN,dog1.png
squeezenet1-1,1,102,NaN,clock,dog,NaN,dog10.png
