subj,session,trial,rt,object_response,category,condition,imagename
vgg19,1,1,NaN,clock,airplane,NaN,airplane1.png
vgg19,1,2,NaN,keyboard,airplane,NaN,airplane10.png
vgg19,1,3,NaN,bird,airplane,NaN,airplane2.png
vgg19,1,4,NaN,clock,airplane,NaN,airplane3.png
vgg19,1,5,NaN,keyboard,airplane,NaN,airplane4.png
vgg19,1,6,NaN,clock,airplane,NaN,airplane5.png
vgg19,1,7,NaN,clock,airplane,NaN,airplane6.png
vgg19,1,8,NaN,clock,airplane,NaN,airplane7.png
vgg19,1,9,NaN,clock,airplane,NaN,airplane8.png
vgg19,1,10,NaN,keyboard,airplane,NaN,airplane9.png
vgg19,1,11,NaN,clock,bear,NaN,bear1.png
vgg19,1,12,NaN,clock,bear,NaN,bear10.png
vgg19,1,13,NaN,keyboard,bear,NaN,bear2.png
vgg19,1,14,NaN,keyboard,bear,NaN,bear3.png
vgg19,1,15,NaN,clock,bear,NaN,bear4.png
vgg19,1,16,NaN,keyboard,bear,NaN,bear5.png
vgg19,1,17,NaN,clock,bear,NaN,bear6.png
vgg19,1,18,NaN,clock,bear,NaN,bear7.png
vgg19,1,19,NaN,bird,bear,NaN,bear8.png
vgg19,1,20,NaN,bird,bear,NaN,bear9.png
vgg19,1,21,NaN,clock,bicycle,NaN,bicycle1.png
vgg19,1,22,NaN,clock,bicycle,NaN,bicycle10.png
vgg19,1,23,NaN,clock,bicycle,NaN,bicycle2.png
vgg19,1,24,NaN,clock,bicycle,NaN,bicycle3.png
vgg19,1,25,NaN,clock,bicycle,NaN,bicycle4.png
vgg19,1,26,NaN,clock,bicycle,NaN,bicycle5.png
vgg19,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
vgg19,1,28,NaN,clock,bicycle,NaN,bicycle7.png
vgg19,1,29,NaN,clock,bicycle,NaN,bicycle8.png
vgg19,1,30,NaN,clock,bicycle,NaN,bicycle9.png
vgg19,1,31,NaN,clock,bird,NaN,bird1.png
vgg19,1,32,NaN,clock,bird,NaN,bird10.png
vgg19,1,33,NaN,clock,bird,NaN,bird2.png
vgg19,1,34,NaN,clock,bird,NaN,bird3.png
vgg19,1,35,NaN,clock,bird,NaN,bird4.png
vgg19,1,36,NaN,airplane,bird,NaN,bird5.png
vgg19,1,37,NaN,clock,bird,NaN,bird6.png
vgg19,1,38,NaN,clock,bird,NaN,bird7.png
vgg19,1,39,NaN,clock,bird,NaN,bird8.png
vgg19,1,40,NaN,clock,bird,NaN,bird9.png
vgg19,1,41,NaN,bird,boat,NaN,boat1.png
vgg19,1,42,NaN,knife,boat,NaN,boat10.png
vgg19,1,43,NaN,knife,boat,NaN,boat2.png
vgg19,1,44,NaN,clock,boat,NaN,boat3.png
vgg19,1,45,NaN,bird,boat,NaN,boat4.png
vgg19,1,46,NaN,bird,boat,NaN,boat5.png
vgg19,1,47,NaN,knife,boat,NaN,boat6.png
vgg19,1,48,NaN,knife,boat,NaN,boat7.png
vgg19,1,49,NaN,knife,boat,NaN,boat8.png
vgg19,1,50,NaN,bird,boat,NaN,boat9.png
vgg19,1,51,NaN,clock,bottle,NaN,bottle1.png
vgg19,1,52,NaN,clock,bottle,NaN,bottle10.png
vgg19,1,53,NaN,bottle,bottle,NaN,bottle2.png
vgg19,1,54,NaN,clock,bottle,NaN,bottle3.png
vgg19,1,55,NaN,knife,bottle,NaN,bottle4.png
vgg19,1,56,NaN,clock,bottle,NaN,bottle5.png
vgg19,1,57,NaN,bottle,bottle,NaN,bottle6.png
vgg19,1,58,NaN,clock,bottle,NaN,bottle7.png
vgg19,1,59,NaN,clock,bottle,NaN,bottle8.png
vgg19,1,60,NaN,clock,bottle,NaN,bottle9.png
vgg19,1,61,NaN,bird,car,NaN,car1.png
vgg19,1,62,NaN,bottle,car,NaN,car10.png
vgg19,1,63,NaN,clock,car,NaN,car2.png
vgg19,1,64,NaN,clock,car,NaN,car3.png
vgg19,1,65,NaN,knife,car,NaN,car4.png
vgg19,1,66,NaN,keyboard,car,NaN,car5.png
vgg19,1,67,NaN,clock,car,NaN,car6.png
vgg19,1,68,NaN,clock,car,NaN,car7.png
vgg19,1,69,NaN,knife,car,NaN,car8.png
vgg19,1,70,NaN,keyboard,car,NaN,car9.png
vgg19,1,71,NaN,clock,cat,NaN,cat1.png
vgg19,1,72,NaN,keyboard,cat,NaN,cat10.png
vgg19,1,73,NaN,clock,cat,NaN,cat2.png
vgg19,1,74,NaN,clock,cat,NaN,cat3.png
vgg19,1,75,NaN,clock,cat,NaN,cat4.png
vgg19,1,76,NaN,clock,cat,NaN,cat5.png
vgg19,1,77,NaN,clock,cat,NaN,cat6.png
vgg19,1,78,NaN,clock,cat,NaN,cat7.png
vgg19,1,79,NaN,clock,cat,NaN,cat8.png
vgg19,1,80,NaN,clock,cat,NaN,cat9.png
vgg19,1,81,NaN,oven,chair,NaN,chair1.png
vgg19,1,82,NaN,knife,chair,NaN,chair10.png
vgg19,1,83,NaN,chair,chair,NaN,chair2.png
vgg19,1,84,NaN,chair,chair,NaN,chair3.png
vgg19,1,85,NaN,clock,chair,NaN,chair4.png
vgg19,1,86,NaN,clock,chair,NaN,chair5.png
vgg19,1,87,NaN,clock,chair,NaN,chair6.png
vgg19,1,88,NaN,clock,chair,NaN,chair7.png
vgg19,1,89,NaN,bicycle,chair,NaN,chair8.png
vgg19,1,90,NaN,clock,chair,NaN,chair9.png
vgg19,1,91,NaN,clock,clock,NaN,clock1.png
vgg19,1,92,NaN,clock,clock,NaN,clock10.png
vgg19,1,93,NaN,clock,clock,NaN,clock2.png
vgg19,1,94,NaN,clock,clock,NaN,clock3.png
vgg19,1,95,NaN,clock,clock,NaN,clock4.png
vgg19,1,96,NaN,clock,clock,NaN,clock5.png
vgg19,1,97,NaN,clock,clock,NaN,clock6.png
vgg19,1,98,NaN,clock,clock,NaN,clock7.png
vgg19,1,99,NaN,clock,clock,NaN,clock8.png
vgg19,1,100,NaN,clock,clock,NaN,clock9.png
vgg19,1,101,NaN,clock,dog,NaN,dog1.png
vgg19,1,102,NaN,clock,dog,NaN,dog10.png
vgg19,1,103,NaN,bird,dog,NaN,dog2.png
vgg19,1,104,NaN,clock,dog,NaN,dog3.png
vgg19,1,105,NaN,clock,dog,NaN,dog4.png
vgg19,1,106,NaN,clock,dog,NaN,dog5.png
vgg19,1,107,NaN,keyboard,dog,NaN,dog6.png
vgg19,1,108,NaN,clock,dog,NaN,dog7.png
vgg19,1,109,NaN,clock,dog,NaN,dog8.png
vgg19,1,110,NaN,clock,dog,NaN,dog9.png
vgg19,1,111,NaN,clock,elephant,NaN,elephant1.png
vgg19,1,112,NaN,bird,elephant,NaN,elephant10.png
vgg19,1,113,NaN,clock,elephant,NaN,elephant2.png
vgg19,1,114,NaN,clock,elephant,NaN,elephant3.png
vgg19,1,115,NaN,bird,elephant,NaN,elephant4.png
vgg19,1,116,NaN,clock,elephant,NaN,elephant5.png
vgg19,1,117,NaN,clock,elephant,NaN,elephant6.png
vgg19,1,118,NaN,bottle,elephant,NaN,elephant7.png
vgg19,1,119,NaN,bird,elephant,NaN,elephant8.png
vgg19,1,120,NaN,bird,elephant,NaN,elephant9.png
vgg19,1,121,NaN,keyboard,keyboard,NaN,keyboard1.png
vgg19,1,122,NaN,keyboard,keyboard,NaN,keyboard10.png
vgg19,1,123,NaN,knife,keyboard,NaN,keyboard2.png
vgg19,1,124,NaN,keyboard,keyboard,NaN,keyboard3.png
vgg19,1,125,NaN,keyboard,keyboard,NaN,keyboard4.png
