subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,1,1,NaN,airplane,airplane,NaN,airplane1.png
cornet-s,1,2,NaN,airplane,airplane,NaN,airplane10.png
cornet-s,1,3,NaN,airplane,airplane,NaN,airplane2.png
cornet-s,1,4,NaN,airplane,airplane,NaN,airplane3.png
cornet-s,1,5,NaN,airplane,airplane,NaN,airplane4.png
cornet-s,1,6,NaN,airplane,airplane,NaN,airplane5.png
cornet-s,1,7,NaN,airplane,airplane,NaN,airplane6.png
cornet-s,1,8,NaN,airplane,airplane,NaN,airplane7.png
cornet-s,1,9,NaN,airplane,airplane,NaN,airplane8.png
cornet-s,1,10,NaN,chair,airplane,NaN,airplane9.png
cornet-s,1,11,NaN,cat,bear,NaN,bear1.png
cornet-s,1,12,NaN,bear,bear,NaN,bear10.png
cornet-s,1,13,NaN,bear,bear,NaN,bear2.png
cornet-s,1,14,NaN,bear,bear,NaN,bear3.png
cornet-s,1,15,NaN,bear,bear,NaN,bear4.png
cornet-s,1,16,NaN,bear,bear,NaN,bear5.png
cornet-s,1,17,NaN,cat,bear,NaN,bear6.png
cornet-s,1,18,NaN,knife,bear,NaN,bear7.png
cornet-s,1,19,NaN,bear,bear,NaN,bear8.png
cornet-s,1,20,NaN,elephant,bear,NaN,bear9.png
cornet-s,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
cornet-s,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
cornet-s,1,23,NaN,clock,bicycle,NaN,bicycle2.png
cornet-s,1,24,NaN,clock,bicycle,NaN,bicycle3.png
cornet-s,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
cornet-s,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
cornet-s,1,27,NaN,chair,bicycle,NaN,bicycle6.png
cornet-s,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
cornet-s,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
cornet-s,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
cornet-s,1,31,NaN,bird,bird,NaN,bird1.png
cornet-s,1,32,NaN,knife,bird,NaN,bird10.png
cornet-s,1,33,NaN,knife,bird,NaN,bird2.png
cornet-s,1,34,NaN,knife,bird,NaN,bird3.png
cornet-s,1,35,NaN,knife,bird,NaN,bird4.png
cornet-s,1,36,NaN,bird,bird,NaN,bird5.png
cornet-s,1,37,NaN,bird,bird,NaN,bird6.png
cornet-s,1,38,NaN,clock,bird,NaN,bird7.png
cornet-s,1,39,NaN,knife,bird,NaN,bird8.png
cornet-s,1,40,NaN,bird,bird,NaN,bird9.png
cornet-s,1,41,NaN,knife,boat,NaN,boat1.png
cornet-s,1,42,NaN,knife,boat,NaN,boat10.png
cornet-s,1,43,NaN,knife,boat,NaN,boat2.png
cornet-s,1,44,NaN,clock,boat,NaN,boat3.png
cornet-s,1,45,NaN,knife,boat,NaN,boat4.png
cornet-s,1,46,NaN,clock,boat,NaN,boat5.png
cornet-s,1,47,NaN,knife,boat,NaN,boat6.png
cornet-s,1,48,NaN,knife,boat,NaN,boat7.png
cornet-s,1,49,NaN,knife,boat,NaN,boat8.png
cornet-s,1,50,NaN,clock,boat,NaN,boat9.png
cornet-s,1,51,NaN,bottle,bottle,NaN,bottle1.png
cornet-s,1,52,NaN,bottle,bottle,NaN,bottle10.png
cornet-s,1,53,NaN,bottle,bottle,NaN,bottle2.png
cornet-s,1,54,NaN,bottle,bottle,NaN,bottle3.png
cornet-s,1,55,NaN,bottle,bottle,NaN,bottle4.png
cornet-s,1,56,NaN,bottle,bottle,NaN,bottle5.png
cornet-s,1,57,NaN,bottle,bottle,NaN,bottle6.png
cornet-s,1,58,NaN,bottle,bottle,NaN,bottle7.png
cornet-s,1,59,NaN,bottle,bottle,NaN,bottle8.png
cornet-s,1,60,NaN,bottle,bottle,NaN,bottle9.png
cornet-s,1,61,NaN,knife,car,NaN,car1.png
cornet-s,1,62,NaN,knife,car,NaN,car10.png
cornet-s,1,63,NaN,knife,car,NaN,car2.png
cornet-s,1,64,NaN,knife,car,NaN,car3.png
cornet-s,1,65,NaN,bear,car,NaN,car4.png
cornet-s,1,66,NaN,clock,car,NaN,car5.png
cornet-s,1,67,NaN,knife,car,NaN,car6.png
cornet-s,1,68,NaN,bottle,car,NaN,car7.png
cornet-s,1,69,NaN,knife,car,NaN,car8.png
cornet-s,1,70,NaN,knife,car,NaN,car9.png
cornet-s,1,71,NaN,cat,cat,NaN,cat1.png
cornet-s,1,72,NaN,elephant,cat,NaN,cat10.png
cornet-s,1,73,NaN,bird,cat,NaN,cat2.png
cornet-s,1,74,NaN,bear,cat,NaN,cat3.png
cornet-s,1,75,NaN,cat,cat,NaN,cat4.png
cornet-s,1,76,NaN,bear,cat,NaN,cat5.png
