subj,session,trial,rt,object_response,category,condition,imagename
squeezenet1-1,1,1,NaN,airplane,airplane,NaN,airplane1.png
squeezenet1-1,1,2,NaN,knife,airplane,NaN,airplane10.png
squeezenet1-1,1,3,NaN,clock,airplane,NaN,airplane2.png
squeezenet1-1,1,4,NaN,chair,airplane,NaN,airplane3.png
squeezenet1-1,1,5,NaN,knife,airplane,NaN,airplane4.png
squeezenet1-1,1,6,NaN,chair,airplane,NaN,airplane5.png
squeezenet1-1,1,7,NaN,knife,airplane,NaN,airplane6.png
squeezenet1-1,1,8,NaN,airplane,airplane,NaN,airplane7.png
squeezenet1-1,1,9,NaN,chair,airplane,NaN,airplane8.png
squeezenet1-1,1,10,NaN,clock,airplane,NaN,airplane9.png
squeezenet1-1,1,11,NaN,clock,bear,NaN,bear1.png
squeezenet1-1,1,12,NaN,clock,bear,NaN,bear10.png
squeezenet1-1,1,13,NaN,bear,bear,NaN,bear2.png
squeezenet1-1,1,14,NaN,clock,bear,NaN,bear3.png
squeezenet1-1,1,15,NaN,bear,bear,NaN,bear4.png
squeezenet1-1,1,16,NaN,cat,bear,NaN,bear5.png
squeezenet1-1,1,17,NaN,cat,bear,NaN,bear6.png
squeezenet1-1,1,18,NaN,clock,bear,NaN,bear7.png
squeezenet1-1,1,19,NaN,clock,bear,NaN,bear8.png
squeezenet1-1,1,20,NaN,clock,bear,NaN,bear9.png
squeezenet1-1,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
squeezenet1-1,1,22,NaN,clock,bicycle,NaN,bicycle10.png
squeezenet1-1,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
squeezenet1-1,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
squeezenet1-1,1,25,NaN,chair,bicycle,NaN,bicycle4.png
squeezenet1-1,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
squeezenet1-1,1,27,NaN,chair,bicycle,NaN,bicycle6.png
squeezenet1-1,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
squeezenet1-1,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
squeezenet1-1,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
squeezenet1-1,1,31,NaN,clock,bird,NaN,bird1.png
squeezenet1-1,1,32,NaN,chair,bird,NaN,bird10.png
squeezenet1-1,1,33,NaN,clock,bird,NaN,bird2.png
squeezenet1-1,1,34,NaN,knife,bird,NaN,bird3.png
squeezenet1-1,1,35,NaN,bird,bird,NaN,bird4.png
squeezenet1-1,1,36,NaN,knife,bird,NaN,bird5.png
squeezenet1-1,1,37,NaN,clock,bird,NaN,bird6.png
squeezenet1-1,1,38,NaN,chair,bird,NaN,bird7.png
squeezenet1-1,1,39,NaN,knife,bird,NaN,bird8.png
squeezenet1-1,1,40,NaN,bird,bird,NaN,bird9.png
squeezenet1-1,1,41,NaN,knife,boat,NaN,boat1.png
squeezenet1-1,1,42,NaN,knife,boat,NaN,boat10.png
squeezenet1-1,1,43,NaN,chair,boat,NaN,boat2.png
squeezenet1-1,1,44,NaN,clock,boat,NaN,boat3.png
squeezenet1-1,1,45,NaN,clock,boat,NaN,boat4.png
squeezenet1-1,1,46,NaN,clock,boat,NaN,boat5.png
squeezenet1-1,1,47,NaN,knife,boat,NaN,boat6.png
squeezenet1-1,1,48,NaN,knife,boat,NaN,boat7.png
squeezenet1-1,1,49,NaN,clock,boat,NaN,boat8.png
squeezenet1-1,1,50,NaN,clock,boat,NaN,boat9.png
squeezenet1-1,1,51,NaN,bottle,bottle,NaN,bottle1.png
squeezenet1-1,1,52,NaN,bottle,bottle,NaN,bottle10.png
squeezenet1-1,1,53,NaN,knife,bottle,NaN,bottle2.png
squeezenet1-1,1,54,NaN,knife,bottle,NaN,bottle3.png
squeezenet1-1,1,55,NaN,knife,bottle,NaN,bottle4.png
squeezenet1-1,1,56,NaN,bottle,bottle,NaN,bottle5.png
squeezenet1-1,1,57,NaN,bottle,bottle,NaN,bottle6.png
squeezenet1-1,1,58,NaN,bottle,bottle,NaN,bottle7.png
squeezenet1-1,1,59,NaN,bottle,bottle,NaN,bottle8.png
squeezenet1-1,1,60,NaN,bottle,bottle,NaN,bottle9.png
squeezenet1-1,1,61,NaN,clock,car,NaN,car1.png
squeezenet1-1,1,62,NaN,knife,car,NaN,car10.png
squeezenet1-1,1,63,NaN,clock,car,NaN,car2.png
squeezenet1-1,1,64,NaN,clock,car,NaN,car3.png
squeezenet1-1,1,65,NaN,clock,car,NaN,car4.png
squeezenet1-1,1,66,NaN,clock,car,NaN,car5.png
squeezenet1-1,1,67,NaN,knife,car,NaN,car6.png
squeezenet1-1,1,68,NaN,clock,car,NaN,car7.png
squeezenet1-1,1,69,NaN,clock,car,NaN,car8.png
squeezenet1-1,1,70,NaN,knife,car,NaN,car9.png
squeezenet1-1,1,71,NaN,cat,cat,NaN,cat1.png
squeezenet1-1,1,72,NaN,clock,cat,NaN,cat10.png
squeezenet1-1,1,73,NaN,clock,cat,NaN,cat2.png
squeezenet1-1,1,74,NaN,knife,cat,NaN,cat3.png
squeezenet1-1,1,75,NaN,clock,cat,NaN,cat4.png
squeezenet1-1,1,76,NaN,clock,cat,NaN,cat5.png
squeezenet1-1,1,77,NaN,cat,cat,NaN,cat6.png
squeezenet1-1,1,78,NaN,clock,cat,NaN,cat7.png
