subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,1,1,NaN,knife,knife,1-0-10,0001_eid_dnn_1-0-10_knife_10_n03041632_27134.JPEG
cornet-s,1,2,NaN,knife,knife,1-0-10,0002_eid_dnn_1-0-10_knife_10_n03041632_16206.JPEG
cornet-s,1,3,NaN,knife,knife,1-0-10,0003_eid_dnn_1-0-10_knife_10_n03041632_32774.JPEG
cornet-s,1,4,NaN,knife,knife,1-0-10,0004_eid_dnn_1-0-10_knife_10_n03041632_8540.JPEG
cornet-s,1,5,NaN,knife,knife,1-0-10,0005_eid_dnn_1-0-10_knife_10_n03041632_18236.JPEG
cornet-s,1,6,NaN,knife,knife,1-0-10,0006_eid_dnn_1-0-10_knife_10_n03041632_44133.JPEG
cornet-s,1,7,NaN,knife,knife,1-0-10,0007_eid_dnn_1-0-10_knife_10_n03041632_17349.JPEG
cornet-s,1,8,NaN,knife,knife,1-0-10,0008_eid_dnn_1-0-10_knife_10_n03041632_21477.JPEG
cornet-s,1,9,NaN,knife,knife,1-0-10,0009_eid_dnn_1-0-10_knife_10_n03041632_14293.JPEG
cornet-s,1,10,NaN,knife,knife,1-0-10,0010_eid_dnn_1-0-10_knife_10_n03041632_25257.JPEG
cornet-s,1,11,NaN,keyboard,keyboard,1-0-10,0011_eid_dnn_1-0-10_keyboard_10_n04505470_1076.JPEG
cornet-s,1,12,NaN,keyboard,keyboard,1-0-10,0012_eid_dnn_1-0-10_keyboard_10_n03085013_2455.JPEG
cornet-s,1,13,NaN,keyboard,keyboard,1-0-10,0013_eid_dnn_1-0-10_keyboard_10_n03085013_25568.JPEG
cornet-s,1,14,NaN,keyboard,keyboard,1-0-10,0014_eid_dnn_1-0-10_keyboard_10_n04505470_4368.JPEG
cornet-s,1,15,NaN,keyboard,keyboard,1-0-10,0015_eid_dnn_1-0-10_keyboard_10_n03085013_3318.JPEG
cornet-s,1,16,NaN,keyboard,keyboard,1-0-10,0016_eid_dnn_1-0-10_keyboard_10_n04505470_2141.JPEG
cornet-s,1,17,NaN,keyboard,keyboard,1-0-10,0017_eid_dnn_1-0-10_keyboard_10_n04505470_10859.JPEG
cornet-s,1,18,NaN,keyboard,keyboard,1-0-10,0018_eid_dnn_1-0-10_keyboard_10_n03085013_23549.JPEG
