subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,3,1,NaN,knife,knife,0,2561_lp_dnn_0_knife_10_n03041632_22214.png
cornet-s,3,2,NaN,knife,knife,0,2562_lp_dnn_0_knife_10_n03041632_13465.png
cornet-s,3,3,NaN,knife,knife,0,2563_lp_dnn_0_knife_10_n03041632_11495.png
cornet-s,3,4,NaN,knife,knife,0,2564_lp_dnn_0_knife_10_n03041632_29285.png
cornet-s,3,5,NaN,knife,knife,0,2565_lp_dnn_0_knife_10_n03041632_36247.png
cornet-s,3,6,NaN,knife,knife,0,2566_lp_dnn_0_knife_10_n03041632_45775.png
cornet-s,3,7,NaN,bicycle,knife,0,2567_lp_dnn_0_knife_10_n03041632_25498.png
cornet-s,3,8,NaN,oven,knife,0,2568_lp_dnn_0_knife_10_n03041632_31849.png
cornet-s,3,9,NaN,knife,knife,0,2569_lp_dnn_0_knife_10_n03041632_44019.png
cornet-s,3,10,NaN,knife,knife,0,2570_lp_dnn_0_knife_10_n03041632_17859.png
cornet-s,3,11,NaN,keyboard,keyboard,0,2571_lp_dnn_0_keyboard_10_n03085013_4281.png
cornet-s,3,12,NaN,keyboard,keyboard,0,2572_lp_dnn_0_keyboard_10_n03085013_20906.png
cornet-s,3,13,NaN,keyboard,keyboard,0,2573_lp_dnn_0_keyboard_10_n03085013_23144.png
cornet-s,3,14,NaN,keyboard,keyboard,0,2574_lp_dnn_0_keyboard_10_n03085013_22585.png
cornet-s,3,15,NaN,keyboard,keyboard,0,2575_lp_dnn_0_keyboard_10_n04505470_4554.png
cornet-s,3,16,NaN,keyboard,keyboard,0,2576_lp_dnn_0_keyboard_10_n03085013_21082.png
cornet-s,3,17,NaN,keyboard,keyboard,0,2577_lp_dnn_0_keyboard_10_n04505470_4887.png
cornet-s,3,18,NaN,keyboard,keyboard,0,2578_lp_dnn_0_keyboard_10_n03085013_24963.png
cornet-s,3,19,NaN,keyboard,keyboard,0,2579_lp_dnn_0_keyboard_10_n03085013_23546.png
cornet-s,3,20,NaN,keyboard,keyboard,0,2580_lp_dnn_0_keyboard_10_n03085013_24510.png
cornet-s,3,21,NaN,elephant,elephant,0,2581_lp_dnn_0_elephant_10_n02504458_1512.png
cornet-s,3,22,NaN,elephant,elephant,0,2582_lp_dnn_0_elephant_10_n02504013_173.png
cornet-s,3,23,NaN,elephant,elephant,0,2583_lp_dnn_0_elephant_10_n02504458_488.png
cornet-s,3,24,NaN,elephant,elephant,0,2584_lp_dnn_0_elephant_10_n02504013_11223.png
cornet-s,3,25,NaN,elephant,elephant,0,2585_lp_dnn_0_elephant_10_n02504013_4062.png
cornet-s,3,26,NaN,elephant,elephant,0,2586_lp_dnn_0_elephant_10_n02504013_3264.png
cornet-s,3,27,NaN,elephant,elephant,0,2587_lp_dnn_0_elephant_10_n02504458_5619.png
cornet-s,3,28,NaN,elephant,elephant,0,2588_lp_dnn_0_elephant_10_n02504458_10088.png
cornet-s,3,29,NaN,elephant,elephant,0,2589_lp_dnn_0_elephant_10_n02504013_53.png
cornet-s,3,30,NaN,elephant,elephant,0,2590_lp_dnn_0_elephant_10_n02504013_3500.png
cornet-s,3,31,NaN,bicycle,bicycle,0,2591_lp_dnn_0_bicycle_10_n02835271_22355.png
cornet-s,3,32,NaN,bicycle,bicycle,0,2592_lp_dnn_0_bicycle_10_n02835271_9288.png
cornet-s,3,33,NaN,bicycle,bicycle,0,2593_lp_dnn_0_bicycle_10_n02835271_2594.png
cornet-s,3,34,NaN,bicycle,bicycle,0,2594_lp_dnn_0_bicycle_10_n02835271_3575.png
cornet-s,3,35,NaN,bicycle,bicycle,0,2595_lp_dnn_0_bicycle_10_n02835271_64.png
cornet-s,3,36,NaN,bicycle,bicycle,0,2596_lp_dnn_0_bicycle_10_n03792782_1982.png
cornet-s,3,37,NaN,bicycle,bicycle,0,2597_lp_dnn_0_bicycle_10_n03792782_13002.png
cornet-s,3,38,NaN,bicycle,bicycle,0,2598_lp_dnn_0_bicycle_10_n03792782_607.png
cornet-s,3,39,NaN,bicycle,bicycle,0,2599_lp_dnn_0_bicycle_10_n03792782_15531.png
cornet-s,3,40,NaN,bicycle,bicycle,0,2600_lp_dnn_0_bicycle_10_n03792782_7802.png
cornet-s,3,41,NaN,airplane,airplane,0,2601_lp_dnn_0_airplane_10_n02690373_7099.png
cornet-s,3,42,NaN,airplane,airplane,0,2602_lp_dnn_0_airplane_10_n02690373_8304.png
cornet-s,3,43,NaN,airplane,airplane,0,2603_lp_dnn_0_airplane_10_n02690373_8599.png
cornet-s,3,44,NaN,airplane,airplane,0,2604_lp_dnn_0_airplane_10_n02690373_693.png
cornet-s,3,45,NaN,airplane,airplane,0,2605_lp_dnn_0_airplane_10_n02690373_18111.png
cornet-s,3,46,NaN,airplane,airplane,0,2606_lp_dnn_0_airplane_10_n02690373_7530.png
cornet-s,3,47,NaN,airplane,airplane,0,2607_lp_dnn_0_airplane_10_n02690373_5524.png
cornet-s,3,48,NaN,airplane,airplane,0,2608_lp_dnn_0_airplane_10_n02690373_4358.png
cornet-s,3,49,NaN,airplane,airplane,0,2609_lp_dnn_0_airplane_10_n02690373_4201.png
cornet-s,3,50,NaN,airplane,airplane,0,2610_lp_dnn_0_airplane_10_n02690373_6697.png
cornet-s,3,51,NaN,clock,clock,0,2611_lp_dnn_0_clock_10_n02708093_1276.png
cornet-s,3,52,NaN,bottle,clock,0,2612_lp_dnn_0_clock_10_n02708093_3743.png
cornet-s,3,53,NaN,clock,clock,0,2613_lp_dnn_0_clock_10_n03196217_5137.png
cornet-s,3,54,NaN,clock,clock,0,2614_lp_dnn_0_clock_10_n04548280_3133.png
cornet-s,3,55,NaN,clock,clock,0,2615_lp_dnn_0_clock_10_n02708093_899.png
cornet-s,3,56,NaN,clock,clock,0,2616_lp_dnn_0_clock_10_n04548280_6411.png
cornet-s,3,57,NaN,clock,clock,0,2617_lp_dnn_0_clock_10_n03196217_711.png
cornet-s,3,58,NaN,clock,clock,0,2618_lp_dnn_0_clock_10_n04548280_1114.png
cornet-s,3,59,NaN,clock,clock,0,2619_lp_dnn_0_clock_10_n03196217_95.png
cornet-s,3,60,NaN,clock,clock,0,2620_lp_dnn_0_clock_10_n03196217_3215.png
cornet-s,3,61,NaN,knife,oven,0,2621_lp_dnn_0_oven_10_n04111531_892.png
cornet-s,3,62,NaN,oven,oven,0,2622_lp_dnn_0_oven_10_n04111531_9424.png
cornet-s,3,63,NaN,oven,oven,0,2623_lp_dnn_0_oven_10_n04111531_4988.png
cornet-s,3,64,NaN,oven,oven,0,2624_lp_dnn_0_oven_10_n04111531_5290.png
cornet-s,3,65,NaN,oven,oven,0,2625_lp_dnn_0_oven_10_n04111531_22120.png
cornet-s,3,66,NaN,oven,oven,0,2626_lp_dnn_0_oven_10_n04111531_9712.png
cornet-s,3,67,NaN,oven,oven,0,2627_lp_dnn_0_oven_10_n04111531_9688.png
cornet-s,3,68,NaN,oven,oven,0,2628_lp_dnn_0_oven_10_n04111531_545.png
cornet-s,3,69,NaN,oven,oven,0,2629_lp_dnn_0_oven_10_n04111531_7717.png
cornet-s,3,70,NaN,oven,oven,0,2630_lp_dnn_0_oven_10_n04111531_3353.png
cornet-s,3,71,NaN,chair,chair,0,2631_lp_dnn_0_chair_10_n04429376_16849.png
cornet-s,3,72,NaN,chair,chair,0,2632_lp_dnn_0_chair_10_n02791124_2674.png
cornet-s,3,73,NaN,chair,chair,0,2633_lp_dnn_0_chair_10_n03376595_4954.png
cornet-s,3,74,NaN,chair,chair,0,2634_lp_dnn_0_chair_10_n04429376_22828.png
cornet-s,3,75,NaN,chair,chair,0,2635_lp_dnn_0_chair_10_n04099969_54555.png
cornet-s,3,76,NaN,chair,chair,0,2636_lp_dnn_0_chair_10_n04099969_4946.png
cornet-s,3,77,NaN,chair,chair,0,2637_lp_dnn_0_chair_10_n04429376_16325.png
cornet-s,3,78,NaN,chair,chair,0,2638_lp_dnn_0_chair_10_n04099969_5730.png
cornet-s,3,79,NaN,chair,chair,0,2639_lp_dnn_0_chair_10_n04099969_15094.png
cornet-s,3,80,NaN,chair,chair,0,2640_lp_dnn_0_chair_10_n02791124_8290.png
cornet-s,3,81,NaN,bear,bear,0,2641_lp_dnn_0_bear_10_n02132136_33682.png
