subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,5,1,NaN,knife,knife,0,4481_ps_dnn_0_knife_10_n03041632_18141.png
cornet-s,5,2,NaN,knife,knife,0,4482_ps_dnn_0_knife_10_n03041632_126.png
cornet-s,5,3,NaN,knife,knife,0,4483_ps_dnn_0_knife_10_n03041632_51581.png
cornet-s,5,4,NaN,knife,knife,0,4484_ps_dnn_0_knife_10_n03041632_18236.png
cornet-s,5,5,NaN,knife,knife,0,4485_ps_dnn_0_knife_10_n03041632_42472.png
cornet-s,5,6,NaN,knife,knife,0,4486_ps_dnn_0_knife_10_n03041632_40887.png
cornet-s,5,7,NaN,knife,knife,0,4487_ps_dnn_0_knife_10_n03041632_6557.png
cornet-s,5,8,NaN,knife,knife,0,4488_ps_dnn_0_knife_10_n03041632_27879.png
cornet-s,5,9,NaN,knife,knife,0,4489_ps_dnn_0_knife_10_n03041632_10136.png
cornet-s,5,10,NaN,knife,knife,0,4490_ps_dnn_0_knife_10_n03041632_84012.png
cornet-s,5,11,NaN,keyboard,keyboard,0,4491_ps_dnn_0_keyboard_10_n03085013_14079.png
cornet-s,5,12,NaN,keyboard,keyboard,0,4492_ps_dnn_0_keyboard_10_n04505470_3068.png
cornet-s,5,13,NaN,keyboard,keyboard,0,4493_ps_dnn_0_keyboard_10_n04505470_2488.png
cornet-s,5,14,NaN,keyboard,keyboard,0,4494_ps_dnn_0_keyboard_10_n04505470_4795.png
cornet-s,5,15,NaN,keyboard,keyboard,0,4495_ps_dnn_0_keyboard_10_n03085013_8157.png
cornet-s,5,16,NaN,keyboard,keyboard,0,4496_ps_dnn_0_keyboard_10_n04505470_4535.png
cornet-s,5,17,NaN,keyboard,keyboard,0,4497_ps_dnn_0_keyboard_10_n04505470_8822.png
cornet-s,5,18,NaN,keyboard,keyboard,0,4498_ps_dnn_0_keyboard_10_n03085013_20727.png
cornet-s,5,19,NaN,keyboard,keyboard,0,4499_ps_dnn_0_keyboard_10_n03085013_23790.png
cornet-s,5,20,NaN,keyboard,keyboard,0,4500_ps_dnn_0_keyboard_10_n03085013_20515.png
cornet-s,5,21,NaN,elephant,elephant,0,4501_ps_dnn_0_elephant_10_n02504013_8572.png
cornet-s,5,22,NaN,elephant,elephant,0,4502_ps_dnn_0_elephant_10_n02504458_7845.png
cornet-s,5,23,NaN,elephant,elephant,0,4503_ps_dnn_0_elephant_10_n02504013_3172.png
cornet-s,5,24,NaN,elephant,elephant,0,4504_ps_dnn_0_elephant_10_n02504013_10097.png
cornet-s,5,25,NaN,elephant,elephant,0,4505_ps_dnn_0_elephant_10_n02504458_6437.png
cornet-s,5,26,NaN,elephant,elephant,0,4506_ps_dnn_0_elephant_10_n02504013_344.png
cornet-s,5,27,NaN,elephant,elephant,0,4507_ps_dnn_0_elephant_10_n02504013_22099.png
cornet-s,5,28,NaN,elephant,elephant,0,4508_ps_dnn_0_elephant_10_n02504013_3969.png
cornet-s,5,29,NaN,elephant,elephant,0,4509_ps_dnn_0_elephant_10_n02504458_146.png
cornet-s,5,30,NaN,elephant,elephant,0,4510_ps_dnn_0_elephant_10_n02504458_3437.png
cornet-s,5,31,NaN,bicycle,bicycle,0,4511_ps_dnn_0_bicycle_10_n03792782_24756.png
cornet-s,5,32,NaN,bicycle,bicycle,0,4512_ps_dnn_0_bicycle_10_n03792782_4447.png
cornet-s,5,33,NaN,bicycle,bicycle,0,4513_ps_dnn_0_bicycle_10_n02835271_5986.png
cornet-s,5,34,NaN,bicycle,bicycle,0,4514_ps_dnn_0_bicycle_10_n03792782_20190.png
cornet-s,5,35,NaN,bicycle,bicycle,0,4515_ps_dnn_0_bicycle_10_n02835271_21043.png
cornet-s,5,36,NaN,bicycle,bicycle,0,4516_ps_dnn_0_bicycle_10_n03792782_5532.png
cornet-s,5,37,NaN,bicycle,bicycle,0,4517_ps_dnn_0_bicycle_10_n03792782_15427.png
