subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,3,1,NaN,knife,knife,0.00,2561_nse_dnn_0.00_knife_10_n03041632_36215.JPEG
cornet-s,3,2,NaN,knife,knife,0.00,2562_nse_dnn_0.00_knife_10_n03041632_27022.JPEG
cornet-s,3,3,NaN,knife,knife,0.00,2563_nse_dnn_0.00_knife_10_n03041632_44738.JPEG
cornet-s,3,4,NaN,knife,knife,0.00,2564_nse_dnn_0.00_knife_10_n03041632_32785.JPEG
cornet-s,3,5,NaN,knife,knife,0.00,2565_nse_dnn_0.00_knife_10_n03041632_965.JPEG
cornet-s,3,6,NaN,chair,knife,0.00,2566_nse_dnn_0.00_knife_10_n03041632_96345.JPEG
cornet-s,3,7,NaN,knife,knife,0.00,2567_nse_dnn_0.00_knife_10_n03041632_4714.JPEG
cornet-s,3,8,NaN,clock,knife,0.00,2568_nse_dnn_0.00_knife_10_n03041632_19866.JPEG
cornet-s,3,9,NaN,knife,knife,0.00,2569_nse_dnn_0.00_knife_10_n03041632_27832.JPEG
cornet-s,3,10,NaN,chair,knife,0.00,2570_nse_dnn_0.00_knife_10_n03041632_3926.JPEG
cornet-s,3,11,NaN,keyboard,keyboard,0.00,2571_nse_dnn_0.00_keyboard_10_n03085013_20302.JPEG
cornet-s,3,12,NaN,keyboard,keyboard,0.00,2572_nse_dnn_0.00_keyboard_10_n03085013_7152.JPEG
cornet-s,3,13,NaN,chair,keyboard,0.00,2573_nse_dnn_0.00_keyboard_10_n03085013_3980.JPEG
cornet-s,3,14,NaN,keyboard,keyboard,0.00,2574_nse_dnn_0.00_keyboard_10_n04505470_1342.JPEG
cornet-s,3,15,NaN,keyboard,keyboard,0.00,2575_nse_dnn_0.00_keyboard_10_n04505470_4440.JPEG
cornet-s,3,16,NaN,keyboard,keyboard,0.00,2576_nse_dnn_0.00_keyboard_10_n04505470_1648.JPEG
cornet-s,3,17,NaN,keyboard,keyboard,0.00,2577_nse_dnn_0.00_keyboard_10_n03085013_5738.JPEG
cornet-s,3,18,NaN,keyboard,keyboard,0.00,2578_nse_dnn_0.00_keyboard_10_n04505470_4966.JPEG
cornet-s,3,19,NaN,cat,keyboard,0.00,2579_nse_dnn_0.00_keyboard_10_n03085013_24316.JPEG
cornet-s,3,20,NaN,keyboard,keyboard,0.00,2580_nse_dnn_0.00_keyboard_10_n03085013_7879.JPEG
cornet-s,3,21,NaN,elephant,elephant,0.00,2581_nse_dnn_0.00_elephant_10_n02504013_9401.JPEG
cornet-s,3,22,NaN,elephant,elephant,0.00,2582_nse_dnn_0.00_elephant_10_n02504013_7351.JPEG
cornet-s,3,23,NaN,elephant,elephant,0.00,2583_nse_dnn_0.00_elephant_10_n02504458_6792.JPEG
cornet-s,3,24,NaN,boat,elephant,0.00,2584_nse_dnn_0.00_elephant_10_n02504458_7621.JPEG
cornet-s,3,25,NaN,elephant,elephant,0.00,2585_nse_dnn_0.00_elephant_10_n02504458_4248.JPEG
cornet-s,3,26,NaN,elephant,elephant,0.00,2586_nse_dnn_0.00_elephant_10_n02504458_8414.JPEG
cornet-s,3,27,NaN,elephant,elephant,0.00,2587_nse_dnn_0.00_elephant_10_n02504458_2272.JPEG
cornet-s,3,28,NaN,elephant,elephant,0.00,2588_nse_dnn_0.00_elephant_10_n02504458_4036.JPEG
cornet-s,3,29,NaN,elephant,elephant,0.00,2589_nse_dnn_0.00_elephant_10_n02504458_6109.JPEG
cornet-s,3,30,NaN,elephant,elephant,0.00,2590_nse_dnn_0.00_elephant_10_n02504458_2977.JPEG
cornet-s,3,31,NaN,bicycle,bicycle,0.00,2591_nse_dnn_0.00_bicycle_10_n02835271_4334.JPEG
cornet-s,3,32,NaN,bicycle,bicycle,0.00,2592_nse_dnn_0.00_bicycle_10_n02835271_9286.JPEG
cornet-s,3,33,NaN,bicycle,bicycle,0.00,2593_nse_dnn_0.00_bicycle_10_n03792782_15435.JPEG
cornet-s,3,34,NaN,truck,bicycle,0.00,2594_nse_dnn_0.00_bicycle_10_n03792782_2024.JPEG
cornet-s,3,35,NaN,bicycle,bicycle,0.00,2595_nse_dnn_0.00_bicycle_10_n02835271_21371.JPEG
cornet-s,3,36,NaN,bicycle,bicycle,0.00,2596_nse_dnn_0.00_bicycle_10_n02835271_9860.JPEG
cornet-s,3,37,NaN,bicycle,bicycle,0.00,2597_nse_dnn_0.00_bicycle_10_n02835271_7597.JPEG
cornet-s,3,38,NaN,bicycle,bicycle,0.00,2598_nse_dnn_0.00_bicycle_10_n02835271_24847.JPEG
cornet-s,3,39,NaN,bicycle,bicycle,0.00,2599_nse_dnn_0.00_bicycle_10_n02835271_5986.JPEG
cornet-s,3,40,NaN,bicycle,bicycle,0.00,2600_nse_dnn_0.00_bicycle_10_n03792782_3357.JPEG
cornet-s,3,41,NaN,airplane,airplane,0.00,2601_nse_dnn_0.00_airplane_10_n02690373_1310.JPEG
cornet-s,3,42,NaN,airplane,airplane,0.00,2602_nse_dnn_0.00_airplane_10_n02690373_10657.JPEG
cornet-s,3,43,NaN,airplane,airplane,0.00,2603_nse_dnn_0.00_airplane_10_n02690373_7408.JPEG
cornet-s,3,44,NaN,airplane,airplane,0.00,2604_nse_dnn_0.00_airplane_10_n02690373_4495.JPEG
cornet-s,3,45,NaN,airplane,airplane,0.00,2605_nse_dnn_0.00_airplane_10_n02690373_3362.JPEG
cornet-s,3,46,NaN,airplane,airplane,0.00,2606_nse_dnn_0.00_airplane_10_n02690373_7473.JPEG
cornet-s,3,47,NaN,airplane,airplane,0.00,2607_nse_dnn_0.00_airplane_10_n02690373_1983.JPEG
cornet-s,3,48,NaN,airplane,airplane,0.00,2608_nse_dnn_0.00_airplane_10_n02690373_1083.JPEG
cornet-s,3,49,NaN,airplane,airplane,0.00,2609_nse_dnn_0.00_airplane_10_n02690373_8123.JPEG
cornet-s,3,50,NaN,airplane,airplane,0.00,2610_nse_dnn_0.00_airplane_10_n02690373_919.JPEG
cornet-s,3,51,NaN,clock,clock,0.00,2611_nse_dnn_0.00_clock_10_n02708093_6628.JPEG
cornet-s,3,52,NaN,clock,clock,0.00,2612_nse_dnn_0.00_clock_10_n04548280_5545.JPEG
cornet-s,3,53,NaN,clock,clock,0.00,2613_nse_dnn_0.00_clock_10_n03196217_1687.JPEG
cornet-s,3,54,NaN,clock,clock,0.00,2614_nse_dnn_0.00_clock_10_n02708093_5158.JPEG
cornet-s,3,55,NaN,clock,clock,0.00,2615_nse_dnn_0.00_clock_10_n04548280_6235.JPEG
cornet-s,3,56,NaN,clock,clock,0.00,2616_nse_dnn_0.00_clock_10_n04548280_360.JPEG
cornet-s,3,57,NaN,clock,clock,0.00,2617_nse_dnn_0.00_clock_10_n04548280_17194.JPEG
cornet-s,3,58,NaN,chair,clock,0.00,2618_nse_dnn_0.00_clock_10_n04548280_4783.JPEG
cornet-s,3,59,NaN,clock,clock,0.00,2619_nse_dnn_0.00_clock_10_n03196217_7431.JPEG
cornet-s,3,60,NaN,clock,clock,0.00,2620_nse_dnn_0.00_clock_10_n02708093_275.JPEG
cornet-s,3,61,NaN,bear,oven,0.00,2621_nse_dnn_0.00_oven_10_n04111531_13128.JPEG
cornet-s,3,62,NaN,oven,oven,0.00,2622_nse_dnn_0.00_oven_10_n04111531_5940.JPEG
cornet-s,3,63,NaN,oven,oven,0.00,2623_nse_dnn_0.00_oven_10_n04111531_22020.JPEG
cornet-s,3,64,NaN,oven,oven,0.00,2624_nse_dnn_0.00_oven_10_n04111531_6080.JPEG
cornet-s,3,65,NaN,truck,oven,0.00,2625_nse_dnn_0.00_oven_10_n04111531_9779.JPEG
cornet-s,3,66,NaN,elephant,oven,0.00,2626_nse_dnn_0.00_oven_10_n04111531_9805.JPEG
cornet-s,3,67,NaN,clock,oven,0.00,2627_nse_dnn_0.00_oven_10_n04111531_8537.JPEG
cornet-s,3,68,NaN,bottle,oven,0.00,2628_nse_dnn_0.00_oven_10_n04111531_10064.JPEG
cornet-s,3,69,NaN,oven,oven,0.00,2629_nse_dnn_0.00_oven_10_n04111531_9178.JPEG
cornet-s,3,70,NaN,chair,oven,0.00,2630_nse_dnn_0.00_oven_10_n04111531_4826.JPEG
cornet-s,3,71,NaN,chair,chair,0.00,2631_nse_dnn_0.00_chair_10_n04099969_39368.JPEG
cornet-s,3,72,NaN,chair,chair,0.00,2632_nse_dnn_0.00_chair_10_n03376595_3968.JPEG
cornet-s,3,73,NaN,chair,chair,0.00,2633_nse_dnn_0.00_chair_10_n04099969_7153.JPEG
cornet-s,3,74,NaN,chair,chair,0.00,2634_nse_dnn_0.00_chair_10_n03376595_15191.JPEG
cornet-s,3,75,NaN,chair,chair,0.00,2635_nse_dnn_0.00_chair_10_n04429376_19319.JPEG
cornet-s,3,76,NaN,chair,chair,0.00,2636_nse_dnn_0.00_chair_10_n03376595_1712.JPEG
cornet-s,3,77,NaN,chair,chair,0.00,2637_nse_dnn_0.00_chair_10_n02791124_5410.JPEG
cornet-s,3,78,NaN,chair,chair,0.00,2638_nse_dnn_0.00_chair_10_n02791124_14.JPEG
cornet-s,3,79,NaN,chair,chair,0.00,2639_nse_dnn_0.00_chair_10_n04099969_5524.JPEG
cornet-s,3,80,NaN,chair,chair,0.00,2640_nse_dnn_0.00_chair_10_n03376595_4234.JPEG
cornet-s,3,81,NaN,bear,bear,0.00,2641_nse_dnn_0.00_bear_10_n02132136_12198.JPEG
cornet-s,3,82,NaN,bear,bear,0.00,2642_nse_dnn_0.00_bear_10_n02134084_1022.JPEG
cornet-s,3,83,NaN,bear,bear,0.00,2643_nse_dnn_0.00_bear_10_n02132136_3981.JPEG
cornet-s,3,84,NaN,bear,bear,0.00,2644_nse_dnn_0.00_bear_10_n02133161_4617.JPEG
cornet-s,3,85,NaN,bear,bear,0.00,2645_nse_dnn_0.00_bear_10_n02134418_2660.JPEG
cornet-s,3,86,NaN,bear,bear,0.00,2646_nse_dnn_0.00_bear_10_n02133161_1222.JPEG
cornet-s,3,87,NaN,bear,bear,0.00,2647_nse_dnn_0.00_bear_10_n02134084_2953.JPEG
cornet-s,3,88,NaN,bear,bear,0.00,2648_nse_dnn_0.00_bear_10_n02134084_2516.JPEG
cornet-s,3,89,NaN,chair,bear,0.00,2649_nse_dnn_0.00_bear_10_n02134418_5231.JPEG
cornet-s,3,90,NaN,bear,bear,0.00,2650_nse_dnn_0.00_bear_10_n02134418_5219.JPEG
