subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,1,1,NaN,airplane,airplane,NaN,airplane1.png
cornet-s,1,2,NaN,knife,airplane,NaN,airplane10.png
cornet-s,1,3,NaN,knife,airplane,NaN,airplane2.png
cornet-s,1,4,NaN,bird,airplane,NaN,airplane3.png
cornet-s,1,5,NaN,knife,airplane,NaN,airplane4.png
cornet-s,1,6,NaN,bird,airplane,NaN,airplane5.png
cornet-s,1,7,NaN,bird,airplane,NaN,airplane6.png
cornet-s,1,8,NaN,bird,airplane,NaN,airplane7.png
cornet-s,1,9,NaN,knife,airplane,NaN,airplane8.png
cornet-s,1,10,NaN,knife,airplane,NaN,airplane9.png
cornet-s,1,11,NaN,bird,bear,NaN,bear1.png
cornet-s,1,12,NaN,bird,bear,NaN,bear10.png
cornet-s,1,13,NaN,bird,bear,NaN,bear2.png
cornet-s,1,14,NaN,bird,bear,NaN,bear3.png
cornet-s,1,15,NaN,knife,bear,NaN,bear4.png
cornet-s,1,16,NaN,bird,bear,NaN,bear5.png
cornet-s,1,17,NaN,bird,bear,NaN,bear6.png
cornet-s,1,18,NaN,bird,bear,NaN,bear7.png
cornet-s,1,19,NaN,knife,bear,NaN,bear8.png
cornet-s,1,20,NaN,bird,bear,NaN,bear9.png
cornet-s,1,21,NaN,knife,bicycle,NaN,bicycle1.png
cornet-s,1,22,NaN,knife,bicycle,NaN,bicycle10.png
cornet-s,1,23,NaN,bird,bicycle,NaN,bicycle2.png
cornet-s,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
cornet-s,1,25,NaN,knife,bicycle,NaN,bicycle4.png
cornet-s,1,26,NaN,clock,bicycle,NaN,bicycle5.png
cornet-s,1,27,NaN,knife,bicycle,NaN,bicycle6.png
cornet-s,1,28,NaN,clock,bicycle,NaN,bicycle7.png
cornet-s,1,29,NaN,knife,bicycle,NaN,bicycle8.png
cornet-s,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
cornet-s,1,31,NaN,knife,bird,NaN,bird1.png
cornet-s,1,32,NaN,bird,bird,NaN,bird10.png
cornet-s,1,33,NaN,knife,bird,NaN,bird2.png
cornet-s,1,34,NaN,bottle,bird,NaN,bird3.png
cornet-s,1,35,NaN,bird,bird,NaN,bird4.png
cornet-s,1,36,NaN,knife,bird,NaN,bird5.png
cornet-s,1,37,NaN,bird,bird,NaN,bird6.png
cornet-s,1,38,NaN,clock,bird,NaN,bird7.png
cornet-s,1,39,NaN,knife,bird,NaN,bird8.png
cornet-s,1,40,NaN,bird,bird,NaN,bird9.png
cornet-s,1,41,NaN,knife,boat,NaN,boat1.png
cornet-s,1,42,NaN,knife,boat,NaN,boat10.png
cornet-s,1,43,NaN,boat,boat,NaN,boat2.png
cornet-s,1,44,NaN,knife,boat,NaN,boat3.png
cornet-s,1,45,NaN,knife,boat,NaN,boat4.png
cornet-s,1,46,NaN,bird,boat,NaN,boat5.png
cornet-s,1,47,NaN,knife,boat,NaN,boat6.png
cornet-s,1,48,NaN,clock,boat,NaN,boat7.png
cornet-s,1,49,NaN,knife,boat,NaN,boat8.png
cornet-s,1,50,NaN,bird,boat,NaN,boat9.png
cornet-s,1,51,NaN,bottle,bottle,NaN,bottle1.png
cornet-s,1,52,NaN,bottle,bottle,NaN,bottle10.png
cornet-s,1,53,NaN,bottle,bottle,NaN,bottle2.png
cornet-s,1,54,NaN,knife,bottle,NaN,bottle3.png
cornet-s,1,55,NaN,bottle,bottle,NaN,bottle4.png
cornet-s,1,56,NaN,bottle,bottle,NaN,bottle5.png
cornet-s,1,57,NaN,bottle,bottle,NaN,bottle6.png
cornet-s,1,58,NaN,bottle,bottle,NaN,bottle7.png
cornet-s,1,59,NaN,bottle,bottle,NaN,bottle8.png
cornet-s,1,60,NaN,knife,bottle,NaN,bottle9.png
cornet-s,1,61,NaN,knife,car,NaN,car1.png
cornet-s,1,62,NaN,knife,car,NaN,car10.png
cornet-s,1,63,NaN,clock,car,NaN,car2.png
cornet-s,1,64,NaN,knife,car,NaN,car3.png
cornet-s,1,65,NaN,knife,car,NaN,car4.png
cornet-s,1,66,NaN,knife,car,NaN,car5.png
cornet-s,1,67,NaN,knife,car,NaN,car6.png
cornet-s,1,68,NaN,knife,car,NaN,car7.png
cornet-s,1,69,NaN,knife,car,NaN,car8.png
cornet-s,1,70,NaN,clock,car,NaN,car9.png
cornet-s,1,71,NaN,cat,cat,NaN,cat1.png
cornet-s,1,72,NaN,knife,cat,NaN,cat10.png
cornet-s,1,73,NaN,knife,cat,NaN,cat2.png
cornet-s,1,74,NaN,bird,cat,NaN,cat3.png
cornet-s,1,75,NaN,knife,cat,NaN,cat4.png
cornet-s,1,76,NaN,bird,cat,NaN,cat5.png
cornet-s,1,77,NaN,knife,cat,NaN,cat6.png
cornet-s,1,78,NaN,bird,cat,NaN,cat7.png
cornet-s,1,79,NaN,knife,cat,NaN,cat8.png
cornet-s,1,80,NaN,knife,cat,NaN,cat9.png
cornet-s,1,81,NaN,knife,chair,NaN,chair1.png
cornet-s,1,82,NaN,chair,chair,NaN,chair10.png
cornet-s,1,83,NaN,chair,chair,NaN,chair2.png
cornet-s,1,84,NaN,chair,chair,NaN,chair3.png
cornet-s,1,85,NaN,knife,chair,NaN,chair4.png
cornet-s,1,86,NaN,bottle,chair,NaN,chair5.png
cornet-s,1,87,NaN,clock,chair,NaN,chair6.png
cornet-s,1,88,NaN,chair,chair,NaN,chair7.png
cornet-s,1,89,NaN,chair,chair,NaN,chair8.png
cornet-s,1,90,NaN,bottle,chair,NaN,chair9.png
cornet-s,1,91,NaN,knife,clock,NaN,clock1.png
cornet-s,1,92,NaN,knife,clock,NaN,clock10.png
cornet-s,1,93,NaN,clock,clock,NaN,clock2.png
cornet-s,1,94,NaN,clock,clock,NaN,clock3.png
cornet-s,1,95,NaN,clock,clock,NaN,clock4.png
cornet-s,1,96,NaN,clock,clock,NaN,clock5.png
cornet-s,1,97,NaN,clock,clock,NaN,clock6.png
cornet-s,1,98,NaN,knife,clock,NaN,clock7.png
cornet-s,1,99,NaN,clock,clock,NaN,clock8.png
cornet-s,1,100,NaN,clock,clock,NaN,clock9.png
cornet-s,1,101,NaN,bird,dog,NaN,dog1.png
cornet-s,1,102,NaN,knife,dog,NaN,dog10.png
cornet-s,1,103,NaN,bird,dog,NaN,dog2.png
cornet-s,1,104,NaN,bird,dog,NaN,dog3.png
cornet-s,1,105,NaN,knife,dog,NaN,dog4.png
cornet-s,1,106,NaN,bird,dog,NaN,dog5.png
cornet-s,1,107,NaN,bird,dog,NaN,dog6.png
cornet-s,1,108,NaN,bird,dog,NaN,dog7.png
cornet-s,1,109,NaN,knife,dog,NaN,dog8.png
cornet-s,1,110,NaN,knife,dog,NaN,dog9.png
cornet-s,1,111,NaN,knife,elephant,NaN,elephant1.png
cornet-s,1,112,NaN,knife,elephant,NaN,elephant10.png
cornet-s,1,113,NaN,knife,elephant,NaN,elephant2.png
cornet-s,1,114,NaN,knife,elephant,NaN,elephant3.png
cornet-s,1,115,NaN,bird,elephant,NaN,elephant4.png
cornet-s,1,116,NaN,knife,elephant,NaN,elephant5.png
cornet-s,1,117,NaN,bird,elephant,NaN,elephant6.png
cornet-s,1,118,NaN,knife,elephant,NaN,elephant7.png
cornet-s,1,119,NaN,bird,elephant,NaN,elephant8.png
cornet-s,1,120,NaN,bird,elephant,NaN,elephant9.png
cornet-s,1,121,NaN,knife,keyboard,NaN,keyboard1.png
cornet-s,1,122,NaN,knife,keyboard,NaN,keyboard10.png
cornet-s,1,123,NaN,knife,keyboard,NaN,keyboard2.png
cornet-s,1,124,NaN,knife,keyboard,NaN,keyboard3.png
cornet-s,1,125,NaN,knife,keyboard,NaN,keyboard4.png
cornet-s,1,126,NaN,knife,keyboard,NaN,keyboard5.png
cornet-s,1,127,NaN,knife,keyboard,NaN,keyboard6.png
cornet-s,1,128,NaN,keyboard,keyboard,NaN,keyboard7.png
cornet-s,1,129,NaN,knife,keyboard,NaN,keyboard8.png
cornet-s,1,130,NaN,knife,keyboard,NaN,keyboard9.png
cornet-s,1,131,NaN,knife,knife,NaN,knife1.png
cornet-s,1,132,NaN,knife,knife,NaN,knife10.png
cornet-s,1,133,NaN,knife,knife,NaN,knife2.png
cornet-s,1,134,NaN,knife,knife,NaN,knife3.png
cornet-s,1,135,NaN,knife,knife,NaN,knife4.png
cornet-s,1,136,NaN,knife,knife,NaN,knife5.png
cornet-s,1,137,NaN,knife,knife,NaN,knife6.png
cornet-s,1,138,NaN,knife,knife,NaN,knife7.png
cornet-s,1,139,NaN,knife,knife,NaN,knife8.png
cornet-s,1,140,NaN,knife,knife,NaN,knife9.png
cornet-s,1,141,NaN,knife,oven,NaN,oven1.png
cornet-s,1,142,NaN,knife,oven,NaN,oven10.png
cornet-s,1,143,NaN,knife,oven,NaN,oven2.png
cornet-s,1,144,NaN,knife,oven,NaN,oven3.png
cornet-s,1,145,NaN,knife,oven,NaN,oven4.png
cornet-s,1,146,NaN,knife,oven,NaN,oven5.png
cornet-s,1,147,NaN,knife,oven,NaN,oven6.png
cornet-s,1,148,NaN,knife,oven,NaN,oven7.png
cornet-s,1,149,NaN,knife,oven,NaN,oven8.png
cornet-s,1,150,NaN,knife,oven,NaN,oven9.png
cornet-s,1,151,NaN,knife,truck,NaN,truck1.png
cornet-s,1,152,NaN,bottle,truck,NaN,truck10.png
cornet-s,1,153,NaN,knife,truck,NaN,truck2.png
cornet-s,1,154,NaN,knife,truck,NaN,truck3.png
cornet-s,1,155,NaN,knife,truck,NaN,truck4.png
cornet-s,1,156,NaN,knife,truck,NaN,truck5.png
cornet-s,1,157,NaN,knife,truck,NaN,truck6.png
cornet-s,1,158,NaN,knife,truck,NaN,truck7.png
cornet-s,1,159,NaN,knife,truck,NaN,truck8.png
cornet-s,1,160,NaN,knife,truck,NaN,truck9.png
