subj,session,trial,rt,object_response,category,condition,imagename
resnet18,1,1,NaN,clock,airplane,NaN,airplane1.png
resnet18,1,2,NaN,knife,airplane,NaN,airplane10.png
resnet18,1,3,NaN,clock,airplane,NaN,airplane2.png
resnet18,1,4,NaN,bird,airplane,NaN,airplane3.png
resnet18,1,5,NaN,knife,airplane,NaN,airplane4.png
resnet18,1,6,NaN,chair,airplane,NaN,airplane5.png
resnet18,1,7,NaN,clock,airplane,NaN,airplane6.png
resnet18,1,8,NaN,clock,airplane,NaN,airplane7.png
resnet18,1,9,NaN,knife,airplane,NaN,airplane8.png
resnet18,1,10,NaN,knife,airplane,NaN,airplane9.png
resnet18,1,11,NaN,clock,bear,NaN,bear1.png
resnet18,1,12,NaN,clock,bear,NaN,bear10.png
resnet18,1,13,NaN,clock,bear,NaN,bear2.png
resnet18,1,14,NaN,clock,bear,NaN,bear3.png
resnet18,1,15,NaN,clock,bear,NaN,bear4.png
resnet18,1,16,NaN,clock,bear,NaN,bear5.png
resnet18,1,17,NaN,clock,bear,NaN,bear6.png
resnet18,1,18,NaN,clock,bear,NaN,bear7.png
resnet18,1,19,NaN,clock,bear,NaN,bear8.png
resnet18,1,20,NaN,clock,bear,NaN,bear9.png
resnet18,1,21,NaN,clock,bicycle,NaN,bicycle1.png
resnet18,1,22,NaN,clock,bicycle,NaN,bicycle10.png
resnet18,1,23,NaN,knife,bicycle,NaN,bicycle2.png
resnet18,1,24,NaN,clock,bicycle,NaN,bicycle3.png
resnet18,1,25,NaN,clock,bicycle,NaN,bicycle4.png
resnet18,1,26,NaN,clock,bicycle,NaN,bicycle5.png
resnet18,1,27,NaN,clock,bicycle,NaN,bicycle6.png
resnet18,1,28,NaN,clock,bicycle,NaN,bicycle7.png
resnet18,1,29,NaN,clock,bicycle,NaN,bicycle8.png
resnet18,1,30,NaN,clock,bicycle,NaN,bicycle9.png
resnet18,1,31,NaN,clock,bird,NaN,bird1.png
resnet18,1,32,NaN,clock,bird,NaN,bird10.png
resnet18,1,33,NaN,clock,bird,NaN,bird2.png
resnet18,1,34,NaN,bottle,bird,NaN,bird3.png
resnet18,1,35,NaN,knife,bird,NaN,bird4.png
resnet18,1,36,NaN,knife,bird,NaN,bird5.png
resnet18,1,37,NaN,clock,bird,NaN,bird6.png
resnet18,1,38,NaN,clock,bird,NaN,bird7.png
resnet18,1,39,NaN,knife,bird,NaN,bird8.png
resnet18,1,40,NaN,bird,bird,NaN,bird9.png
resnet18,1,41,NaN,knife,boat,NaN,boat1.png
resnet18,1,42,NaN,knife,boat,NaN,boat10.png
resnet18,1,43,NaN,knife,boat,NaN,boat2.png
resnet18,1,44,NaN,clock,boat,NaN,boat3.png
resnet18,1,45,NaN,knife,boat,NaN,boat4.png
resnet18,1,46,NaN,clock,boat,NaN,boat5.png
resnet18,1,47,NaN,knife,boat,NaN,boat6.png
resnet18,1,48,NaN,bottle,boat,NaN,boat7.png
resnet18,1,49,NaN,knife,boat,NaN,boat8.png
resnet18,1,50,NaN,bird,boat,NaN,boat9.png
resnet18,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet18,1,52,NaN,bottle,bottle,NaN,bottle10.png
resnet18,1,53,NaN,bottle,bottle,NaN,bottle2.png
resnet18,1,54,NaN,bottle,bottle,NaN,bottle3.png
resnet18,1,55,NaN,knife,bottle,NaN,bottle4.png
resnet18,1,56,NaN,bottle,bottle,NaN,bottle5.png
resnet18,1,57,NaN,bottle,bottle,NaN,bottle6.png
resnet18,1,58,NaN,bottle,bottle,NaN,bottle7.png
resnet18,1,59,NaN,bottle,bottle,NaN,bottle8.png
resnet18,1,60,NaN,bottle,bottle,NaN,bottle9.png
resnet18,1,61,NaN,clock,car,NaN,car1.png
resnet18,1,62,NaN,knife,car,NaN,car10.png
resnet18,1,63,NaN,clock,car,NaN,car2.png
resnet18,1,64,NaN,knife,car,NaN,car3.png
resnet18,1,65,NaN,knife,car,NaN,car4.png
resnet18,1,66,NaN,clock,car,NaN,car5.png
resnet18,1,67,NaN,knife,car,NaN,car6.png
resnet18,1,68,NaN,knife,car,NaN,car7.png
resnet18,1,69,NaN,knife,car,NaN,car8.png
resnet18,1,70,NaN,knife,car,NaN,car9.png
resnet18,1,71,NaN,chair,cat,NaN,cat1.png
resnet18,1,72,NaN,clock,cat,NaN,cat10.png
resnet18,1,73,NaN,clock,cat,NaN,cat2.png
resnet18,1,74,NaN,clock,cat,NaN,cat3.png
resnet18,1,75,NaN,clock,cat,NaN,cat4.png
resnet18,1,76,NaN,clock,cat,NaN,cat5.png
resnet18,1,77,NaN,chair,cat,NaN,cat6.png
resnet18,1,78,NaN,clock,cat,NaN,cat7.png
resnet18,1,79,NaN,clock,cat,NaN,cat8.png
resnet18,1,80,NaN,clock,cat,NaN,cat9.png
