subj,session,trial,rt,object_response,category,condition,imagename
resnet50-trained-on-SIN,1,1,NaN,airplane,airplane,NaN,airplane1.png
resnet50-trained-on-SIN,1,2,NaN,airplane,airplane,NaN,airplane10.png
resnet50-trained-on-SIN,1,3,NaN,oven,airplane,NaN,airplane2.png
resnet50-trained-on-SIN,1,4,NaN,airplane,airplane,NaN,airplane3.png
resnet50-trained-on-SIN,1,5,NaN,keyboard,airplane,NaN,airplane4.png
resnet50-trained-on-SIN,1,6,NaN,airplane,airplane,NaN,airplane5.png
resnet50-trained-on-SIN,1,7,NaN,airplane,airplane,NaN,airplane6.png
resnet50-trained-on-SIN,1,8,NaN,chair,airplane,NaN,airplane7.png
resnet50-trained-on-SIN,1,9,NaN,clock,airplane,NaN,airplane8.png
resnet50-trained-on-SIN,1,10,NaN,keyboard,airplane,NaN,airplane9.png
resnet50-trained-on-SIN,1,11,NaN,elephant,bear,NaN,bear1.png
resnet50-trained-on-SIN,1,12,NaN,clock,bear,NaN,bear10.png
resnet50-trained-on-SIN,1,13,NaN,bottle,bear,NaN,bear2.png
resnet50-trained-on-SIN,1,14,NaN,knife,bear,NaN,bear3.png
resnet50-trained-on-SIN,1,15,NaN,keyboard,bear,NaN,bear4.png
resnet50-trained-on-SIN,1,16,NaN,elephant,bear,NaN,bear5.png
resnet50-trained-on-SIN,1,17,NaN,knife,bear,NaN,bear6.png
resnet50-trained-on-SIN,1,18,NaN,elephant,bear,NaN,bear7.png
resnet50-trained-on-SIN,1,19,NaN,clock,bear,NaN,bear8.png
resnet50-trained-on-SIN,1,20,NaN,bottle,bear,NaN,bear9.png
resnet50-trained-on-SIN,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
resnet50-trained-on-SIN,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
resnet50-trained-on-SIN,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
resnet50-trained-on-SIN,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
resnet50-trained-on-SIN,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
resnet50-trained-on-SIN,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
resnet50-trained-on-SIN,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
resnet50-trained-on-SIN,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
resnet50-trained-on-SIN,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
resnet50-trained-on-SIN,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
resnet50-trained-on-SIN,1,31,NaN,clock,bird,NaN,bird1.png
resnet50-trained-on-SIN,1,32,NaN,knife,bird,NaN,bird10.png
resnet50-trained-on-SIN,1,33,NaN,bird,bird,NaN,bird2.png
resnet50-trained-on-SIN,1,34,NaN,bottle,bird,NaN,bird3.png
resnet50-trained-on-SIN,1,35,NaN,keyboard,bird,NaN,bird4.png
resnet50-trained-on-SIN,1,36,NaN,knife,bird,NaN,bird5.png
resnet50-trained-on-SIN,1,37,NaN,knife,bird,NaN,bird6.png
resnet50-trained-on-SIN,1,38,NaN,clock,bird,NaN,bird7.png
resnet50-trained-on-SIN,1,39,NaN,knife,bird,NaN,bird8.png
resnet50-trained-on-SIN,1,40,NaN,bird,bird,NaN,bird9.png
resnet50-trained-on-SIN,1,41,NaN,bottle,boat,NaN,boat1.png
resnet50-trained-on-SIN,1,42,NaN,bottle,boat,NaN,boat10.png
resnet50-trained-on-SIN,1,43,NaN,clock,boat,NaN,boat2.png
resnet50-trained-on-SIN,1,44,NaN,keyboard,boat,NaN,boat3.png
resnet50-trained-on-SIN,1,45,NaN,keyboard,boat,NaN,boat4.png
resnet50-trained-on-SIN,1,46,NaN,clock,boat,NaN,boat5.png
resnet50-trained-on-SIN,1,47,NaN,boat,boat,NaN,boat6.png
resnet50-trained-on-SIN,1,48,NaN,boat,boat,NaN,boat7.png
resnet50-trained-on-SIN,1,49,NaN,clock,boat,NaN,boat8.png
resnet50-trained-on-SIN,1,50,NaN,boat,boat,NaN,boat9.png
resnet50-trained-on-SIN,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet50-trained-on-SIN,1,52,NaN,bottle,bottle,NaN,bottle10.png
resnet50-trained-on-SIN,1,53,NaN,bottle,bottle,NaN,bottle2.png
