subj,session,trial,rt,object_response,category,condition,imagename
vgg11-bn,1,1,NaN,clock,airplane,NaN,airplane1.png
vgg11-bn,1,2,NaN,knife,airplane,NaN,airplane10.png
vgg11-bn,1,3,NaN,clock,airplane,NaN,airplane2.png
vgg11-bn,1,4,NaN,clock,airplane,NaN,airplane3.png
vgg11-bn,1,5,NaN,knife,airplane,NaN,airplane4.png
vgg11-bn,1,6,NaN,clock,airplane,NaN,airplane5.png
vgg11-bn,1,7,NaN,clock,airplane,NaN,airplane6.png
vgg11-bn,1,8,NaN,clock,airplane,NaN,airplane7.png
vgg11-bn,1,9,NaN,clock,airplane,NaN,airplane8.png
vgg11-bn,1,10,NaN,knife,airplane,NaN,airplane9.png
vgg11-bn,1,11,NaN,clock,bear,NaN,bear1.png
vgg11-bn,1,12,NaN,knife,bear,NaN,bear10.png
vgg11-bn,1,13,NaN,clock,bear,NaN,bear2.png
vgg11-bn,1,14,NaN,clock,bear,NaN,bear3.png
vgg11-bn,1,15,NaN,clock,bear,NaN,bear4.png
vgg11-bn,1,16,NaN,clock,bear,NaN,bear5.png
vgg11-bn,1,17,NaN,clock,bear,NaN,bear6.png
vgg11-bn,1,18,NaN,clock,bear,NaN,bear7.png
vgg11-bn,1,19,NaN,clock,bear,NaN,bear8.png
vgg11-bn,1,20,NaN,clock,bear,NaN,bear9.png
vgg11-bn,1,21,NaN,clock,bicycle,NaN,bicycle1.png
vgg11-bn,1,22,NaN,clock,bicycle,NaN,bicycle10.png
vgg11-bn,1,23,NaN,clock,bicycle,NaN,bicycle2.png
vgg11-bn,1,24,NaN,clock,bicycle,NaN,bicycle3.png
vgg11-bn,1,25,NaN,clock,bicycle,NaN,bicycle4.png
vgg11-bn,1,26,NaN,clock,bicycle,NaN,bicycle5.png
vgg11-bn,1,27,NaN,clock,bicycle,NaN,bicycle6.png
vgg11-bn,1,28,NaN,clock,bicycle,NaN,bicycle7.png
vgg11-bn,1,29,NaN,clock,bicycle,NaN,bicycle8.png
vgg11-bn,1,30,NaN,clock,bicycle,NaN,bicycle9.png
vgg11-bn,1,31,NaN,clock,bird,NaN,bird1.png
vgg11-bn,1,32,NaN,clock,bird,NaN,bird10.png
vgg11-bn,1,33,NaN,clock,bird,NaN,bird2.png
vgg11-bn,1,34,NaN,clock,bird,NaN,bird3.png
vgg11-bn,1,35,NaN,clock,bird,NaN,bird4.png
vgg11-bn,1,36,NaN,clock,bird,NaN,bird5.png
vgg11-bn,1,37,NaN,knife,bird,NaN,bird6.png
vgg11-bn,1,38,NaN,clock,bird,NaN,bird7.png
vgg11-bn,1,39,NaN,clock,bird,NaN,bird8.png
vgg11-bn,1,40,NaN,keyboard,bird,NaN,bird9.png
vgg11-bn,1,41,NaN,oven,boat,NaN,boat1.png
vgg11-bn,1,42,NaN,clock,boat,NaN,boat10.png
vgg11-bn,1,43,NaN,clock,boat,NaN,boat2.png
vgg11-bn,1,44,NaN,clock,boat,NaN,boat3.png
vgg11-bn,1,45,NaN,knife,boat,NaN,boat4.png
vgg11-bn,1,46,NaN,clock,boat,NaN,boat5.png
vgg11-bn,1,47,NaN,knife,boat,NaN,boat6.png
vgg11-bn,1,48,NaN,bottle,boat,NaN,boat7.png
vgg11-bn,1,49,NaN,clock,boat,NaN,boat8.png
vgg11-bn,1,50,NaN,clock,boat,NaN,boat9.png
vgg11-bn,1,51,NaN,clock,bottle,NaN,bottle1.png
vgg11-bn,1,52,NaN,clock,bottle,NaN,bottle10.png
vgg11-bn,1,53,NaN,bottle,bottle,NaN,bottle2.png
vgg11-bn,1,54,NaN,knife,bottle,NaN,bottle3.png
vgg11-bn,1,55,NaN,knife,bottle,NaN,bottle4.png
vgg11-bn,1,56,NaN,clock,bottle,NaN,bottle5.png
vgg11-bn,1,57,NaN,knife,bottle,NaN,bottle6.png
vgg11-bn,1,58,NaN,bottle,bottle,NaN,bottle7.png
vgg11-bn,1,59,NaN,bottle,bottle,NaN,bottle8.png
vgg11-bn,1,60,NaN,clock,bottle,NaN,bottle9.png
vgg11-bn,1,61,NaN,clock,car,NaN,car1.png
vgg11-bn,1,62,NaN,clock,car,NaN,car10.png
vgg11-bn,1,63,NaN,knife,car,NaN,car2.png
vgg11-bn,1,64,NaN,clock,car,NaN,car3.png
vgg11-bn,1,65,NaN,clock,car,NaN,car4.png
vgg11-bn,1,66,NaN,clock,car,NaN,car5.png
vgg11-bn,1,67,NaN,clock,car,NaN,car6.png
vgg11-bn,1,68,NaN,knife,car,NaN,car7.png
vgg11-bn,1,69,NaN,knife,car,NaN,car8.png
vgg11-bn,1,70,NaN,clock,car,NaN,car9.png
vgg11-bn,1,71,NaN,clock,cat,NaN,cat1.png
vgg11-bn,1,72,NaN,clock,cat,NaN,cat10.png
vgg11-bn,1,73,NaN,clock,cat,NaN,cat2.png
vgg11-bn,1,74,NaN,clock,cat,NaN,cat3.png
vgg11-bn,1,75,NaN,clock,cat,NaN,cat4.png
vgg11-bn,1,76,NaN,clock,cat,NaN,cat5.png
vgg11-bn,1,77,NaN,clock,cat,NaN,cat6.png
vgg11-bn,1,78,NaN,clock,cat,NaN,cat7.png
vgg11-bn,1,79,NaN,clock,cat,NaN,cat8.png
vgg11-bn,1,80,NaN,clock,cat,NaN,cat9.png
vgg11-bn,1,81,NaN,clock,chair,NaN,chair1.png
vgg11-bn,1,82,NaN,clock,chair,NaN,chair10.png
