subj,session,trial,rt,object_response,category,condition,imagename
ViT-B_32,1,1,NaN,airplane,airplane,NaN,airplane3.png
ViT-B_32,1,2,NaN,airplane,airplane,NaN,airplane6.png
ViT-B_32,1,3,NaN,airplane,airplane,NaN,airplane1.png
ViT-B_32,1,4,NaN,airplane,airplane,NaN,airplane7.png
ViT-B_32,1,5,NaN,airplane,airplane,NaN,airplane9.png
ViT-B_32,1,6,NaN,bird,airplane,NaN,airplane5.png
ViT-B_32,1,7,NaN,bird,airplane,NaN,airplane8.png
ViT-B_32,1,8,NaN,airplane,airplane,NaN,airplane4.png
ViT-B_32,1,9,NaN,airplane,airplane,NaN,airplane2.png
ViT-B_32,1,10,NaN,airplane,airplane,NaN,airplane10.png
ViT-B_32,1,11,NaN,dog,bear,NaN,bear1.png
ViT-B_32,1,12,NaN,bear,bear,NaN,bear8.png
ViT-B_32,1,13,NaN,dog,bear,NaN,bear7.png
ViT-B_32,1,14,NaN,bear,bear,NaN,bear3.png
ViT-B_32,1,15,NaN,bear,bear,NaN,bear5.png
ViT-B_32,1,16,NaN,dog,bear,NaN,bear6.png
ViT-B_32,1,17,NaN,bear,bear,NaN,bear2.png
ViT-B_32,1,18,NaN,bear,bear,NaN,bear9.png
ViT-B_32,1,19,NaN,bear,bear,NaN,bear4.png
ViT-B_32,1,20,NaN,dog,bear,NaN,bear10.png
ViT-B_32,1,21,NaN,bicycle,bicycle,NaN,bicycle9.png
ViT-B_32,1,22,NaN,bicycle,bicycle,NaN,bicycle2.png
ViT-B_32,1,23,NaN,bicycle,bicycle,NaN,bicycle7.png
ViT-B_32,1,24,NaN,bicycle,bicycle,NaN,bicycle8.png
ViT-B_32,1,25,NaN,bicycle,bicycle,NaN,bicycle1.png
ViT-B_32,1,26,NaN,bicycle,bicycle,NaN,bicycle4.png
ViT-B_32,1,27,NaN,bicycle,bicycle,NaN,bicycle3.png
ViT-B_32,1,28,NaN,bicycle,bicycle,NaN,bicycle10.png
ViT-B_32,1,29,NaN,bicycle,bicycle,NaN,bicycle6.png
ViT-B_32,1,30,NaN,bicycle,bicycle,NaN,bicycle5.png
ViT-B_32,1,31,NaN,bird,bird,NaN,bird5.png
ViT-B_32,1,32,NaN,bird,bird,NaN,bird9.png
ViT-B_32,1,33,NaN,bird,bird,NaN,bird7.png
ViT-B_32,1,34,NaN,bird,bird,NaN,bird4.png
ViT-B_32,1,35,NaN,bird,bird,NaN,bird10.png
ViT-B_32,1,36,NaN,bird,bird,NaN,bird1.png
ViT-B_32,1,37,NaN,dog,bird,NaN,bird2.png
ViT-B_32,1,38,NaN,bird,bird,NaN,bird8.png
ViT-B_32,1,39,NaN,bird,bird,NaN,bird3.png
ViT-B_32,1,40,NaN,bird,bird,NaN,bird6.png
ViT-B_32,1,41,NaN,knife,boat,NaN,boat4.png
ViT-B_32,1,42,NaN,dog,boat,NaN,boat2.png
ViT-B_32,1,43,NaN,boat,boat,NaN,boat9.png
ViT-B_32,1,44,NaN,knife,boat,NaN,boat1.png
ViT-B_32,1,45,NaN,clock,boat,NaN,boat6.png
ViT-B_32,1,46,NaN,dog,boat,NaN,boat7.png
ViT-B_32,1,47,NaN,boat,boat,NaN,boat3.png
ViT-B_32,1,48,NaN,boat,boat,NaN,boat5.png
ViT-B_32,1,49,NaN,bottle,boat,NaN,boat10.png
ViT-B_32,1,50,NaN,knife,boat,NaN,boat8.png
ViT-B_32,1,51,NaN,bottle,bottle,NaN,bottle7.png
ViT-B_32,1,52,NaN,bottle,bottle,NaN,bottle8.png
ViT-B_32,1,53,NaN,bottle,bottle,NaN,bottle5.png
ViT-B_32,1,54,NaN,bottle,bottle,NaN,bottle1.png
ViT-B_32,1,55,NaN,bottle,bottle,NaN,bottle10.png
ViT-B_32,1,56,NaN,bottle,bottle,NaN,bottle6.png
ViT-B_32,1,57,NaN,bottle,bottle,NaN,bottle9.png
ViT-B_32,1,58,NaN,bottle,bottle,NaN,bottle2.png
ViT-B_32,1,59,NaN,bottle,bottle,NaN,bottle3.png
ViT-B_32,1,60,NaN,bottle,bottle,NaN,bottle4.png
ViT-B_32,1,61,NaN,knife,car,NaN,car3.png
ViT-B_32,1,62,NaN,knife,car,NaN,car2.png
ViT-B_32,1,63,NaN,bottle,car,NaN,car6.png
ViT-B_32,1,64,NaN,dog,car,NaN,car1.png
ViT-B_32,1,65,NaN,dog,car,NaN,car5.png
ViT-B_32,1,66,NaN,dog,car,NaN,car10.png
ViT-B_32,1,67,NaN,dog,car,NaN,car9.png
ViT-B_32,1,68,NaN,bottle,car,NaN,car4.png
ViT-B_32,1,69,NaN,dog,car,NaN,car7.png
ViT-B_32,1,70,NaN,bottle,car,NaN,car8.png
ViT-B_32,1,71,NaN,dog,cat,NaN,cat8.png
ViT-B_32,1,72,NaN,cat,cat,NaN,cat7.png
ViT-B_32,1,73,NaN,dog,cat,NaN,cat5.png
ViT-B_32,1,74,NaN,dog,cat,NaN,cat2.png
ViT-B_32,1,75,NaN,dog,cat,NaN,cat3.png
ViT-B_32,1,76,NaN,dog,cat,NaN,cat10.png
ViT-B_32,1,77,NaN,dog,cat,NaN,cat9.png
ViT-B_32,1,78,NaN,dog,cat,NaN,cat1.png
ViT-B_32,1,79,NaN,cat,cat,NaN,cat6.png
ViT-B_32,1,80,NaN,cat,cat,NaN,cat4.png
ViT-B_32,1,81,NaN,chair,chair,NaN,chair3.png
ViT-B_32,1,82,NaN,chair,chair,NaN,chair7.png
ViT-B_32,1,83,NaN,chair,chair,NaN,chair1.png
ViT-B_32,1,84,NaN,chair,chair,NaN,chair9.png
ViT-B_32,1,85,NaN,chair,chair,NaN,chair8.png
ViT-B_32,1,86,NaN,chair,chair,NaN,chair10.png
ViT-B_32,1,87,NaN,chair,chair,NaN,chair5.png
ViT-B_32,1,88,NaN,chair,chair,NaN,chair4.png
ViT-B_32,1,89,NaN,chair,chair,NaN,chair6.png
ViT-B_32,1,90,NaN,chair,chair,NaN,chair2.png
ViT-B_32,1,91,NaN,clock,clock,NaN,clock2.png
ViT-B_32,1,92,NaN,clock,clock,NaN,clock7.png
ViT-B_32,1,93,NaN,clock,clock,NaN,clock9.png
ViT-B_32,1,94,NaN,clock,clock,NaN,clock3.png
ViT-B_32,1,95,NaN,clock,clock,NaN,clock6.png
ViT-B_32,1,96,NaN,bottle,clock,NaN,clock8.png
ViT-B_32,1,97,NaN,dog,clock,NaN,clock4.png
ViT-B_32,1,98,NaN,clock,clock,NaN,clock10.png
ViT-B_32,1,99,NaN,clock,clock,NaN,clock5.png
ViT-B_32,1,100,NaN,knife,clock,NaN,clock1.png
ViT-B_32,1,101,NaN,dog,dog,NaN,dog6.png
ViT-B_32,1,102,NaN,dog,dog,NaN,dog3.png
ViT-B_32,1,103,NaN,dog,dog,NaN,dog2.png
ViT-B_32,1,104,NaN,dog,dog,NaN,dog7.png
ViT-B_32,1,105,NaN,dog,dog,NaN,dog1.png
ViT-B_32,1,106,NaN,dog,dog,NaN,dog10.png
ViT-B_32,1,107,NaN,dog,dog,NaN,dog8.png
ViT-B_32,1,108,NaN,dog,dog,NaN,dog9.png
ViT-B_32,1,109,NaN,dog,dog,NaN,dog5.png
ViT-B_32,1,110,NaN,dog,dog,NaN,dog4.png
ViT-B_32,1,111,NaN,dog,elephant,NaN,elephant2.png
ViT-B_32,1,112,NaN,bear,elephant,NaN,elephant1.png
ViT-B_32,1,113,NaN,dog,elephant,NaN,elephant8.png
ViT-B_32,1,114,NaN,dog,elephant,NaN,elephant3.png
ViT-B_32,1,115,NaN,bear,elephant,NaN,elephant7.png
ViT-B_32,1,116,NaN,bear,elephant,NaN,elephant5.png
ViT-B_32,1,117,NaN,bear,elephant,NaN,elephant4.png
ViT-B_32,1,118,NaN,bear,elephant,NaN,elephant9.png
ViT-B_32,1,119,NaN,bear,elephant,NaN,elephant6.png
