subj,session,trial,rt,object_response,category,condition,imagename
vgg19-bn,1,1,NaN,airplane,airplane,NaN,airplane1.png
vgg19-bn,1,2,NaN,airplane,airplane,NaN,airplane10.png
vgg19-bn,1,3,NaN,airplane,airplane,NaN,airplane2.png
vgg19-bn,1,4,NaN,airplane,airplane,NaN,airplane3.png
vgg19-bn,1,5,NaN,airplane,airplane,NaN,airplane4.png
vgg19-bn,1,6,NaN,airplane,airplane,NaN,airplane5.png
vgg19-bn,1,7,NaN,airplane,airplane,NaN,airplane6.png
vgg19-bn,1,8,NaN,airplane,airplane,NaN,airplane7.png
vgg19-bn,1,9,NaN,airplane,airplane,NaN,airplane8.png
vgg19-bn,1,10,NaN,chair,airplane,NaN,airplane9.png
vgg19-bn,1,11,NaN,cat,bear,NaN,bear1.png
vgg19-bn,1,12,NaN,bear,bear,NaN,bear10.png
vgg19-bn,1,13,NaN,bear,bear,NaN,bear2.png
vgg19-bn,1,14,NaN,knife,bear,NaN,bear3.png
vgg19-bn,1,15,NaN,elephant,bear,NaN,bear4.png
vgg19-bn,1,16,NaN,bear,bear,NaN,bear5.png
vgg19-bn,1,17,NaN,knife,bear,NaN,bear6.png
vgg19-bn,1,18,NaN,knife,bear,NaN,bear7.png
vgg19-bn,1,19,NaN,bear,bear,NaN,bear8.png
vgg19-bn,1,20,NaN,knife,bear,NaN,bear9.png
vgg19-bn,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
vgg19-bn,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
vgg19-bn,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
vgg19-bn,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
vgg19-bn,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
vgg19-bn,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
vgg19-bn,1,27,NaN,chair,bicycle,NaN,bicycle6.png
vgg19-bn,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
vgg19-bn,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
vgg19-bn,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
vgg19-bn,1,31,NaN,bird,bird,NaN,bird1.png
vgg19-bn,1,32,NaN,knife,bird,NaN,bird10.png
vgg19-bn,1,33,NaN,knife,bird,NaN,bird2.png
vgg19-bn,1,34,NaN,bottle,bird,NaN,bird3.png
vgg19-bn,1,35,NaN,knife,bird,NaN,bird4.png
vgg19-bn,1,36,NaN,bird,bird,NaN,bird5.png
vgg19-bn,1,37,NaN,knife,bird,NaN,bird6.png
vgg19-bn,1,38,NaN,airplane,bird,NaN,bird7.png
vgg19-bn,1,39,NaN,bird,bird,NaN,bird8.png
vgg19-bn,1,40,NaN,bird,bird,NaN,bird9.png
vgg19-bn,1,41,NaN,knife,boat,NaN,boat1.png
vgg19-bn,1,42,NaN,knife,boat,NaN,boat10.png
vgg19-bn,1,43,NaN,knife,boat,NaN,boat2.png
vgg19-bn,1,44,NaN,clock,boat,NaN,boat3.png
vgg19-bn,1,45,NaN,knife,boat,NaN,boat4.png
vgg19-bn,1,46,NaN,clock,boat,NaN,boat5.png
vgg19-bn,1,47,NaN,knife,boat,NaN,boat6.png
vgg19-bn,1,48,NaN,knife,boat,NaN,boat7.png
vgg19-bn,1,49,NaN,knife,boat,NaN,boat8.png
vgg19-bn,1,50,NaN,boat,boat,NaN,boat9.png
vgg19-bn,1,51,NaN,bottle,bottle,NaN,bottle1.png
vgg19-bn,1,52,NaN,bottle,bottle,NaN,bottle10.png
vgg19-bn,1,53,NaN,knife,bottle,NaN,bottle2.png
