subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,7,1,NaN,knife,knife,c100,7681_cop_dnn_c100_knife_10_n03041632_4879.png
cornet-s,7,2,NaN,knife,knife,c100,7682_cop_dnn_c100_knife_10_n03041632_47410.png
cornet-s,7,3,NaN,knife,knife,c100,7683_cop_dnn_c100_knife_10_n03041632_2184.png
cornet-s,7,4,NaN,knife,knife,c100,7684_cop_dnn_c100_knife_10_n03041632_2630.png
cornet-s,7,5,NaN,knife,knife,c100,7685_cop_dnn_c100_knife_10_n03041632_41381.png
cornet-s,7,6,NaN,knife,knife,c100,7686_cop_dnn_c100_knife_10_n03041632_7279.png
cornet-s,7,7,NaN,knife,knife,c100,7687_cop_dnn_c100_knife_10_n03041632_4808.png
cornet-s,7,8,NaN,knife,knife,c100,7688_cop_dnn_c100_knife_10_n03041632_20433.png
cornet-s,7,9,NaN,knife,knife,c100,7689_cop_dnn_c100_knife_10_n03041632_21590.png
cornet-s,7,10,NaN,knife,knife,c100,7690_cop_dnn_c100_knife_10_n03041632_38535.png
cornet-s,7,11,NaN,keyboard,keyboard,c100,7691_cop_dnn_c100_keyboard_10_n04505470_6426.png
cornet-s,7,12,NaN,keyboard,keyboard,c100,7692_cop_dnn_c100_keyboard_10_n04505470_10558.png
cornet-s,7,13,NaN,keyboard,keyboard,c100,7693_cop_dnn_c100_keyboard_10_n04505470_3286.png
cornet-s,7,14,NaN,keyboard,keyboard,c100,7694_cop_dnn_c100_keyboard_10_n03085013_18621.png
cornet-s,7,15,NaN,keyboard,keyboard,c100,7695_cop_dnn_c100_keyboard_10_n04505470_4507.png
cornet-s,7,16,NaN,keyboard,keyboard,c100,7696_cop_dnn_c100_keyboard_10_n04505470_4944.png
cornet-s,7,17,NaN,keyboard,keyboard,c100,7697_cop_dnn_c100_keyboard_10_n03085013_23843.png
cornet-s,7,18,NaN,keyboard,keyboard,c100,7698_cop_dnn_c100_keyboard_10_n04505470_2608.png
cornet-s,7,19,NaN,keyboard,keyboard,c100,7699_cop_dnn_c100_keyboard_10_n03085013_25443.png
cornet-s,7,20,NaN,keyboard,keyboard,c100,7700_cop_dnn_c100_keyboard_10_n03085013_18979.png
cornet-s,7,21,NaN,elephant,elephant,c100,7701_cop_dnn_c100_elephant_10_n02504458_3066.png
cornet-s,7,22,NaN,elephant,elephant,c100,7702_cop_dnn_c100_elephant_10_n02504458_6130.png
cornet-s,7,23,NaN,elephant,elephant,c100,7703_cop_dnn_c100_elephant_10_n02504013_6034.png
cornet-s,7,24,NaN,elephant,elephant,c100,7704_cop_dnn_c100_elephant_10_n02504013_817.png
cornet-s,7,25,NaN,elephant,elephant,c100,7705_cop_dnn_c100_elephant_10_n02504013_6121.png
cornet-s,7,26,NaN,elephant,elephant,c100,7706_cop_dnn_c100_elephant_10_n02504013_10390.png
cornet-s,7,27,NaN,elephant,elephant,c100,7707_cop_dnn_c100_elephant_10_n02504013_242.png
cornet-s,7,28,NaN,elephant,elephant,c100,7708_cop_dnn_c100_elephant_10_n02504013_2924.png
cornet-s,7,29,NaN,elephant,elephant,c100,7709_cop_dnn_c100_elephant_10_n02504458_2494.png
cornet-s,7,30,NaN,elephant,elephant,c100,7710_cop_dnn_c100_elephant_10_n02504013_1844.png
cornet-s,7,31,NaN,bicycle,bicycle,c100,7711_cop_dnn_c100_bicycle_10_n02835271_8617.png
cornet-s,7,32,NaN,bicycle,bicycle,c100,7712_cop_dnn_c100_bicycle_10_n02835271_14820.png
cornet-s,7,33,NaN,bicycle,bicycle,c100,7713_cop_dnn_c100_bicycle_10_n02835271_14228.png
cornet-s,7,34,NaN,bicycle,bicycle,c100,7714_cop_dnn_c100_bicycle_10_n02835271_8109.png
cornet-s,7,35,NaN,bicycle,bicycle,c100,7715_cop_dnn_c100_bicycle_10_n03792782_50904.png
cornet-s,7,36,NaN,bicycle,bicycle,c100,7716_cop_dnn_c100_bicycle_10_n03792782_42345.png
cornet-s,7,37,NaN,bicycle,bicycle,c100,7717_cop_dnn_c100_bicycle_10_n03792782_4659.png
cornet-s,7,38,NaN,bicycle,bicycle,c100,7718_cop_dnn_c100_bicycle_10_n02835271_6804.png
cornet-s,7,39,NaN,bicycle,bicycle,c100,7719_cop_dnn_c100_bicycle_10_n02835271_3529.png
cornet-s,7,40,NaN,bicycle,bicycle,c100,7720_cop_dnn_c100_bicycle_10_n03792782_59022.png
cornet-s,7,41,NaN,airplane,airplane,c100,7721_cop_dnn_c100_airplane_10_n02690373_5724.png
cornet-s,7,42,NaN,airplane,airplane,c100,7722_cop_dnn_c100_airplane_10_n02690373_2675.png
cornet-s,7,43,NaN,airplane,airplane,c100,7723_cop_dnn_c100_airplane_10_n02690373_2447.png
cornet-s,7,44,NaN,airplane,airplane,c100,7724_cop_dnn_c100_airplane_10_n02690373_3753.png
cornet-s,7,45,NaN,airplane,airplane,c100,7725_cop_dnn_c100_airplane_10_n02690373_3899.png
cornet-s,7,46,NaN,airplane,airplane,c100,7726_cop_dnn_c100_airplane_10_n02690373_6834.png
cornet-s,7,47,NaN,airplane,airplane,c100,7727_cop_dnn_c100_airplane_10_n02690373_7229.png
cornet-s,7,48,NaN,airplane,airplane,c100,7728_cop_dnn_c100_airplane_10_n02690373_3709.png
cornet-s,7,49,NaN,boat,airplane,c100,7729_cop_dnn_c100_airplane_10_n02690373_9175.png
cornet-s,7,50,NaN,airplane,airplane,c100,7730_cop_dnn_c100_airplane_10_n02690373_3639.png
cornet-s,7,51,NaN,clock,clock,c100,7731_cop_dnn_c100_clock_10_n02708093_6672.png
cornet-s,7,52,NaN,clock,clock,c100,7732_cop_dnn_c100_clock_10_n04548280_43.png
cornet-s,7,53,NaN,clock,clock,c100,7733_cop_dnn_c100_clock_10_n04548280_3854.png
cornet-s,7,54,NaN,clock,clock,c100,7734_cop_dnn_c100_clock_10_n04548280_5337.png
cornet-s,7,55,NaN,clock,clock,c100,7735_cop_dnn_c100_clock_10_n04548280_3161.png
cornet-s,7,56,NaN,clock,clock,c100,7736_cop_dnn_c100_clock_10_n02708093_145.png
cornet-s,7,57,NaN,clock,clock,c100,7737_cop_dnn_c100_clock_10_n03196217_1790.png
cornet-s,7,58,NaN,clock,clock,c100,7738_cop_dnn_c100_clock_10_n03196217_1255.png
cornet-s,7,59,NaN,clock,clock,c100,7739_cop_dnn_c100_clock_10_n03196217_775.png
cornet-s,7,60,NaN,clock,clock,c100,7740_cop_dnn_c100_clock_10_n04548280_3153.png
cornet-s,7,61,NaN,oven,oven,c100,7741_cop_dnn_c100_oven_10_n04111531_6120.png
cornet-s,7,62,NaN,oven,oven,c100,7742_cop_dnn_c100_oven_10_n04111531_2116.png
cornet-s,7,63,NaN,oven,oven,c100,7743_cop_dnn_c100_oven_10_n04111531_17006.png
cornet-s,7,64,NaN,oven,oven,c100,7744_cop_dnn_c100_oven_10_n04111531_6590.png
cornet-s,7,65,NaN,oven,oven,c100,7745_cop_dnn_c100_oven_10_n04111531_5578.png
cornet-s,7,66,NaN,oven,oven,c100,7746_cop_dnn_c100_oven_10_n04111531_2771.png
cornet-s,7,67,NaN,oven,oven,c100,7747_cop_dnn_c100_oven_10_n04111531_9429.png
cornet-s,7,68,NaN,oven,oven,c100,7748_cop_dnn_c100_oven_10_n04111531_1826.png
cornet-s,7,69,NaN,chair,oven,c100,7749_cop_dnn_c100_oven_10_n04111531_3193.png
cornet-s,7,70,NaN,oven,oven,c100,7750_cop_dnn_c100_oven_10_n04111531_6489.png
cornet-s,7,71,NaN,chair,chair,c100,7751_cop_dnn_c100_chair_10_n02791124_4780.png
cornet-s,7,72,NaN,chair,chair,c100,7752_cop_dnn_c100_chair_10_n03376595_13578.png
cornet-s,7,73,NaN,chair,chair,c100,7753_cop_dnn_c100_chair_10_n04099969_1829.png
cornet-s,7,74,NaN,chair,chair,c100,7754_cop_dnn_c100_chair_10_n02791124_499.png
cornet-s,7,75,NaN,chair,chair,c100,7755_cop_dnn_c100_chair_10_n02791124_5201.png
cornet-s,7,76,NaN,chair,chair,c100,7756_cop_dnn_c100_chair_10_n03376595_9093.png
cornet-s,7,77,NaN,chair,chair,c100,7757_cop_dnn_c100_chair_10_n02791124_992.png
cornet-s,7,78,NaN,chair,chair,c100,7758_cop_dnn_c100_chair_10_n04099969_40892.png
cornet-s,7,79,NaN,chair,chair,c100,7759_cop_dnn_c100_chair_10_n04429376_6480.png
cornet-s,7,80,NaN,chair,chair,c100,7760_cop_dnn_c100_chair_10_n03376595_9226.png
cornet-s,7,81,NaN,bear,bear,c100,7761_cop_dnn_c100_bear_10_n02132136_18743.png
cornet-s,7,82,NaN,bear,bear,c100,7762_cop_dnn_c100_bear_10_n02134084_4726.png
cornet-s,7,83,NaN,bear,bear,c100,7763_cop_dnn_c100_bear_10_n02132136_10684.png
cornet-s,7,84,NaN,bear,bear,c100,7764_cop_dnn_c100_bear_10_n02134084_1536.png
cornet-s,7,85,NaN,bear,bear,c100,7765_cop_dnn_c100_bear_10_n02134418_2495.png
cornet-s,7,86,NaN,bear,bear,c100,7766_cop_dnn_c100_bear_10_n02134418_5139.png
cornet-s,7,87,NaN,bear,bear,c100,7767_cop_dnn_c100_bear_10_n02132136_10769.png
cornet-s,7,88,NaN,bear,bear,c100,7768_cop_dnn_c100_bear_10_n02133161_10715.png
cornet-s,7,89,NaN,bear,bear,c100,7769_cop_dnn_c100_bear_10_n02132136_24204.png
cornet-s,7,90,NaN,bear,bear,c100,7770_cop_dnn_c100_bear_10_n02134418_4559.png
cornet-s,7,91,NaN,boat,boat,c100,7771_cop_dnn_c100_boat_10_n03344393_2919.png
cornet-s,7,92,NaN,boat,boat,c100,7772_cop_dnn_c100_boat_10_n03344393_6324.png
cornet-s,7,93,NaN,boat,boat,c100,7773_cop_dnn_c100_boat_10_n03344393_5588.png
cornet-s,7,94,NaN,boat,boat,c100,7774_cop_dnn_c100_boat_10_n02951358_4189.png
cornet-s,7,95,NaN,boat,boat,c100,7775_cop_dnn_c100_boat_10_n03344393_8504.png
cornet-s,7,96,NaN,boat,boat,c100,7776_cop_dnn_c100_boat_10_n02951358_31518.png
cornet-s,7,97,NaN,boat,boat,c100,7777_cop_dnn_c100_boat_10_n03344393_6950.png
cornet-s,7,98,NaN,boat,boat,c100,7778_cop_dnn_c100_boat_10_n04273569_14506.png
cornet-s,7,99,NaN,boat,boat,c100,7779_cop_dnn_c100_boat_10_n04273569_29319.png
cornet-s,7,100,NaN,boat,boat,c100,7780_cop_dnn_c100_boat_10_n04273569_3130.png
cornet-s,7,101,NaN,cat,cat,c100,7781_cop_dnn_c100_cat_10_n02123394_2167.png
cornet-s,7,102,NaN,cat,cat,c100,7782_cop_dnn_c100_cat_10_n02123597_9893.png
cornet-s,7,103,NaN,cat,cat,c100,7783_cop_dnn_c100_cat_10_n02123045_9404.png
cornet-s,7,104,NaN,cat,cat,c100,7784_cop_dnn_c100_cat_10_n02125311_13098.png
cornet-s,7,105,NaN,cat,cat,c100,7785_cop_dnn_c100_cat_10_n02123394_287.png
cornet-s,7,106,NaN,cat,cat,c100,7786_cop_dnn_c100_cat_10_n02123597_1708.png
cornet-s,7,107,NaN,cat,cat,c100,7787_cop_dnn_c100_cat_10_n02123159_2465.png
cornet-s,7,108,NaN,cat,cat,c100,7788_cop_dnn_c100_cat_10_n02123159_5960.png
cornet-s,7,109,NaN,cat,cat,c100,7789_cop_dnn_c100_cat_10_n02124075_2854.png
cornet-s,7,110,NaN,cat,cat,c100,7790_cop_dnn_c100_cat_10_n02123159_7967.png
cornet-s,7,111,NaN,bottle,bottle,c100,7791_cop_dnn_c100_bottle_10_n04560804_13773.png
cornet-s,7,112,NaN,bottle,bottle,c100,7792_cop_dnn_c100_bottle_10_n02823428_7357.png
cornet-s,7,113,NaN,bottle,bottle,c100,7793_cop_dnn_c100_bottle_10_n03983396_4713.png
cornet-s,7,114,NaN,bottle,bottle,c100,7794_cop_dnn_c100_bottle_10_n04560804_27690.png
cornet-s,7,115,NaN,bottle,bottle,c100,7795_cop_dnn_c100_bottle_10_n04591713_7835.png
cornet-s,7,116,NaN,bottle,bottle,c100,7796_cop_dnn_c100_bottle_10_n03937543_4386.png
cornet-s,7,117,NaN,bottle,bottle,c100,7797_cop_dnn_c100_bottle_10_n03937543_3094.png
cornet-s,7,118,NaN,bottle,bottle,c100,7798_cop_dnn_c100_bottle_10_n02823428_14980.png
cornet-s,7,119,NaN,bottle,bottle,c100,7799_cop_dnn_c100_bottle_10_n03983396_2760.png
cornet-s,7,120,NaN,bottle,bottle,c100,7800_cop_dnn_c100_bottle_10_n04557648_9408.png
cornet-s,7,121,NaN,truck,truck,c100,7801_cop_dnn_c100_truck_10_n04467665_707.png
cornet-s,7,122,NaN,truck,truck,c100,7802_cop_dnn_c100_truck_10_n04467665_28313.png
cornet-s,7,123,NaN,truck,truck,c100,7803_cop_dnn_c100_truck_10_n04467665_67081.png
cornet-s,7,124,NaN,truck,truck,c100,7804_cop_dnn_c100_truck_10_n03796401_5669.png
cornet-s,7,125,NaN,truck,truck,c100,7805_cop_dnn_c100_truck_10_n03796401_6596.png
cornet-s,7,126,NaN,truck,truck,c100,7806_cop_dnn_c100_truck_10_n03417042_5905.png
cornet-s,7,127,NaN,truck,truck,c100,7807_cop_dnn_c100_truck_10_n03417042_10520.png
cornet-s,7,128,NaN,truck,truck,c100,7808_cop_dnn_c100_truck_10_n04467665_47560.png
cornet-s,7,129,NaN,truck,truck,c100,7809_cop_dnn_c100_truck_10_n03796401_5.png
cornet-s,7,130,NaN,truck,truck,c100,7810_cop_dnn_c100_truck_10_n03796401_2457.png
cornet-s,7,131,NaN,truck,car,c100,7811_cop_dnn_c100_car_10_n03100240_4840.png
cornet-s,7,132,NaN,car,car,c100,7812_cop_dnn_c100_car_10_n04285008_5641.png
cornet-s,7,133,NaN,car,car,c100,7813_cop_dnn_c100_car_10_n02814533_7232.png
cornet-s,7,134,NaN,car,car,c100,7814_cop_dnn_c100_car_10_n03100240_7300.png
cornet-s,7,135,NaN,car,car,c100,7815_cop_dnn_c100_car_10_n03100240_5356.png
cornet-s,7,136,NaN,car,car,c100,7816_cop_dnn_c100_car_10_n03100240_6892.png
cornet-s,7,137,NaN,car,car,c100,7817_cop_dnn_c100_car_10_n02814533_24244.png
cornet-s,7,138,NaN,car,car,c100,7818_cop_dnn_c100_car_10_n02814533_4446.png
cornet-s,7,139,NaN,car,car,c100,7819_cop_dnn_c100_car_10_n03100240_5136.png
cornet-s,7,140,NaN,car,car,c100,7820_cop_dnn_c100_car_10_n02814533_1871.png
cornet-s,7,141,NaN,bird,bird,c100,7821_cop_dnn_c100_bird_10_n02027492_8940.png
cornet-s,7,142,NaN,bird,bird,c100,7822_cop_dnn_c100_bird_10_n01514859_1678.png
cornet-s,7,143,NaN,bird,bird,c100,7823_cop_dnn_c100_bird_10_n01622779_6745.png
cornet-s,7,144,NaN,chair,bird,c100,7824_cop_dnn_c100_bird_10_n02009229_4493.png
cornet-s,7,145,NaN,bird,bird,c100,7825_cop_dnn_c100_bird_10_n01531178_17967.png
cornet-s,7,146,NaN,bird,bird,c100,7826_cop_dnn_c100_bird_10_n01558993_4438.png
cornet-s,7,147,NaN,bird,bird,c100,7827_cop_dnn_c100_bird_10_n01592084_4940.png
cornet-s,7,148,NaN,bird,bird,c100,7828_cop_dnn_c100_bird_10_n01531178_52649.png
cornet-s,7,149,NaN,bird,bird,c100,7829_cop_dnn_c100_bird_10_n01534433_2073.png
cornet-s,7,150,NaN,bird,bird,c100,7830_cop_dnn_c100_bird_10_n01601694_6503.png
cornet-s,7,151,NaN,dog,dog,c100,7831_cop_dnn_c100_dog_10_n02086910_2918.png
cornet-s,7,152,NaN,dog,dog,c100,7832_cop_dnn_c100_dog_10_n02099267_4688.png
cornet-s,7,153,NaN,dog,dog,c100,7833_cop_dnn_c100_dog_10_n02102040_4124.png
cornet-s,7,154,NaN,dog,dog,c100,7834_cop_dnn_c100_dog_10_n02097209_5267.png
cornet-s,7,155,NaN,dog,dog,c100,7835_cop_dnn_c100_dog_10_n02106550_1024.png
