subj,session,trial,rt,object_response,category,condition,imagename
resnet50,2,1,NaN,knife,knife,c100,1281_cop_dnn_c100_knife_10_n03041632_27832.png
resnet50,2,2,NaN,knife,knife,c100,1282_cop_dnn_c100_knife_10_n03041632_32785.png
resnet50,2,3,NaN,knife,knife,c100,1283_cop_dnn_c100_knife_10_n03041632_45090.png
resnet50,2,4,NaN,knife,knife,c100,1284_cop_dnn_c100_knife_10_n03041632_27709.png
resnet50,2,5,NaN,knife,knife,c100,1285_cop_dnn_c100_knife_10_n03041632_14224.png
resnet50,2,6,NaN,knife,knife,c100,1286_cop_dnn_c100_knife_10_n03041632_5162.png
resnet50,2,7,NaN,knife,knife,c100,1287_cop_dnn_c100_knife_10_n03041632_14132.png
resnet50,2,8,NaN,knife,knife,c100,1288_cop_dnn_c100_knife_10_n03041632_18748.png
resnet50,2,9,NaN,chair,knife,c100,1289_cop_dnn_c100_knife_10_n03041632_18311.png
resnet50,2,10,NaN,knife,knife,c100,1290_cop_dnn_c100_knife_10_n03041632_25331.png
resnet50,2,11,NaN,keyboard,keyboard,c100,1291_cop_dnn_c100_keyboard_10_n03085013_23916.png
resnet50,2,12,NaN,keyboard,keyboard,c100,1292_cop_dnn_c100_keyboard_10_n03085013_23629.png
resnet50,2,13,NaN,keyboard,keyboard,c100,1293_cop_dnn_c100_keyboard_10_n03085013_21472.png
resnet50,2,14,NaN,keyboard,keyboard,c100,1294_cop_dnn_c100_keyboard_10_n03085013_22698.png
resnet50,2,15,NaN,keyboard,keyboard,c100,1295_cop_dnn_c100_keyboard_10_n04505470_4362.png
resnet50,2,16,NaN,keyboard,keyboard,c100,1296_cop_dnn_c100_keyboard_10_n04505470_8754.png
resnet50,2,17,NaN,keyboard,keyboard,c100,1297_cop_dnn_c100_keyboard_10_n03085013_20957.png
resnet50,2,18,NaN,keyboard,keyboard,c100,1298_cop_dnn_c100_keyboard_10_n03085013_1483.png
resnet50,2,19,NaN,keyboard,keyboard,c100,1299_cop_dnn_c100_keyboard_10_n04505470_159.png
resnet50,2,20,NaN,keyboard,keyboard,c100,1300_cop_dnn_c100_keyboard_10_n04505470_6806.png
