subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,1,1,NaN,clock,knife,0.4,0001_hp_dnn_0.4_knife_10_n03041632_8618.png
cornet-s,1,2,NaN,clock,knife,0.4,0002_hp_dnn_0.4_knife_10_n03041632_51256.png
cornet-s,1,3,NaN,clock,knife,0.4,0003_hp_dnn_0.4_knife_10_n03041632_27898.png
cornet-s,1,4,NaN,clock,knife,0.4,0004_hp_dnn_0.4_knife_10_n03041632_32177.png
cornet-s,1,5,NaN,airplane,knife,0.4,0005_hp_dnn_0.4_knife_10_n03041632_23548.png
cornet-s,1,6,NaN,knife,knife,0.4,0006_hp_dnn_0.4_knife_10_n03041632_41381.png
cornet-s,1,7,NaN,clock,knife,0.4,0007_hp_dnn_0.4_knife_10_n03041632_24264.png
cornet-s,1,8,NaN,airplane,knife,0.4,0008_hp_dnn_0.4_knife_10_n03041632_45090.png
cornet-s,1,9,NaN,clock,knife,0.4,0009_hp_dnn_0.4_knife_10_n03041632_87339.png
cornet-s,1,10,NaN,clock,knife,0.4,0010_hp_dnn_0.4_knife_10_n03041632_96361.png
cornet-s,1,11,NaN,clock,keyboard,0.4,0011_hp_dnn_0.4_keyboard_10_n03085013_21070.png
cornet-s,1,12,NaN,clock,keyboard,0.4,0012_hp_dnn_0.4_keyboard_10_n04505470_5009.png
cornet-s,1,13,NaN,clock,keyboard,0.4,0013_hp_dnn_0.4_keyboard_10_n03085013_3098.png
cornet-s,1,14,NaN,clock,keyboard,0.4,0014_hp_dnn_0.4_keyboard_10_n03085013_20594.png
cornet-s,1,15,NaN,clock,keyboard,0.4,0015_hp_dnn_0.4_keyboard_10_n04505470_3261.png
cornet-s,1,16,NaN,clock,keyboard,0.4,0016_hp_dnn_0.4_keyboard_10_n04505470_8121.png
cornet-s,1,17,NaN,clock,keyboard,0.4,0017_hp_dnn_0.4_keyboard_10_n04505470_64.png
cornet-s,1,18,NaN,knife,keyboard,0.4,0018_hp_dnn_0.4_keyboard_10_n03085013_19687.png
cornet-s,1,19,NaN,knife,keyboard,0.4,0019_hp_dnn_0.4_keyboard_10_n04505470_241.png
cornet-s,1,20,NaN,clock,keyboard,0.4,0020_hp_dnn_0.4_keyboard_10_n03085013_23763.png
cornet-s,1,21,NaN,clock,elephant,0.4,0021_hp_dnn_0.4_elephant_10_n02504013_6171.png
cornet-s,1,22,NaN,clock,elephant,0.4,0022_hp_dnn_0.4_elephant_10_n02504013_5918.png
cornet-s,1,23,NaN,clock,elephant,0.4,0023_hp_dnn_0.4_elephant_10_n02504458_574.png
cornet-s,1,24,NaN,clock,elephant,0.4,0024_hp_dnn_0.4_elephant_10_n02504458_804.png
cornet-s,1,25,NaN,clock,elephant,0.4,0025_hp_dnn_0.4_elephant_10_n02504013_2787.png
cornet-s,1,26,NaN,clock,elephant,0.4,0026_hp_dnn_0.4_elephant_10_n02504458_8126.png
cornet-s,1,27,NaN,clock,elephant,0.4,0027_hp_dnn_0.4_elephant_10_n02504458_341.png
cornet-s,1,28,NaN,clock,elephant,0.4,0028_hp_dnn_0.4_elephant_10_n02504458_5288.png
cornet-s,1,29,NaN,clock,elephant,0.4,0029_hp_dnn_0.4_elephant_10_n02504013_6880.png
cornet-s,1,30,NaN,clock,elephant,0.4,0030_hp_dnn_0.4_elephant_10_n02504458_4228.png
cornet-s,1,31,NaN,clock,bicycle,0.4,0031_hp_dnn_0.4_bicycle_10_n02835271_17168.png
cornet-s,1,32,NaN,clock,bicycle,0.4,0032_hp_dnn_0.4_bicycle_10_n03792782_15614.png
cornet-s,1,33,NaN,clock,bicycle,0.4,0033_hp_dnn_0.4_bicycle_10_n03792782_67333.png
cornet-s,1,34,NaN,clock,bicycle,0.4,0034_hp_dnn_0.4_bicycle_10_n02835271_9507.png
cornet-s,1,35,NaN,clock,bicycle,0.4,0035_hp_dnn_0.4_bicycle_10_n03792782_6250.png
cornet-s,1,36,NaN,clock,bicycle,0.4,0036_hp_dnn_0.4_bicycle_10_n03792782_15189.png
cornet-s,1,37,NaN,clock,bicycle,0.4,0037_hp_dnn_0.4_bicycle_10_n02835271_6921.png
cornet-s,1,38,NaN,clock,bicycle,0.4,0038_hp_dnn_0.4_bicycle_10_n02835271_12173.png
cornet-s,1,39,NaN,clock,bicycle,0.4,0039_hp_dnn_0.4_bicycle_10_n03792782_17134.png
cornet-s,1,40,NaN,clock,bicycle,0.4,0040_hp_dnn_0.4_bicycle_10_n02835271_2013.png
cornet-s,1,41,NaN,knife,airplane,0.4,0041_hp_dnn_0.4_airplane_10_n02690373_20071.png
cornet-s,1,42,NaN,clock,airplane,0.4,0042_hp_dnn_0.4_airplane_10_n02690373_8583.png
cornet-s,1,43,NaN,clock,airplane,0.4,0043_hp_dnn_0.4_airplane_10_n02690373_5689.png
cornet-s,1,44,NaN,knife,airplane,0.4,0044_hp_dnn_0.4_airplane_10_n02690373_1451.png
cornet-s,1,45,NaN,clock,airplane,0.4,0045_hp_dnn_0.4_airplane_10_n02690373_1975.png
cornet-s,1,46,NaN,knife,airplane,0.4,0046_hp_dnn_0.4_airplane_10_n02690373_2010.png
cornet-s,1,47,NaN,airplane,airplane,0.4,0047_hp_dnn_0.4_airplane_10_n02690373_3451.png
cornet-s,1,48,NaN,knife,airplane,0.4,0048_hp_dnn_0.4_airplane_10_n02690373_10723.png
cornet-s,1,49,NaN,knife,airplane,0.4,0049_hp_dnn_0.4_airplane_10_n02690373_7408.png
cornet-s,1,50,NaN,clock,airplane,0.4,0050_hp_dnn_0.4_airplane_10_n02690373_5487.png
cornet-s,1,51,NaN,clock,clock,0.4,0051_hp_dnn_0.4_clock_10_n04548280_7069.png
cornet-s,1,52,NaN,knife,clock,0.4,0052_hp_dnn_0.4_clock_10_n02708093_1356.png
cornet-s,1,53,NaN,knife,clock,0.4,0053_hp_dnn_0.4_clock_10_n04548280_4862.png
cornet-s,1,54,NaN,clock,clock,0.4,0054_hp_dnn_0.4_clock_10_n04548280_8429.png
cornet-s,1,55,NaN,clock,clock,0.4,0055_hp_dnn_0.4_clock_10_n03196217_85.png
cornet-s,1,56,NaN,knife,clock,0.4,0056_hp_dnn_0.4_clock_10_n04548280_5072.png
cornet-s,1,57,NaN,clock,clock,0.4,0057_hp_dnn_0.4_clock_10_n04548280_2712.png
cornet-s,1,58,NaN,clock,clock,0.4,0058_hp_dnn_0.4_clock_10_n02708093_4833.png
cornet-s,1,59,NaN,clock,clock,0.4,0059_hp_dnn_0.4_clock_10_n04548280_1108.png
cornet-s,1,60,NaN,clock,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1619.png
cornet-s,1,61,NaN,clock,oven,0.4,0061_hp_dnn_0.4_oven_10_n04111531_8353.png
cornet-s,1,62,NaN,clock,oven,0.4,0062_hp_dnn_0.4_oven_10_n04111531_519.png
cornet-s,1,63,NaN,clock,oven,0.4,0063_hp_dnn_0.4_oven_10_n04111531_4685.png
cornet-s,1,64,NaN,clock,oven,0.4,0064_hp_dnn_0.4_oven_10_n04111531_8441.png
cornet-s,1,65,NaN,clock,oven,0.4,0065_hp_dnn_0.4_oven_10_n04111531_1567.png
cornet-s,1,66,NaN,clock,oven,0.4,0066_hp_dnn_0.4_oven_10_n04111531_10681.png
cornet-s,1,67,NaN,clock,oven,0.4,0067_hp_dnn_0.4_oven_10_n04111531_1828.png
cornet-s,1,68,NaN,clock,oven,0.4,0068_hp_dnn_0.4_oven_10_n04111531_663.png
cornet-s,1,69,NaN,clock,oven,0.4,0069_hp_dnn_0.4_oven_10_n04111531_5102.png
cornet-s,1,70,NaN,clock,oven,0.4,0070_hp_dnn_0.4_oven_10_n04111531_1295.png
cornet-s,1,71,NaN,clock,chair,0.4,0071_hp_dnn_0.4_chair_10_n03376595_697.png
cornet-s,1,72,NaN,clock,chair,0.4,0072_hp_dnn_0.4_chair_10_n03376595_849.png
