subj,session,trial,rt,object_response,category,condition,imagename
resnet18,6,1,NaN,chair,knife,0,5601_ps_dnn_0_knife_10_n03041632_42526.png
resnet18,6,2,NaN,knife,knife,0,5602_ps_dnn_0_knife_10_n03041632_9671.png
resnet18,6,3,NaN,knife,knife,0,5603_ps_dnn_0_knife_10_n03041632_100645.png
resnet18,6,4,NaN,clock,knife,0,5604_ps_dnn_0_knife_10_n03041632_13424.png
resnet18,6,5,NaN,knife,knife,0,5605_ps_dnn_0_knife_10_n03041632_83826.png
resnet18,6,6,NaN,knife,knife,0,5606_ps_dnn_0_knife_10_n03041632_29827.png
resnet18,6,7,NaN,keyboard,knife,0,5607_ps_dnn_0_knife_10_n03041632_55953.png
resnet18,6,8,NaN,knife,knife,0,5608_ps_dnn_0_knife_10_n03041632_7680.png
resnet18,6,9,NaN,knife,knife,0,5609_ps_dnn_0_knife_10_n03041632_30958.png
resnet18,6,10,NaN,knife,knife,0,5610_ps_dnn_0_knife_10_n03041632_2546.png
resnet18,6,11,NaN,keyboard,keyboard,0,5611_ps_dnn_0_keyboard_10_n03085013_23552.png
resnet18,6,12,NaN,keyboard,keyboard,0,5612_ps_dnn_0_keyboard_10_n03085013_18966.png
resnet18,6,13,NaN,chair,keyboard,0,5613_ps_dnn_0_keyboard_10_n03085013_18964.png
resnet18,6,14,NaN,keyboard,keyboard,0,5614_ps_dnn_0_keyboard_10_n03085013_19536.png
resnet18,6,15,NaN,keyboard,keyboard,0,5615_ps_dnn_0_keyboard_10_n04505470_5056.png
resnet18,6,16,NaN,keyboard,keyboard,0,5616_ps_dnn_0_keyboard_10_n03085013_23683.png
resnet18,6,17,NaN,keyboard,keyboard,0,5617_ps_dnn_0_keyboard_10_n04505470_8512.png
resnet18,6,18,NaN,keyboard,keyboard,0,5618_ps_dnn_0_keyboard_10_n04505470_8469.png
resnet18,6,19,NaN,keyboard,keyboard,0,5619_ps_dnn_0_keyboard_10_n03085013_19316.png
resnet18,6,20,NaN,keyboard,keyboard,0,5620_ps_dnn_0_keyboard_10_n04505470_6876.png
resnet18,6,21,NaN,elephant,elephant,0,5621_ps_dnn_0_elephant_10_n02504458_259.png
resnet18,6,22,NaN,elephant,elephant,0,5622_ps_dnn_0_elephant_10_n02504458_12555.png
resnet18,6,23,NaN,elephant,elephant,0,5623_ps_dnn_0_elephant_10_n02504458_8190.png
resnet18,6,24,NaN,elephant,elephant,0,5624_ps_dnn_0_elephant_10_n02504013_13422.png
resnet18,6,25,NaN,elephant,elephant,0,5625_ps_dnn_0_elephant_10_n02504458_7804.png
resnet18,6,26,NaN,elephant,elephant,0,5626_ps_dnn_0_elephant_10_n02504458_5451.png
resnet18,6,27,NaN,elephant,elephant,0,5627_ps_dnn_0_elephant_10_n02504458_6563.png
resnet18,6,28,NaN,elephant,elephant,0,5628_ps_dnn_0_elephant_10_n02504458_1567.png
resnet18,6,29,NaN,elephant,elephant,0,5629_ps_dnn_0_elephant_10_n02504458_4497.png
resnet18,6,30,NaN,elephant,elephant,0,5630_ps_dnn_0_elephant_10_n02504013_7753.png
resnet18,6,31,NaN,bicycle,bicycle,0,5631_ps_dnn_0_bicycle_10_n03792782_10727.png
resnet18,6,32,NaN,bicycle,bicycle,0,5632_ps_dnn_0_bicycle_10_n03792782_34271.png
resnet18,6,33,NaN,bicycle,bicycle,0,5633_ps_dnn_0_bicycle_10_n03792782_7568.png
resnet18,6,34,NaN,bicycle,bicycle,0,5634_ps_dnn_0_bicycle_10_n02835271_17914.png
resnet18,6,35,NaN,bicycle,bicycle,0,5635_ps_dnn_0_bicycle_10_n02835271_7771.png
resnet18,6,36,NaN,bicycle,bicycle,0,5636_ps_dnn_0_bicycle_10_n02835271_13649.png
resnet18,6,37,NaN,bicycle,bicycle,0,5637_ps_dnn_0_bicycle_10_n02835271_5825.png
resnet18,6,38,NaN,bicycle,bicycle,0,5638_ps_dnn_0_bicycle_10_n02835271_17357.png
resnet18,6,39,NaN,bicycle,bicycle,0,5639_ps_dnn_0_bicycle_10_n03792782_1712.png
resnet18,6,40,NaN,bicycle,bicycle,0,5640_ps_dnn_0_bicycle_10_n02835271_1393.png
resnet18,6,41,NaN,airplane,airplane,0,5641_ps_dnn_0_airplane_10_n02690373_4434.png
resnet18,6,42,NaN,airplane,airplane,0,5642_ps_dnn_0_airplane_10_n02690373_5221.png
resnet18,6,43,NaN,airplane,airplane,0,5643_ps_dnn_0_airplane_10_n02690373_4964.png
resnet18,6,44,NaN,airplane,airplane,0,5644_ps_dnn_0_airplane_10_n02690373_1972.png
resnet18,6,45,NaN,boat,airplane,0,5645_ps_dnn_0_airplane_10_n02690373_1912.png
resnet18,6,46,NaN,car,airplane,0,5646_ps_dnn_0_airplane_10_n02690373_7698.png
resnet18,6,47,NaN,airplane,airplane,0,5647_ps_dnn_0_airplane_10_n02690373_5015.png
resnet18,6,48,NaN,airplane,airplane,0,5648_ps_dnn_0_airplane_10_n02690373_6887.png
resnet18,6,49,NaN,airplane,airplane,0,5649_ps_dnn_0_airplane_10_n02690373_8653.png
resnet18,6,50,NaN,airplane,airplane,0,5650_ps_dnn_0_airplane_10_n02690373_303.png
resnet18,6,51,NaN,clock,clock,0,5651_ps_dnn_0_clock_10_n03196217_2507.png
resnet18,6,52,NaN,oven,clock,0,5652_ps_dnn_0_clock_10_n03196217_1611.png
resnet18,6,53,NaN,clock,clock,0,5653_ps_dnn_0_clock_10_n04548280_8156.png
resnet18,6,54,NaN,clock,clock,0,5654_ps_dnn_0_clock_10_n03196217_3600.png
resnet18,6,55,NaN,clock,clock,0,5655_ps_dnn_0_clock_10_n02708093_1975.png
resnet18,6,56,NaN,clock,clock,0,5656_ps_dnn_0_clock_10_n04548280_2299.png
resnet18,6,57,NaN,clock,clock,0,5657_ps_dnn_0_clock_10_n02708093_175.png
resnet18,6,58,NaN,clock,clock,0,5658_ps_dnn_0_clock_10_n02708093_3604.png
resnet18,6,59,NaN,clock,clock,0,5659_ps_dnn_0_clock_10_n03196217_3943.png
resnet18,6,60,NaN,clock,clock,0,5660_ps_dnn_0_clock_10_n03196217_3136.png
