subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,7,1,NaN,chair,knife,0.00,7681_nse_dnn_0.00_knife_10_n03041632_24541.JPEG
cornet-s,7,2,NaN,knife,knife,0.00,7682_nse_dnn_0.00_knife_10_n03041632_44269.JPEG
cornet-s,7,3,NaN,chair,knife,0.00,7683_nse_dnn_0.00_knife_10_n03041632_31849.JPEG
cornet-s,7,4,NaN,knife,knife,0.00,7684_nse_dnn_0.00_knife_10_n03041632_16932.JPEG
cornet-s,7,5,NaN,knife,knife,0.00,7685_nse_dnn_0.00_knife_10_n03041632_11969.JPEG
cornet-s,7,6,NaN,chair,knife,0.00,7686_nse_dnn_0.00_knife_10_n03041632_3516.JPEG
cornet-s,7,7,NaN,knife,knife,0.00,7687_nse_dnn_0.00_knife_10_n03041632_48675.JPEG
cornet-s,7,8,NaN,chair,knife,0.00,7688_nse_dnn_0.00_knife_10_n03041632_33488.JPEG
cornet-s,7,9,NaN,chair,knife,0.00,7689_nse_dnn_0.00_knife_10_n03041632_14442.JPEG
cornet-s,7,10,NaN,knife,knife,0.00,7690_nse_dnn_0.00_knife_10_n03041632_21034.JPEG
cornet-s,7,11,NaN,keyboard,keyboard,0.00,7691_nse_dnn_0.00_keyboard_10_n03085013_20379.JPEG
cornet-s,7,12,NaN,clock,keyboard,0.00,7692_nse_dnn_0.00_keyboard_10_n03085013_1812.JPEG
cornet-s,7,13,NaN,keyboard,keyboard,0.00,7693_nse_dnn_0.00_keyboard_10_n04505470_4540.JPEG
cornet-s,7,14,NaN,bottle,keyboard,0.00,7694_nse_dnn_0.00_keyboard_10_n04505470_5062.JPEG
cornet-s,7,15,NaN,keyboard,keyboard,0.00,7695_nse_dnn_0.00_keyboard_10_n04505470_2599.JPEG
cornet-s,7,16,NaN,keyboard,keyboard,0.00,7696_nse_dnn_0.00_keyboard_10_n04505470_470.JPEG
cornet-s,7,17,NaN,chair,keyboard,0.00,7697_nse_dnn_0.00_keyboard_10_n04505470_2250.JPEG
cornet-s,7,18,NaN,keyboard,keyboard,0.00,7698_nse_dnn_0.00_keyboard_10_n04505470_9156.JPEG
cornet-s,7,19,NaN,keyboard,keyboard,0.00,7699_nse_dnn_0.00_keyboard_10_n03085013_22013.JPEG
cornet-s,7,20,NaN,keyboard,keyboard,0.00,7700_nse_dnn_0.00_keyboard_10_n04505470_2623.JPEG
cornet-s,7,21,NaN,elephant,elephant,0.00,7701_nse_dnn_0.00_elephant_10_n02504458_6830.JPEG
cornet-s,7,22,NaN,elephant,elephant,0.00,7702_nse_dnn_0.00_elephant_10_n02504013_3809.JPEG
cornet-s,7,23,NaN,elephant,elephant,0.00,7703_nse_dnn_0.00_elephant_10_n02504458_7827.JPEG
cornet-s,7,24,NaN,elephant,elephant,0.00,7704_nse_dnn_0.00_elephant_10_n02504458_3616.JPEG
cornet-s,7,25,NaN,elephant,elephant,0.00,7705_nse_dnn_0.00_elephant_10_n02504458_1056.JPEG
cornet-s,7,26,NaN,elephant,elephant,0.00,7706_nse_dnn_0.00_elephant_10_n02504458_4579.JPEG
cornet-s,7,27,NaN,elephant,elephant,0.00,7707_nse_dnn_0.00_elephant_10_n02504458_4841.JPEG
cornet-s,7,28,NaN,elephant,elephant,0.00,7708_nse_dnn_0.00_elephant_10_n02504458_6799.JPEG
cornet-s,7,29,NaN,elephant,elephant,0.00,7709_nse_dnn_0.00_elephant_10_n02504013_2369.JPEG
cornet-s,7,30,NaN,truck,elephant,0.00,7710_nse_dnn_0.00_elephant_10_n02504458_4325.JPEG
cornet-s,7,31,NaN,bicycle,bicycle,0.00,7711_nse_dnn_0.00_bicycle_10_n03792782_19774.JPEG
cornet-s,7,32,NaN,bicycle,bicycle,0.00,7712_nse_dnn_0.00_bicycle_10_n03792782_7426.JPEG
cornet-s,7,33,NaN,bicycle,bicycle,0.00,7713_nse_dnn_0.00_bicycle_10_n02835271_8672.JPEG
cornet-s,7,34,NaN,bicycle,bicycle,0.00,7714_nse_dnn_0.00_bicycle_10_n02835271_3565.JPEG
cornet-s,7,35,NaN,bicycle,bicycle,0.00,7715_nse_dnn_0.00_bicycle_10_n02835271_7256.JPEG
cornet-s,7,36,NaN,bicycle,bicycle,0.00,7716_nse_dnn_0.00_bicycle_10_n03792782_14258.JPEG
cornet-s,7,37,NaN,bicycle,bicycle,0.00,7717_nse_dnn_0.00_bicycle_10_n03792782_42780.JPEG
