subj,session,trial,rt,object_response,category,condition,imagename
resnet50,2,1,NaN,knife,knife,0.00,1281_nse_dnn_0.00_knife_10_n03041632_1884.JPEG
resnet50,2,2,NaN,knife,knife,0.00,1282_nse_dnn_0.00_knife_10_n03041632_21859.JPEG
resnet50,2,3,NaN,knife,knife,0.00,1283_nse_dnn_0.00_knife_10_n03041632_44230.JPEG
resnet50,2,4,NaN,knife,knife,0.00,1284_nse_dnn_0.00_knife_10_n03041632_29862.JPEG
resnet50,2,5,NaN,chair,knife,0.00,1285_nse_dnn_0.00_knife_10_n03041632_95293.JPEG
resnet50,2,6,NaN,knife,knife,0.00,1286_nse_dnn_0.00_knife_10_n03041632_29125.JPEG
resnet50,2,7,NaN,knife,knife,0.00,1287_nse_dnn_0.00_knife_10_n03041632_45312.JPEG
resnet50,2,8,NaN,knife,knife,0.00,1288_nse_dnn_0.00_knife_10_n03041632_24060.JPEG
resnet50,2,9,NaN,knife,knife,0.00,1289_nse_dnn_0.00_knife_10_n03041632_5102.JPEG
resnet50,2,10,NaN,knife,knife,0.00,1290_nse_dnn_0.00_knife_10_n03041632_29858.JPEG
resnet50,2,11,NaN,keyboard,keyboard,0.00,1291_nse_dnn_0.00_keyboard_10_n04505470_8148.JPEG
resnet50,2,12,NaN,cat,keyboard,0.00,1292_nse_dnn_0.00_keyboard_10_n03085013_24649.JPEG
resnet50,2,13,NaN,keyboard,keyboard,0.00,1293_nse_dnn_0.00_keyboard_10_n03085013_23658.JPEG
resnet50,2,14,NaN,keyboard,keyboard,0.00,1294_nse_dnn_0.00_keyboard_10_n03085013_24633.JPEG
resnet50,2,15,NaN,bottle,keyboard,0.00,1295_nse_dnn_0.00_keyboard_10_n04505470_4878.JPEG
resnet50,2,16,NaN,keyboard,keyboard,0.00,1296_nse_dnn_0.00_keyboard_10_n03085013_6432.JPEG
resnet50,2,17,NaN,keyboard,keyboard,0.00,1297_nse_dnn_0.00_keyboard_10_n03085013_5714.JPEG
resnet50,2,18,NaN,keyboard,keyboard,0.00,1298_nse_dnn_0.00_keyboard_10_n03085013_23286.JPEG
resnet50,2,19,NaN,keyboard,keyboard,0.00,1299_nse_dnn_0.00_keyboard_10_n04505470_2488.JPEG
resnet50,2,20,NaN,keyboard,keyboard,0.00,1300_nse_dnn_0.00_keyboard_10_n03085013_11332.JPEG
resnet50,2,21,NaN,elephant,elephant,0.00,1301_nse_dnn_0.00_elephant_10_n02504013_3634.JPEG
resnet50,2,22,NaN,elephant,elephant,0.00,1302_nse_dnn_0.00_elephant_10_n02504013_16929.JPEG
resnet50,2,23,NaN,elephant,elephant,0.00,1303_nse_dnn_0.00_elephant_10_n02504458_825.JPEG
resnet50,2,24,NaN,elephant,elephant,0.00,1304_nse_dnn_0.00_elephant_10_n02504458_6202.JPEG
resnet50,2,25,NaN,elephant,elephant,0.00,1305_nse_dnn_0.00_elephant_10_n02504458_4165.JPEG
resnet50,2,26,NaN,elephant,elephant,0.00,1306_nse_dnn_0.00_elephant_10_n02504013_3569.JPEG
resnet50,2,27,NaN,elephant,elephant,0.00,1307_nse_dnn_0.00_elephant_10_n02504458_5384.JPEG
resnet50,2,28,NaN,elephant,elephant,0.00,1308_nse_dnn_0.00_elephant_10_n02504458_5436.JPEG
resnet50,2,29,NaN,elephant,elephant,0.00,1309_nse_dnn_0.00_elephant_10_n02504013_1576.JPEG
resnet50,2,30,NaN,elephant,elephant,0.00,1310_nse_dnn_0.00_elephant_10_n02504458_6618.JPEG
resnet50,2,31,NaN,bicycle,bicycle,0.00,1311_nse_dnn_0.00_bicycle_10_n03792782_1802.JPEG
resnet50,2,32,NaN,bicycle,bicycle,0.00,1312_nse_dnn_0.00_bicycle_10_n02835271_1691.JPEG
resnet50,2,33,NaN,bicycle,bicycle,0.00,1313_nse_dnn_0.00_bicycle_10_n02835271_695.JPEG
resnet50,2,34,NaN,bicycle,bicycle,0.00,1314_nse_dnn_0.00_bicycle_10_n03792782_59381.JPEG
resnet50,2,35,NaN,bicycle,bicycle,0.00,1315_nse_dnn_0.00_bicycle_10_n03792782_12844.JPEG
resnet50,2,36,NaN,bicycle,bicycle,0.00,1316_nse_dnn_0.00_bicycle_10_n02835271_8327.JPEG
resnet50,2,37,NaN,bicycle,bicycle,0.00,1317_nse_dnn_0.00_bicycle_10_n02835271_8881.JPEG
resnet50,2,38,NaN,bicycle,bicycle,0.00,1318_nse_dnn_0.00_bicycle_10_n03792782_1155.JPEG
resnet50,2,39,NaN,bicycle,bicycle,0.00,1319_nse_dnn_0.00_bicycle_10_n02835271_6362.JPEG
resnet50,2,40,NaN,bicycle,bicycle,0.00,1320_nse_dnn_0.00_bicycle_10_n03792782_15101.JPEG
resnet50,2,41,NaN,airplane,airplane,0.00,1321_nse_dnn_0.00_airplane_10_n02690373_1815.JPEG
resnet50,2,42,NaN,airplane,airplane,0.00,1322_nse_dnn_0.00_airplane_10_n02690373_16620.JPEG
resnet50,2,43,NaN,airplane,airplane,0.00,1323_nse_dnn_0.00_airplane_10_n02690373_1295.JPEG
resnet50,2,44,NaN,airplane,airplane,0.00,1324_nse_dnn_0.00_airplane_10_n02690373_6899.JPEG
resnet50,2,45,NaN,airplane,airplane,0.00,1325_nse_dnn_0.00_airplane_10_n02690373_5712.JPEG
resnet50,2,46,NaN,airplane,airplane,0.00,1326_nse_dnn_0.00_airplane_10_n02690373_8446.JPEG
resnet50,2,47,NaN,airplane,airplane,0.00,1327_nse_dnn_0.00_airplane_10_n02690373_12964.JPEG
resnet50,2,48,NaN,airplane,airplane,0.00,1328_nse_dnn_0.00_airplane_10_n02690373_2010.JPEG
resnet50,2,49,NaN,airplane,airplane,0.00,1329_nse_dnn_0.00_airplane_10_n02690373_3588.JPEG
resnet50,2,50,NaN,airplane,airplane,0.00,1330_nse_dnn_0.00_airplane_10_n02690373_5885.JPEG
resnet50,2,51,NaN,clock,clock,0.00,1331_nse_dnn_0.00_clock_10_n04548280_7868.JPEG
resnet50,2,52,NaN,clock,clock,0.00,1332_nse_dnn_0.00_clock_10_n02708093_7944.JPEG
resnet50,2,53,NaN,clock,clock,0.00,1333_nse_dnn_0.00_clock_10_n02708093_6959.JPEG
resnet50,2,54,NaN,clock,clock,0.00,1334_nse_dnn_0.00_clock_10_n03196217_5404.JPEG
resnet50,2,55,NaN,clock,clock,0.00,1335_nse_dnn_0.00_clock_10_n02708093_8234.JPEG
resnet50,2,56,NaN,clock,clock,0.00,1336_nse_dnn_0.00_clock_10_n04548280_7490.JPEG
resnet50,2,57,NaN,clock,clock,0.00,1337_nse_dnn_0.00_clock_10_n03196217_2695.JPEG
resnet50,2,58,NaN,clock,clock,0.00,1338_nse_dnn_0.00_clock_10_n03196217_3695.JPEG
resnet50,2,59,NaN,clock,clock,0.00,1339_nse_dnn_0.00_clock_10_n03196217_5610.JPEG
resnet50,2,60,NaN,clock,clock,0.00,1340_nse_dnn_0.00_clock_10_n03196217_50.JPEG
resnet50,2,61,NaN,oven,oven,0.00,1341_nse_dnn_0.00_oven_10_n04111531_12053.JPEG
resnet50,2,62,NaN,oven,oven,0.00,1342_nse_dnn_0.00_oven_10_n04111531_7252.JPEG
resnet50,2,63,NaN,oven,oven,0.00,1343_nse_dnn_0.00_oven_10_n04111531_12103.JPEG
resnet50,2,64,NaN,oven,oven,0.00,1344_nse_dnn_0.00_oven_10_n04111531_1922.JPEG
resnet50,2,65,NaN,oven,oven,0.00,1345_nse_dnn_0.00_oven_10_n04111531_24065.JPEG
resnet50,2,66,NaN,oven,oven,0.00,1346_nse_dnn_0.00_oven_10_n04111531_12885.JPEG
resnet50,2,67,NaN,oven,oven,0.00,1347_nse_dnn_0.00_oven_10_n04111531_14279.JPEG
resnet50,2,68,NaN,chair,oven,0.00,1348_nse_dnn_0.00_oven_10_n04111531_10403.JPEG
resnet50,2,69,NaN,bear,oven,0.00,1349_nse_dnn_0.00_oven_10_n04111531_4331.JPEG
resnet50,2,70,NaN,oven,oven,0.00,1350_nse_dnn_0.00_oven_10_n04111531_17781.JPEG
resnet50,2,71,NaN,chair,chair,0.00,1351_nse_dnn_0.00_chair_10_n02791124_57.JPEG
resnet50,2,72,NaN,chair,chair,0.00,1352_nse_dnn_0.00_chair_10_n03376595_19214.JPEG
resnet50,2,73,NaN,chair,chair,0.00,1353_nse_dnn_0.00_chair_10_n03376595_8319.JPEG
resnet50,2,74,NaN,chair,chair,0.00,1354_nse_dnn_0.00_chair_10_n02791124_2491.JPEG
resnet50,2,75,NaN,chair,chair,0.00,1355_nse_dnn_0.00_chair_10_n03376595_120.JPEG
resnet50,2,76,NaN,chair,chair,0.00,1356_nse_dnn_0.00_chair_10_n03376595_2234.JPEG
resnet50,2,77,NaN,chair,chair,0.00,1357_nse_dnn_0.00_chair_10_n04099969_15880.JPEG
resnet50,2,78,NaN,chair,chair,0.00,1358_nse_dnn_0.00_chair_10_n03376595_5730.JPEG
resnet50,2,79,NaN,chair,chair,0.00,1359_nse_dnn_0.00_chair_10_n04429376_22626.JPEG
resnet50,2,80,NaN,chair,chair,0.00,1360_nse_dnn_0.00_chair_10_n04099969_7191.JPEG
resnet50,2,81,NaN,bear,bear,0.00,1361_nse_dnn_0.00_bear_10_n02134418_751.JPEG
resnet50,2,82,NaN,bear,bear,0.00,1362_nse_dnn_0.00_bear_10_n02133161_12304.JPEG
resnet50,2,83,NaN,bear,bear,0.00,1363_nse_dnn_0.00_bear_10_n02133161_491.JPEG
resnet50,2,84,NaN,bear,bear,0.00,1364_nse_dnn_0.00_bear_10_n02134084_12987.JPEG
resnet50,2,85,NaN,bear,bear,0.00,1365_nse_dnn_0.00_bear_10_n02133161_714.JPEG
resnet50,2,86,NaN,bear,bear,0.00,1366_nse_dnn_0.00_bear_10_n02132136_9232.JPEG
resnet50,2,87,NaN,bear,bear,0.00,1367_nse_dnn_0.00_bear_10_n02134418_822.JPEG
resnet50,2,88,NaN,bear,bear,0.00,1368_nse_dnn_0.00_bear_10_n02134418_838.JPEG
resnet50,2,89,NaN,bear,bear,0.00,1369_nse_dnn_0.00_bear_10_n02134084_7559.JPEG
resnet50,2,90,NaN,bear,bear,0.00,1370_nse_dnn_0.00_bear_10_n02133161_656.JPEG
resnet50,2,91,NaN,boat,boat,0.00,1371_nse_dnn_0.00_boat_10_n03662601_1885.JPEG
resnet50,2,92,NaN,boat,boat,0.00,1372_nse_dnn_0.00_boat_10_n03662601_18953.JPEG
resnet50,2,93,NaN,boat,boat,0.00,1373_nse_dnn_0.00_boat_10_n03344393_6914.JPEG
resnet50,2,94,NaN,boat,boat,0.00,1374_nse_dnn_0.00_boat_10_n04273569_6048.JPEG
resnet50,2,95,NaN,boat,boat,0.00,1375_nse_dnn_0.00_boat_10_n04612504_13034.JPEG
resnet50,2,96,NaN,boat,boat,0.00,1376_nse_dnn_0.00_boat_10_n03662601_25458.JPEG
resnet50,2,97,NaN,boat,boat,0.00,1377_nse_dnn_0.00_boat_10_n03662601_6241.JPEG
resnet50,2,98,NaN,boat,boat,0.00,1378_nse_dnn_0.00_boat_10_n04273569_247.JPEG
resnet50,2,99,NaN,boat,boat,0.00,1379_nse_dnn_0.00_boat_10_n04273569_3465.JPEG
resnet50,2,100,NaN,boat,boat,0.00,1380_nse_dnn_0.00_boat_10_n04273569_5119.JPEG
resnet50,2,101,NaN,bear,cat,0.00,1381_nse_dnn_0.00_cat_10_n02123597_11877.JPEG
resnet50,2,102,NaN,cat,cat,0.00,1382_nse_dnn_0.00_cat_10_n02123394_2289.JPEG
resnet50,2,103,NaN,cat,cat,0.00,1383_nse_dnn_0.00_cat_10_n02123394_1136.JPEG
resnet50,2,104,NaN,bicycle,cat,0.00,1384_nse_dnn_0.00_cat_10_n02123045_2286.JPEG
resnet50,2,105,NaN,cat,cat,0.00,1385_nse_dnn_0.00_cat_10_n02125311_22884.JPEG
resnet50,2,106,NaN,cat,cat,0.00,1386_nse_dnn_0.00_cat_10_n02123045_432.JPEG
resnet50,2,107,NaN,cat,cat,0.00,1387_nse_dnn_0.00_cat_10_n02123159_8079.JPEG
resnet50,2,108,NaN,cat,cat,0.00,1388_nse_dnn_0.00_cat_10_n02123159_5856.JPEG
resnet50,2,109,NaN,cat,cat,0.00,1389_nse_dnn_0.00_cat_10_n02123045_6245.JPEG
resnet50,2,110,NaN,cat,cat,0.00,1390_nse_dnn_0.00_cat_10_n02123597_4826.JPEG
resnet50,2,111,NaN,bottle,bottle,0.00,1391_nse_dnn_0.00_bottle_10_n03937543_5617.JPEG
resnet50,2,112,NaN,bottle,bottle,0.00,1392_nse_dnn_0.00_bottle_10_n04560804_2266.JPEG
resnet50,2,113,NaN,bottle,bottle,0.00,1393_nse_dnn_0.00_bottle_10_n03937543_5407.JPEG
resnet50,2,114,NaN,bottle,bottle,0.00,1394_nse_dnn_0.00_bottle_10_n02823428_4247.JPEG
resnet50,2,115,NaN,bottle,bottle,0.00,1395_nse_dnn_0.00_bottle_10_n04560804_30737.JPEG
resnet50,2,116,NaN,bottle,bottle,0.00,1396_nse_dnn_0.00_bottle_10_n03983396_12337.JPEG
resnet50,2,117,NaN,bottle,bottle,0.00,1397_nse_dnn_0.00_bottle_10_n04560804_14102.JPEG
resnet50,2,118,NaN,bottle,bottle,0.00,1398_nse_dnn_0.00_bottle_10_n03937543_10972.JPEG
resnet50,2,119,NaN,bottle,bottle,0.00,1399_nse_dnn_0.00_bottle_10_n04579145_3133.JPEG
resnet50,2,120,NaN,bottle,bottle,0.00,1400_nse_dnn_0.00_bottle_10_n04557648_777.JPEG
resnet50,2,121,NaN,truck,truck,0.00,1401_nse_dnn_0.00_truck_10_n03417042_802.JPEG
resnet50,2,122,NaN,truck,truck,0.00,1402_nse_dnn_0.00_truck_10_n03417042_910.JPEG
resnet50,2,123,NaN,truck,truck,0.00,1403_nse_dnn_0.00_truck_10_n03417042_4980.JPEG
resnet50,2,124,NaN,truck,truck,0.00,1404_nse_dnn_0.00_truck_10_n04467665_68475.JPEG
