subj,session,trial,rt,object_response,category,condition,imagename
resnet50-trained-on-SIN,1,1,NaN,bird,airplane,NaN,airplane1-bicycle2.png
resnet50-trained-on-SIN,1,2,NaN,oven,airplane,NaN,airplane1-chair2.png
resnet50-trained-on-SIN,1,3,NaN,airplane,airplane,NaN,airplane1-clock1.png
resnet50-trained-on-SIN,1,4,NaN,clock,airplane,NaN,airplane1-elephant1.png
resnet50-trained-on-SIN,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
resnet50-trained-on-SIN,1,6,NaN,elephant,airplane,NaN,airplane10-bear3.png
resnet50-trained-on-SIN,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
resnet50-trained-on-SIN,1,8,NaN,airplane,airplane,NaN,airplane10-car3.png
resnet50-trained-on-SIN,1,9,NaN,knife,airplane,NaN,airplane10-cat2.png
resnet50-trained-on-SIN,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png
resnet50-trained-on-SIN,1,11,NaN,chair,airplane,NaN,airplane10-elephant1.png
resnet50-trained-on-SIN,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png
resnet50-trained-on-SIN,1,13,NaN,airplane,airplane,NaN,airplane10-oven2.png
resnet50-trained-on-SIN,1,14,NaN,airplane,airplane,NaN,airplane10-truck1.png
resnet50-trained-on-SIN,1,15,NaN,elephant,airplane,NaN,airplane2-bear1.png
resnet50-trained-on-SIN,1,16,NaN,bottle,airplane,NaN,airplane2-bicycle1.png
resnet50-trained-on-SIN,1,17,NaN,cat,airplane,NaN,airplane2-bird3.png
resnet50-trained-on-SIN,1,18,NaN,elephant,airplane,NaN,airplane2-bottle1.png
resnet50-trained-on-SIN,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png
resnet50-trained-on-SIN,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png
resnet50-trained-on-SIN,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
resnet50-trained-on-SIN,1,22,NaN,oven,airplane,NaN,airplane3-car1.png
resnet50-trained-on-SIN,1,23,NaN,dog,airplane,NaN,airplane3-cat1.png
resnet50-trained-on-SIN,1,24,NaN,boat,airplane,NaN,airplane3-chair3.png
resnet50-trained-on-SIN,1,25,NaN,bottle,airplane,NaN,airplane3-clock1.png
resnet50-trained-on-SIN,1,26,NaN,clock,airplane,NaN,airplane3-dog1.png
resnet50-trained-on-SIN,1,27,NaN,bottle,airplane,NaN,airplane3-elephant1.png
resnet50-trained-on-SIN,1,28,NaN,knife,airplane,NaN,airplane3-keyboard2.png
resnet50-trained-on-SIN,1,29,NaN,oven,airplane,NaN,airplane3-oven1.png
resnet50-trained-on-SIN,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png
resnet50-trained-on-SIN,1,31,NaN,elephant,airplane,NaN,airplane4-bear3.png
resnet50-trained-on-SIN,1,32,NaN,bottle,airplane,NaN,airplane4-bicycle2.png
resnet50-trained-on-SIN,1,33,NaN,elephant,airplane,NaN,airplane4-bird3.png
resnet50-trained-on-SIN,1,34,NaN,clock,airplane,NaN,airplane4-boat3.png
resnet50-trained-on-SIN,1,35,NaN,elephant,airplane,NaN,airplane4-bottle1.png
resnet50-trained-on-SIN,1,36,NaN,oven,airplane,NaN,airplane4-car1.png
resnet50-trained-on-SIN,1,37,NaN,knife,airplane,NaN,airplane4-cat3.png
resnet50-trained-on-SIN,1,38,NaN,bear,airplane,NaN,airplane4-dog2.png
resnet50-trained-on-SIN,1,39,NaN,chair,airplane,NaN,airplane4-elephant1.png
resnet50-trained-on-SIN,1,40,NaN,knife,airplane,NaN,airplane4-keyboard3.png
resnet50-trained-on-SIN,1,41,NaN,bottle,airplane,NaN,airplane4-knife1.png
resnet50-trained-on-SIN,1,42,NaN,truck,airplane,NaN,airplane4-truck2.png
resnet50-trained-on-SIN,1,43,NaN,bear,airplane,NaN,airplane5-bear2.png
resnet50-trained-on-SIN,1,44,NaN,bottle,airplane,NaN,airplane5-bicycle1.png
resnet50-trained-on-SIN,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
resnet50-trained-on-SIN,1,46,NaN,bottle,airplane,NaN,airplane5-boat3.png
resnet50-trained-on-SIN,1,47,NaN,bottle,airplane,NaN,airplane5-bottle3.png
resnet50-trained-on-SIN,1,48,NaN,chair,airplane,NaN,airplane5-chair3.png
resnet50-trained-on-SIN,1,49,NaN,cat,airplane,NaN,airplane5-dog3.png
resnet50-trained-on-SIN,1,50,NaN,chair,airplane,NaN,airplane5-knife1.png
resnet50-trained-on-SIN,1,51,NaN,airplane,airplane,NaN,airplane5-oven3.png
resnet50-trained-on-SIN,1,52,NaN,elephant,airplane,NaN,airplane6-bear3.png
resnet50-trained-on-SIN,1,53,NaN,airplane,airplane,NaN,airplane6-bottle2.png
resnet50-trained-on-SIN,1,54,NaN,airplane,airplane,NaN,airplane6-chair3.png
resnet50-trained-on-SIN,1,55,NaN,airplane,airplane,NaN,airplane6-keyboard3.png
resnet50-trained-on-SIN,1,56,NaN,airplane,airplane,NaN,airplane6-knife1.png
resnet50-trained-on-SIN,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
resnet50-trained-on-SIN,1,58,NaN,bird,airplane,NaN,airplane7-bird3.png
resnet50-trained-on-SIN,1,59,NaN,airplane,airplane,NaN,airplane7-boat2.png
resnet50-trained-on-SIN,1,60,NaN,airplane,airplane,NaN,airplane7-bottle3.png
resnet50-trained-on-SIN,1,61,NaN,airplane,airplane,NaN,airplane7-car1.png
resnet50-trained-on-SIN,1,62,NaN,knife,airplane,NaN,airplane7-cat3.png
resnet50-trained-on-SIN,1,63,NaN,knife,airplane,NaN,airplane7-clock3.png
resnet50-trained-on-SIN,1,64,NaN,knife,airplane,NaN,airplane7-keyboard1.png
resnet50-trained-on-SIN,1,65,NaN,airplane,airplane,NaN,airplane7-truck1.png
resnet50-trained-on-SIN,1,66,NaN,oven,airplane,NaN,airplane8-bicycle3.png
resnet50-trained-on-SIN,1,67,NaN,bottle,airplane,NaN,airplane8-bird1.png
resnet50-trained-on-SIN,1,68,NaN,clock,airplane,NaN,airplane8-chair1.png
resnet50-trained-on-SIN,1,69,NaN,bottle,airplane,NaN,airplane8-clock2.png
resnet50-trained-on-SIN,1,70,NaN,airplane,airplane,NaN,airplane8-elephant3.png
resnet50-trained-on-SIN,1,71,NaN,oven,airplane,NaN,airplane8-oven2.png
resnet50-trained-on-SIN,1,72,NaN,knife,airplane,NaN,airplane8-truck3.png
resnet50-trained-on-SIN,1,73,NaN,chair,airplane,NaN,airplane9-airplane2.png
resnet50-trained-on-SIN,1,74,NaN,bicycle,airplane,NaN,airplane9-boat1.png
resnet50-trained-on-SIN,1,75,NaN,knife,airplane,NaN,airplane9-car2.png
resnet50-trained-on-SIN,1,76,NaN,knife,airplane,NaN,airplane9-clock1.png
resnet50-trained-on-SIN,1,77,NaN,knife,airplane,NaN,airplane9-keyboard2.png
resnet50-trained-on-SIN,1,78,NaN,knife,airplane,NaN,airplane9-knife3.png
