subj,session,trial,rt,object_response,category,condition,imagename
bagnet9,1,1,NaN,clock,airplane,NaN,airplane1.png
bagnet9,1,2,NaN,clock,airplane,NaN,airplane10.png
bagnet9,1,3,NaN,clock,airplane,NaN,airplane2.png
bagnet9,1,4,NaN,clock,airplane,NaN,airplane3.png
bagnet9,1,5,NaN,clock,airplane,NaN,airplane4.png
bagnet9,1,6,NaN,clock,airplane,NaN,airplane5.png
bagnet9,1,7,NaN,clock,airplane,NaN,airplane6.png
bagnet9,1,8,NaN,clock,airplane,NaN,airplane7.png
bagnet9,1,9,NaN,clock,airplane,NaN,airplane8.png
bagnet9,1,10,NaN,clock,airplane,NaN,airplane9.png
bagnet9,1,11,NaN,clock,bear,NaN,bear1.png
bagnet9,1,12,NaN,clock,bear,NaN,bear10.png
bagnet9,1,13,NaN,clock,bear,NaN,bear2.png
bagnet9,1,14,NaN,clock,bear,NaN,bear3.png
bagnet9,1,15,NaN,clock,bear,NaN,bear4.png
bagnet9,1,16,NaN,clock,bear,NaN,bear5.png
bagnet9,1,17,NaN,clock,bear,NaN,bear6.png
bagnet9,1,18,NaN,clock,bear,NaN,bear7.png
bagnet9,1,19,NaN,clock,bear,NaN,bear8.png
bagnet9,1,20,NaN,clock,bear,NaN,bear9.png
bagnet9,1,21,NaN,clock,bicycle,NaN,bicycle1.png
bagnet9,1,22,NaN,clock,bicycle,NaN,bicycle10.png
bagnet9,1,23,NaN,clock,bicycle,NaN,bicycle2.png
bagnet9,1,24,NaN,clock,bicycle,NaN,bicycle3.png
bagnet9,1,25,NaN,clock,bicycle,NaN,bicycle4.png
bagnet9,1,26,NaN,clock,bicycle,NaN,bicycle5.png
bagnet9,1,27,NaN,clock,bicycle,NaN,bicycle6.png
bagnet9,1,28,NaN,clock,bicycle,NaN,bicycle7.png
bagnet9,1,29,NaN,clock,bicycle,NaN,bicycle8.png
bagnet9,1,30,NaN,clock,bicycle,NaN,bicycle9.png
bagnet9,1,31,NaN,clock,bird,NaN,bird1.png
bagnet9,1,32,NaN,clock,bird,NaN,bird10.png
bagnet9,1,33,NaN,clock,bird,NaN,bird2.png
bagnet9,1,34,NaN,clock,bird,NaN,bird3.png
bagnet9,1,35,NaN,clock,bird,NaN,bird4.png
bagnet9,1,36,NaN,clock,bird,NaN,bird5.png
bagnet9,1,37,NaN,clock,bird,NaN,bird6.png
bagnet9,1,38,NaN,clock,bird,NaN,bird7.png
bagnet9,1,39,NaN,clock,bird,NaN,bird8.png
bagnet9,1,40,NaN,clock,bird,NaN,bird9.png
bagnet9,1,41,NaN,clock,boat,NaN,boat1.png
bagnet9,1,42,NaN,clock,boat,NaN,boat10.png
bagnet9,1,43,NaN,clock,boat,NaN,boat2.png
bagnet9,1,44,NaN,clock,boat,NaN,boat3.png
bagnet9,1,45,NaN,clock,boat,NaN,boat4.png
