subj,session,trial,rt,object_response,category,condition,imagename
vgg16-bn,1,1,NaN,clock,airplane,NaN,airplane1.png
vgg16-bn,1,2,NaN,knife,airplane,NaN,airplane10.png
vgg16-bn,1,3,NaN,clock,airplane,NaN,airplane2.png
vgg16-bn,1,4,NaN,clock,airplane,NaN,airplane3.png
vgg16-bn,1,5,NaN,knife,airplane,NaN,airplane4.png
vgg16-bn,1,6,NaN,clock,airplane,NaN,airplane5.png
vgg16-bn,1,7,NaN,knife,airplane,NaN,airplane6.png
vgg16-bn,1,8,NaN,clock,airplane,NaN,airplane7.png
vgg16-bn,1,9,NaN,clock,airplane,NaN,airplane8.png
vgg16-bn,1,10,NaN,clock,airplane,NaN,airplane9.png
vgg16-bn,1,11,NaN,dog,bear,NaN,bear1.png
vgg16-bn,1,12,NaN,knife,bear,NaN,bear10.png
vgg16-bn,1,13,NaN,knife,bear,NaN,bear2.png
vgg16-bn,1,14,NaN,clock,bear,NaN,bear3.png
vgg16-bn,1,15,NaN,knife,bear,NaN,bear4.png
vgg16-bn,1,16,NaN,knife,bear,NaN,bear5.png
vgg16-bn,1,17,NaN,knife,bear,NaN,bear6.png
vgg16-bn,1,18,NaN,dog,bear,NaN,bear7.png
vgg16-bn,1,19,NaN,dog,bear,NaN,bear8.png
vgg16-bn,1,20,NaN,dog,bear,NaN,bear9.png
vgg16-bn,1,21,NaN,keyboard,bicycle,NaN,bicycle1.png
vgg16-bn,1,22,NaN,clock,bicycle,NaN,bicycle10.png
vgg16-bn,1,23,NaN,clock,bicycle,NaN,bicycle2.png
vgg16-bn,1,24,NaN,dog,bicycle,NaN,bicycle3.png
vgg16-bn,1,25,NaN,dog,bicycle,NaN,bicycle4.png
vgg16-bn,1,26,NaN,clock,bicycle,NaN,bicycle5.png
vgg16-bn,1,27,NaN,knife,bicycle,NaN,bicycle6.png
vgg16-bn,1,28,NaN,clock,bicycle,NaN,bicycle7.png
vgg16-bn,1,29,NaN,clock,bicycle,NaN,bicycle8.png
vgg16-bn,1,30,NaN,clock,bicycle,NaN,bicycle9.png
