subj,session,trial,rt,object_response,category,condition,imagename
alexnet,1,1,NaN,airplane,airplane,NaN,airplane1.png
alexnet,1,2,NaN,airplane,airplane,NaN,airplane10.png
alexnet,1,3,NaN,airplane,airplane,NaN,airplane2.png
alexnet,1,4,NaN,airplane,airplane,NaN,airplane3.png
alexnet,1,5,NaN,airplane,airplane,NaN,airplane4.png
alexnet,1,6,NaN,airplane,airplane,NaN,airplane5.png
alexnet,1,7,NaN,bird,airplane,NaN,airplane6.png
alexnet,1,8,NaN,airplane,airplane,NaN,airplane7.png
alexnet,1,9,NaN,knife,airplane,NaN,airplane8.png
alexnet,1,10,NaN,chair,airplane,NaN,airplane9.png
alexnet,1,11,NaN,chair,bear,NaN,bear1.png
alexnet,1,12,NaN,bear,bear,NaN,bear10.png
alexnet,1,13,NaN,elephant,bear,NaN,bear2.png
alexnet,1,14,NaN,chair,bear,NaN,bear3.png
alexnet,1,15,NaN,elephant,bear,NaN,bear4.png
alexnet,1,16,NaN,elephant,bear,NaN,bear5.png
alexnet,1,17,NaN,knife,bear,NaN,bear6.png
alexnet,1,18,NaN,knife,bear,NaN,bear7.png
alexnet,1,19,NaN,elephant,bear,NaN,bear8.png
alexnet,1,20,NaN,bird,bear,NaN,bear9.png
alexnet,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
alexnet,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
alexnet,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
alexnet,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
alexnet,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
alexnet,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
alexnet,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
alexnet,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
alexnet,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
alexnet,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
alexnet,1,31,NaN,bird,bird,NaN,bird1.png
alexnet,1,32,NaN,bird,bird,NaN,bird10.png
alexnet,1,33,NaN,knife,bird,NaN,bird2.png
alexnet,1,34,NaN,bottle,bird,NaN,bird3.png
alexnet,1,35,NaN,bird,bird,NaN,bird4.png
alexnet,1,36,NaN,chair,bird,NaN,bird5.png
alexnet,1,37,NaN,bird,bird,NaN,bird6.png
alexnet,1,38,NaN,chair,bird,NaN,bird7.png
alexnet,1,39,NaN,knife,bird,NaN,bird8.png
alexnet,1,40,NaN,bird,bird,NaN,bird9.png
alexnet,1,41,NaN,knife,boat,NaN,boat1.png
alexnet,1,42,NaN,knife,boat,NaN,boat10.png
alexnet,1,43,NaN,knife,boat,NaN,boat2.png
alexnet,1,44,NaN,airplane,boat,NaN,boat3.png
alexnet,1,45,NaN,knife,boat,NaN,boat4.png
alexnet,1,46,NaN,clock,boat,NaN,boat5.png
alexnet,1,47,NaN,knife,boat,NaN,boat6.png
alexnet,1,48,NaN,knife,boat,NaN,boat7.png
alexnet,1,49,NaN,knife,boat,NaN,boat8.png
alexnet,1,50,NaN,clock,boat,NaN,boat9.png
alexnet,1,51,NaN,bottle,bottle,NaN,bottle1.png
alexnet,1,52,NaN,bottle,bottle,NaN,bottle10.png
alexnet,1,53,NaN,bottle,bottle,NaN,bottle2.png
alexnet,1,54,NaN,bottle,bottle,NaN,bottle3.png
alexnet,1,55,NaN,bottle,bottle,NaN,bottle4.png
alexnet,1,56,NaN,bottle,bottle,NaN,bottle5.png
alexnet,1,57,NaN,bottle,bottle,NaN,bottle6.png
alexnet,1,58,NaN,bottle,bottle,NaN,bottle7.png
alexnet,1,59,NaN,bottle,bottle,NaN,bottle8.png
