subj,session,trial,rt,object_response,category,condition,imagename
bagnet17,1,1,NaN,clock,airplane,NaN,airplane1.png
bagnet17,1,2,NaN,knife,airplane,NaN,airplane10.png
bagnet17,1,3,NaN,clock,airplane,NaN,airplane2.png
bagnet17,1,4,NaN,clock,airplane,NaN,airplane3.png
bagnet17,1,5,NaN,knife,airplane,NaN,airplane4.png
bagnet17,1,6,NaN,clock,airplane,NaN,airplane5.png
bagnet17,1,7,NaN,chair,airplane,NaN,airplane6.png
bagnet17,1,8,NaN,knife,airplane,NaN,airplane7.png
bagnet17,1,9,NaN,knife,airplane,NaN,airplane8.png
bagnet17,1,10,NaN,chair,airplane,NaN,airplane9.png
bagnet17,1,11,NaN,knife,bear,NaN,bear1.png
bagnet17,1,12,NaN,knife,bear,NaN,bear10.png
bagnet17,1,13,NaN,knife,bear,NaN,bear2.png
bagnet17,1,14,NaN,knife,bear,NaN,bear3.png
bagnet17,1,15,NaN,chair,bear,NaN,bear4.png
bagnet17,1,16,NaN,chair,bear,NaN,bear5.png
bagnet17,1,17,NaN,chair,bear,NaN,bear6.png
bagnet17,1,18,NaN,knife,bear,NaN,bear7.png
bagnet17,1,19,NaN,knife,bear,NaN,bear8.png
bagnet17,1,20,NaN,knife,bear,NaN,bear9.png
bagnet17,1,21,NaN,chair,bicycle,NaN,bicycle1.png
bagnet17,1,22,NaN,chair,bicycle,NaN,bicycle10.png
bagnet17,1,23,NaN,chair,bicycle,NaN,bicycle2.png
bagnet17,1,24,NaN,clock,bicycle,NaN,bicycle3.png
bagnet17,1,25,NaN,chair,bicycle,NaN,bicycle4.png
bagnet17,1,26,NaN,clock,bicycle,NaN,bicycle5.png
bagnet17,1,27,NaN,knife,bicycle,NaN,bicycle6.png
bagnet17,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
bagnet17,1,29,NaN,chair,bicycle,NaN,bicycle8.png
bagnet17,1,30,NaN,chair,bicycle,NaN,bicycle9.png
bagnet17,1,31,NaN,clock,bird,NaN,bird1.png
bagnet17,1,32,NaN,bird,bird,NaN,bird10.png
bagnet17,1,33,NaN,knife,bird,NaN,bird2.png
bagnet17,1,34,NaN,chair,bird,NaN,bird3.png
bagnet17,1,35,NaN,knife,bird,NaN,bird4.png
bagnet17,1,36,NaN,chair,bird,NaN,bird5.png
bagnet17,1,37,NaN,bird,bird,NaN,bird6.png
bagnet17,1,38,NaN,clock,bird,NaN,bird7.png
bagnet17,1,39,NaN,clock,bird,NaN,bird8.png
bagnet17,1,40,NaN,chair,bird,NaN,bird9.png
bagnet17,1,41,NaN,knife,boat,NaN,boat1.png
bagnet17,1,42,NaN,knife,boat,NaN,boat10.png
bagnet17,1,43,NaN,knife,boat,NaN,boat2.png
