subj,session,trial,rt,object_response,category,condition,imagename
inception-v3,1,1,NaN,airplane,airplane,NaN,airplane1.png
inception-v3,1,2,NaN,airplane,airplane,NaN,airplane10.png
inception-v3,1,3,NaN,airplane,airplane,NaN,airplane2.png
inception-v3,1,4,NaN,airplane,airplane,NaN,airplane3.png
inception-v3,1,5,NaN,airplane,airplane,NaN,airplane4.png
inception-v3,1,6,NaN,airplane,airplane,NaN,airplane5.png
inception-v3,1,7,NaN,airplane,airplane,NaN,airplane6.png
inception-v3,1,8,NaN,cat,airplane,NaN,airplane7.png
inception-v3,1,9,NaN,airplane,airplane,NaN,airplane8.png
inception-v3,1,10,NaN,truck,airplane,NaN,airplane9.png
inception-v3,1,11,NaN,bear,bear,NaN,bear1.png
inception-v3,1,12,NaN,bear,bear,NaN,bear10.png
inception-v3,1,13,NaN,bear,bear,NaN,bear2.png
inception-v3,1,14,NaN,cat,bear,NaN,bear3.png
inception-v3,1,15,NaN,bear,bear,NaN,bear4.png
inception-v3,1,16,NaN,bear,bear,NaN,bear5.png
inception-v3,1,17,NaN,knife,bear,NaN,bear6.png
inception-v3,1,18,NaN,cat,bear,NaN,bear7.png
inception-v3,1,19,NaN,bear,bear,NaN,bear8.png
inception-v3,1,20,NaN,bear,bear,NaN,bear9.png
inception-v3,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
inception-v3,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
inception-v3,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
inception-v3,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
inception-v3,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
inception-v3,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
inception-v3,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
inception-v3,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
inception-v3,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
inception-v3,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
inception-v3,1,31,NaN,bird,bird,NaN,bird1.png
inception-v3,1,32,NaN,bird,bird,NaN,bird10.png
inception-v3,1,33,NaN,cat,bird,NaN,bird2.png
inception-v3,1,34,NaN,bird,bird,NaN,bird3.png
inception-v3,1,35,NaN,bear,bird,NaN,bird4.png
inception-v3,1,36,NaN,bird,bird,NaN,bird5.png
inception-v3,1,37,NaN,bird,bird,NaN,bird6.png
inception-v3,1,38,NaN,bird,bird,NaN,bird7.png
inception-v3,1,39,NaN,bird,bird,NaN,bird8.png
inception-v3,1,40,NaN,bird,bird,NaN,bird9.png
inception-v3,1,41,NaN,knife,boat,NaN,boat1.png
inception-v3,1,42,NaN,knife,boat,NaN,boat10.png
inception-v3,1,43,NaN,boat,boat,NaN,boat2.png
inception-v3,1,44,NaN,boat,boat,NaN,boat3.png
inception-v3,1,45,NaN,cat,boat,NaN,boat4.png
inception-v3,1,46,NaN,clock,boat,NaN,boat5.png
inception-v3,1,47,NaN,knife,boat,NaN,boat6.png
inception-v3,1,48,NaN,knife,boat,NaN,boat7.png
inception-v3,1,49,NaN,knife,boat,NaN,boat8.png
inception-v3,1,50,NaN,knife,boat,NaN,boat9.png
inception-v3,1,51,NaN,bottle,bottle,NaN,bottle1.png
inception-v3,1,52,NaN,bottle,bottle,NaN,bottle10.png
inception-v3,1,53,NaN,bottle,bottle,NaN,bottle2.png
inception-v3,1,54,NaN,bottle,bottle,NaN,bottle3.png
inception-v3,1,55,NaN,bottle,bottle,NaN,bottle4.png
inception-v3,1,56,NaN,bottle,bottle,NaN,bottle5.png
inception-v3,1,57,NaN,bottle,bottle,NaN,bottle6.png
inception-v3,1,58,NaN,bottle,bottle,NaN,bottle7.png
inception-v3,1,59,NaN,bottle,bottle,NaN,bottle8.png
inception-v3,1,60,NaN,bottle,bottle,NaN,bottle9.png
inception-v3,1,61,NaN,dog,car,NaN,car1.png
inception-v3,1,62,NaN,knife,car,NaN,car10.png
inception-v3,1,63,NaN,knife,car,NaN,car2.png
inception-v3,1,64,NaN,knife,car,NaN,car3.png
inception-v3,1,65,NaN,oven,car,NaN,car4.png
inception-v3,1,66,NaN,knife,car,NaN,car5.png
inception-v3,1,67,NaN,dog,car,NaN,car6.png
inception-v3,1,68,NaN,knife,car,NaN,car7.png
inception-v3,1,69,NaN,knife,car,NaN,car8.png
inception-v3,1,70,NaN,knife,car,NaN,car9.png
inception-v3,1,71,NaN,cat,cat,NaN,cat1.png
inception-v3,1,72,NaN,dog,cat,NaN,cat10.png
inception-v3,1,73,NaN,dog,cat,NaN,cat2.png
inception-v3,1,74,NaN,dog,cat,NaN,cat3.png
inception-v3,1,75,NaN,cat,cat,NaN,cat4.png
inception-v3,1,76,NaN,bird,cat,NaN,cat5.png
inception-v3,1,77,NaN,cat,cat,NaN,cat6.png
inception-v3,1,78,NaN,dog,cat,NaN,cat7.png
inception-v3,1,79,NaN,dog,cat,NaN,cat8.png
inception-v3,1,80,NaN,cat,cat,NaN,cat9.png
inception-v3,1,81,NaN,knife,chair,NaN,chair1.png
inception-v3,1,82,NaN,chair,chair,NaN,chair10.png
inception-v3,1,83,NaN,chair,chair,NaN,chair2.png
inception-v3,1,84,NaN,chair,chair,NaN,chair3.png
inception-v3,1,85,NaN,chair,chair,NaN,chair4.png
inception-v3,1,86,NaN,chair,chair,NaN,chair5.png
inception-v3,1,87,NaN,chair,chair,NaN,chair6.png
inception-v3,1,88,NaN,chair,chair,NaN,chair7.png
inception-v3,1,89,NaN,chair,chair,NaN,chair8.png
inception-v3,1,90,NaN,chair,chair,NaN,chair9.png
inception-v3,1,91,NaN,knife,clock,NaN,clock1.png
inception-v3,1,92,NaN,bottle,clock,NaN,clock10.png
inception-v3,1,93,NaN,clock,clock,NaN,clock2.png
inception-v3,1,94,NaN,knife,clock,NaN,clock3.png
inception-v3,1,95,NaN,knife,clock,NaN,clock4.png
inception-v3,1,96,NaN,clock,clock,NaN,clock5.png
inception-v3,1,97,NaN,bear,clock,NaN,clock6.png
inception-v3,1,98,NaN,chair,clock,NaN,clock7.png
inception-v3,1,99,NaN,bottle,clock,NaN,clock8.png
inception-v3,1,100,NaN,bear,clock,NaN,clock9.png
inception-v3,1,101,NaN,dog,dog,NaN,dog1.png
inception-v3,1,102,NaN,dog,dog,NaN,dog10.png
inception-v3,1,103,NaN,elephant,dog,NaN,dog2.png
inception-v3,1,104,NaN,dog,dog,NaN,dog3.png
inception-v3,1,105,NaN,dog,dog,NaN,dog4.png
inception-v3,1,106,NaN,dog,dog,NaN,dog5.png
inception-v3,1,107,NaN,dog,dog,NaN,dog6.png
inception-v3,1,108,NaN,dog,dog,NaN,dog7.png
inception-v3,1,109,NaN,dog,dog,NaN,dog8.png
inception-v3,1,110,NaN,dog,dog,NaN,dog9.png
inception-v3,1,111,NaN,elephant,elephant,NaN,elephant1.png
inception-v3,1,112,NaN,dog,elephant,NaN,elephant10.png
inception-v3,1,113,NaN,elephant,elephant,NaN,elephant2.png
inception-v3,1,114,NaN,elephant,elephant,NaN,elephant3.png
inception-v3,1,115,NaN,elephant,elephant,NaN,elephant4.png
inception-v3,1,116,NaN,bear,elephant,NaN,elephant5.png
inception-v3,1,117,NaN,elephant,elephant,NaN,elephant6.png
inception-v3,1,118,NaN,elephant,elephant,NaN,elephant7.png
inception-v3,1,119,NaN,elephant,elephant,NaN,elephant8.png
inception-v3,1,120,NaN,elephant,elephant,NaN,elephant9.png
inception-v3,1,121,NaN,knife,keyboard,NaN,keyboard1.png
inception-v3,1,122,NaN,knife,keyboard,NaN,keyboard10.png
inception-v3,1,123,NaN,oven,keyboard,NaN,keyboard2.png
inception-v3,1,124,NaN,knife,keyboard,NaN,keyboard3.png
inception-v3,1,125,NaN,knife,keyboard,NaN,keyboard4.png
inception-v3,1,126,NaN,knife,keyboard,NaN,keyboard5.png
inception-v3,1,127,NaN,knife,keyboard,NaN,keyboard6.png
inception-v3,1,128,NaN,knife,keyboard,NaN,keyboard7.png
inception-v3,1,129,NaN,knife,keyboard,NaN,keyboard8.png
inception-v3,1,130,NaN,bear,keyboard,NaN,keyboard9.png
inception-v3,1,131,NaN,clock,knife,NaN,knife1.png
inception-v3,1,132,NaN,knife,knife,NaN,knife10.png
inception-v3,1,133,NaN,knife,knife,NaN,knife2.png
inception-v3,1,134,NaN,clock,knife,NaN,knife3.png
inception-v3,1,135,NaN,knife,knife,NaN,knife4.png
inception-v3,1,136,NaN,knife,knife,NaN,knife5.png
inception-v3,1,137,NaN,knife,knife,NaN,knife6.png
inception-v3,1,138,NaN,knife,knife,NaN,knife7.png
inception-v3,1,139,NaN,knife,knife,NaN,knife8.png
inception-v3,1,140,NaN,knife,knife,NaN,knife9.png
inception-v3,1,141,NaN,knife,oven,NaN,oven1.png
inception-v3,1,142,NaN,knife,oven,NaN,oven10.png
inception-v3,1,143,NaN,knife,oven,NaN,oven2.png
inception-v3,1,144,NaN,bottle,oven,NaN,oven3.png
inception-v3,1,145,NaN,knife,oven,NaN,oven4.png
inception-v3,1,146,NaN,bottle,oven,NaN,oven5.png
inception-v3,1,147,NaN,knife,oven,NaN,oven6.png
inception-v3,1,148,NaN,knife,oven,NaN,oven7.png
inception-v3,1,149,NaN,oven,oven,NaN,oven8.png
inception-v3,1,150,NaN,knife,oven,NaN,oven9.png
inception-v3,1,151,NaN,knife,truck,NaN,truck1.png
inception-v3,1,152,NaN,chair,truck,NaN,truck10.png
inception-v3,1,153,NaN,knife,truck,NaN,truck2.png
inception-v3,1,154,NaN,elephant,truck,NaN,truck3.png
inception-v3,1,155,NaN,keyboard,truck,NaN,truck4.png
inception-v3,1,156,NaN,knife,truck,NaN,truck5.png
inception-v3,1,157,NaN,knife,truck,NaN,truck6.png
inception-v3,1,158,NaN,knife,truck,NaN,truck7.png
inception-v3,1,159,NaN,oven,truck,NaN,truck8.png
inception-v3,1,160,NaN,knife,truck,NaN,truck9.png
