subj,session,trial,rt,object_response,category,condition,imagename
resnet18,1,1,NaN,airplane,airplane,NaN,airplane1.png
resnet18,1,2,NaN,airplane,airplane,NaN,airplane10.png
resnet18,1,3,NaN,airplane,airplane,NaN,airplane2.png
resnet18,1,4,NaN,airplane,airplane,NaN,airplane3.png
resnet18,1,5,NaN,airplane,airplane,NaN,airplane4.png
resnet18,1,6,NaN,airplane,airplane,NaN,airplane5.png
resnet18,1,7,NaN,airplane,airplane,NaN,airplane6.png
resnet18,1,8,NaN,airplane,airplane,NaN,airplane7.png
resnet18,1,9,NaN,airplane,airplane,NaN,airplane8.png
resnet18,1,10,NaN,chair,airplane,NaN,airplane9.png
resnet18,1,11,NaN,clock,bear,NaN,bear1.png
resnet18,1,12,NaN,bear,bear,NaN,bear10.png
resnet18,1,13,NaN,bear,bear,NaN,bear2.png
resnet18,1,14,NaN,knife,bear,NaN,bear3.png
resnet18,1,15,NaN,bear,bear,NaN,bear4.png
resnet18,1,16,NaN,bear,bear,NaN,bear5.png
resnet18,1,17,NaN,bottle,bear,NaN,bear6.png
resnet18,1,18,NaN,bottle,bear,NaN,bear7.png
resnet18,1,19,NaN,bear,bear,NaN,bear8.png
resnet18,1,20,NaN,elephant,bear,NaN,bear9.png
resnet18,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
resnet18,1,22,NaN,chair,bicycle,NaN,bicycle10.png
resnet18,1,23,NaN,chair,bicycle,NaN,bicycle2.png
resnet18,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
resnet18,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
resnet18,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
resnet18,1,27,NaN,chair,bicycle,NaN,bicycle6.png
resnet18,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
resnet18,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
resnet18,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
resnet18,1,31,NaN,bear,bird,NaN,bird1.png
resnet18,1,32,NaN,knife,bird,NaN,bird10.png
resnet18,1,33,NaN,knife,bird,NaN,bird2.png
resnet18,1,34,NaN,knife,bird,NaN,bird3.png
resnet18,1,35,NaN,bird,bird,NaN,bird4.png
resnet18,1,36,NaN,bird,bird,NaN,bird5.png
resnet18,1,37,NaN,cat,bird,NaN,bird6.png
resnet18,1,38,NaN,knife,bird,NaN,bird7.png
resnet18,1,39,NaN,bird,bird,NaN,bird8.png
resnet18,1,40,NaN,bird,bird,NaN,bird9.png
resnet18,1,41,NaN,knife,boat,NaN,boat1.png
resnet18,1,42,NaN,knife,boat,NaN,boat10.png
resnet18,1,43,NaN,knife,boat,NaN,boat2.png
resnet18,1,44,NaN,clock,boat,NaN,boat3.png
resnet18,1,45,NaN,knife,boat,NaN,boat4.png
resnet18,1,46,NaN,clock,boat,NaN,boat5.png
resnet18,1,47,NaN,knife,boat,NaN,boat6.png
resnet18,1,48,NaN,knife,boat,NaN,boat7.png
resnet18,1,49,NaN,knife,boat,NaN,boat8.png
resnet18,1,50,NaN,clock,boat,NaN,boat9.png
resnet18,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet18,1,52,NaN,bottle,bottle,NaN,bottle10.png
