subj,session,trial,rt,object_response,category,condition,imagename
cornet-s,4,1,NaN,knife,knife,0.00,3841_nse_dnn_0.00_knife_10_n03041632_46185.JPEG
cornet-s,4,2,NaN,knife,knife,0.00,3842_nse_dnn_0.00_knife_10_n03041632_87380.JPEG
cornet-s,4,3,NaN,airplane,knife,0.00,3843_nse_dnn_0.00_knife_10_n03041632_11613.JPEG
cornet-s,4,4,NaN,knife,knife,0.00,3844_nse_dnn_0.00_knife_10_n03041632_43634.JPEG
cornet-s,4,5,NaN,knife,knife,0.00,3845_nse_dnn_0.00_knife_10_n03041632_29276.JPEG
cornet-s,4,6,NaN,bottle,knife,0.00,3846_nse_dnn_0.00_knife_10_n03041632_2438.JPEG
cornet-s,4,7,NaN,knife,knife,0.00,3847_nse_dnn_0.00_knife_10_n03041632_20770.JPEG
cornet-s,4,8,NaN,knife,knife,0.00,3848_nse_dnn_0.00_knife_10_n03041632_31301.JPEG
cornet-s,4,9,NaN,knife,knife,0.00,3849_nse_dnn_0.00_knife_10_n03041632_16606.JPEG
cornet-s,4,10,NaN,knife,knife,0.00,3850_nse_dnn_0.00_knife_10_n03041632_14224.JPEG
cornet-s,4,11,NaN,keyboard,keyboard,0.00,3851_nse_dnn_0.00_keyboard_10_n04505470_6421.JPEG
cornet-s,4,12,NaN,keyboard,keyboard,0.00,3852_nse_dnn_0.00_keyboard_10_n04505470_9476.JPEG
cornet-s,4,13,NaN,keyboard,keyboard,0.00,3853_nse_dnn_0.00_keyboard_10_n04505470_2055.JPEG
cornet-s,4,14,NaN,keyboard,keyboard,0.00,3854_nse_dnn_0.00_keyboard_10_n03085013_19687.JPEG
cornet-s,4,15,NaN,keyboard,keyboard,0.00,3855_nse_dnn_0.00_keyboard_10_n04505470_4974.JPEG
cornet-s,4,16,NaN,keyboard,keyboard,0.00,3856_nse_dnn_0.00_keyboard_10_n03085013_22928.JPEG
cornet-s,4,17,NaN,keyboard,keyboard,0.00,3857_nse_dnn_0.00_keyboard_10_n03085013_23115.JPEG
cornet-s,4,18,NaN,keyboard,keyboard,0.00,3858_nse_dnn_0.00_keyboard_10_n03085013_7892.JPEG
cornet-s,4,19,NaN,keyboard,keyboard,0.00,3859_nse_dnn_0.00_keyboard_10_n04505470_206.JPEG
cornet-s,4,20,NaN,keyboard,keyboard,0.00,3860_nse_dnn_0.00_keyboard_10_n04505470_1040.JPEG
cornet-s,4,21,NaN,elephant,elephant,0.00,3861_nse_dnn_0.00_elephant_10_n02504013_4229.JPEG
cornet-s,4,22,NaN,elephant,elephant,0.00,3862_nse_dnn_0.00_elephant_10_n02504458_6412.JPEG
cornet-s,4,23,NaN,truck,elephant,0.00,3863_nse_dnn_0.00_elephant_10_n02504013_2686.JPEG
cornet-s,4,24,NaN,elephant,elephant,0.00,3864_nse_dnn_0.00_elephant_10_n02504458_6107.JPEG
cornet-s,4,25,NaN,elephant,elephant,0.00,3865_nse_dnn_0.00_elephant_10_n02504458_988.JPEG
cornet-s,4,26,NaN,elephant,elephant,0.00,3866_nse_dnn_0.00_elephant_10_n02504458_10058.JPEG
cornet-s,4,27,NaN,elephant,elephant,0.00,3867_nse_dnn_0.00_elephant_10_n02504013_7797.JPEG
cornet-s,4,28,NaN,elephant,elephant,0.00,3868_nse_dnn_0.00_elephant_10_n02504013_4180.JPEG
cornet-s,4,29,NaN,elephant,elephant,0.00,3869_nse_dnn_0.00_elephant_10_n02504458_57.JPEG
cornet-s,4,30,NaN,elephant,elephant,0.00,3870_nse_dnn_0.00_elephant_10_n02504013_3602.JPEG
cornet-s,4,31,NaN,bicycle,bicycle,0.00,3871_nse_dnn_0.00_bicycle_10_n02835271_3256.JPEG
cornet-s,4,32,NaN,bicycle,bicycle,0.00,3872_nse_dnn_0.00_bicycle_10_n03792782_21832.JPEG
cornet-s,4,33,NaN,bicycle,bicycle,0.00,3873_nse_dnn_0.00_bicycle_10_n02835271_7737.JPEG
cornet-s,4,34,NaN,bicycle,bicycle,0.00,3874_nse_dnn_0.00_bicycle_10_n03792782_50569.JPEG
cornet-s,4,35,NaN,bicycle,bicycle,0.00,3875_nse_dnn_0.00_bicycle_10_n03792782_13083.JPEG
cornet-s,4,36,NaN,bicycle,bicycle,0.00,3876_nse_dnn_0.00_bicycle_10_n03792782_8287.JPEG
cornet-s,4,37,NaN,bicycle,bicycle,0.00,3877_nse_dnn_0.00_bicycle_10_n02835271_2714.JPEG
cornet-s,4,38,NaN,bicycle,bicycle,0.00,3878_nse_dnn_0.00_bicycle_10_n03792782_15808.JPEG
cornet-s,4,39,NaN,bicycle,bicycle,0.00,3879_nse_dnn_0.00_bicycle_10_n03792782_30420.JPEG
cornet-s,4,40,NaN,bicycle,bicycle,0.00,3880_nse_dnn_0.00_bicycle_10_n03792782_3815.JPEG
cornet-s,4,41,NaN,airplane,airplane,0.00,3881_nse_dnn_0.00_airplane_10_n02690373_3032.JPEG
cornet-s,4,42,NaN,airplane,airplane,0.00,3882_nse_dnn_0.00_airplane_10_n02690373_813.JPEG
cornet-s,4,43,NaN,airplane,airplane,0.00,3883_nse_dnn_0.00_airplane_10_n02690373_101.JPEG
cornet-s,4,44,NaN,airplane,airplane,0.00,3884_nse_dnn_0.00_airplane_10_n02690373_8141.JPEG
cornet-s,4,45,NaN,airplane,airplane,0.00,3885_nse_dnn_0.00_airplane_10_n02690373_2468.JPEG
cornet-s,4,46,NaN,airplane,airplane,0.00,3886_nse_dnn_0.00_airplane_10_n02690373_462.JPEG
cornet-s,4,47,NaN,airplane,airplane,0.00,3887_nse_dnn_0.00_airplane_10_n02690373_8815.JPEG
cornet-s,4,48,NaN,airplane,airplane,0.00,3888_nse_dnn_0.00_airplane_10_n02690373_4552.JPEG
