subj,session,trial,rt,object_response,category,condition,imagename
ViT-L_32,1,1,NaN,dog,airplane,NaN,airplane10.png
ViT-L_32,1,2,NaN,dog,airplane,NaN,airplane7.png
ViT-L_32,1,3,NaN,knife,airplane,NaN,airplane9.png
ViT-L_32,1,4,NaN,dog,airplane,NaN,airplane4.png
ViT-L_32,1,5,NaN,dog,airplane,NaN,airplane8.png
ViT-L_32,1,6,NaN,dog,airplane,NaN,airplane3.png
ViT-L_32,1,7,NaN,dog,airplane,NaN,airplane6.png
ViT-L_32,1,8,NaN,dog,airplane,NaN,airplane5.png
ViT-L_32,1,9,NaN,dog,airplane,NaN,airplane1.png
ViT-L_32,1,10,NaN,dog,airplane,NaN,airplane2.png
ViT-L_32,1,11,NaN,dog,bear,NaN,bear3.png
ViT-L_32,1,12,NaN,dog,bear,NaN,bear1.png
ViT-L_32,1,13,NaN,dog,bear,NaN,bear4.png
ViT-L_32,1,14,NaN,dog,bear,NaN,bear7.png
ViT-L_32,1,15,NaN,dog,bear,NaN,bear2.png
ViT-L_32,1,16,NaN,dog,bear,NaN,bear6.png
ViT-L_32,1,17,NaN,dog,bear,NaN,bear10.png
ViT-L_32,1,18,NaN,dog,bear,NaN,bear9.png
ViT-L_32,1,19,NaN,dog,bear,NaN,bear5.png
ViT-L_32,1,20,NaN,dog,bear,NaN,bear8.png
ViT-L_32,1,21,NaN,chair,bicycle,NaN,bicycle1.png
ViT-L_32,1,22,NaN,chair,bicycle,NaN,bicycle2.png
ViT-L_32,1,23,NaN,bicycle,bicycle,NaN,bicycle7.png
ViT-L_32,1,24,NaN,chair,bicycle,NaN,bicycle9.png
ViT-L_32,1,25,NaN,bicycle,bicycle,NaN,bicycle3.png
ViT-L_32,1,26,NaN,chair,bicycle,NaN,bicycle5.png
ViT-L_32,1,27,NaN,chair,bicycle,NaN,bicycle4.png
ViT-L_32,1,28,NaN,chair,bicycle,NaN,bicycle8.png
ViT-L_32,1,29,NaN,chair,bicycle,NaN,bicycle6.png
ViT-L_32,1,30,NaN,dog,bicycle,NaN,bicycle10.png
ViT-L_32,1,31,NaN,bird,bird,NaN,bird5.png
ViT-L_32,1,32,NaN,dog,bird,NaN,bird2.png
ViT-L_32,1,33,NaN,dog,bird,NaN,bird10.png
ViT-L_32,1,34,NaN,dog,bird,NaN,bird1.png
ViT-L_32,1,35,NaN,dog,bird,NaN,bird6.png
ViT-L_32,1,36,NaN,bird,bird,NaN,bird9.png
ViT-L_32,1,37,NaN,dog,bird,NaN,bird4.png
ViT-L_32,1,38,NaN,dog,bird,NaN,bird7.png
ViT-L_32,1,39,NaN,dog,bird,NaN,bird8.png
ViT-L_32,1,40,NaN,dog,bird,NaN,bird3.png
ViT-L_32,1,41,NaN,knife,boat,NaN,boat10.png
ViT-L_32,1,42,NaN,knife,boat,NaN,boat4.png
ViT-L_32,1,43,NaN,dog,boat,NaN,boat9.png
ViT-L_32,1,44,NaN,knife,boat,NaN,boat3.png
ViT-L_32,1,45,NaN,boat,boat,NaN,boat5.png
ViT-L_32,1,46,NaN,knife,boat,NaN,boat8.png
ViT-L_32,1,47,NaN,dog,boat,NaN,boat7.png
ViT-L_32,1,48,NaN,knife,boat,NaN,boat2.png
ViT-L_32,1,49,NaN,dog,boat,NaN,boat6.png
ViT-L_32,1,50,NaN,knife,boat,NaN,boat1.png
ViT-L_32,1,51,NaN,bottle,bottle,NaN,bottle2.png
ViT-L_32,1,52,NaN,bottle,bottle,NaN,bottle6.png
ViT-L_32,1,53,NaN,bottle,bottle,NaN,bottle5.png
ViT-L_32,1,54,NaN,bottle,bottle,NaN,bottle1.png
ViT-L_32,1,55,NaN,bottle,bottle,NaN,bottle10.png
ViT-L_32,1,56,NaN,bottle,bottle,NaN,bottle8.png
ViT-L_32,1,57,NaN,bottle,bottle,NaN,bottle3.png
ViT-L_32,1,58,NaN,bottle,bottle,NaN,bottle7.png
ViT-L_32,1,59,NaN,bottle,bottle,NaN,bottle4.png
ViT-L_32,1,60,NaN,bottle,bottle,NaN,bottle9.png
ViT-L_32,1,61,NaN,dog,car,NaN,car8.png
ViT-L_32,1,62,NaN,dog,car,NaN,car5.png
