subj,session,trial,rt,object_response,category,condition,imagename
alexnet,1,1,NaN,chair,airplane,NaN,airplane1.png
alexnet,1,2,NaN,chair,airplane,NaN,airplane10.png
alexnet,1,3,NaN,bird,airplane,NaN,airplane2.png
alexnet,1,4,NaN,bird,airplane,NaN,airplane3.png
alexnet,1,5,NaN,chair,airplane,NaN,airplane4.png
alexnet,1,6,NaN,chair,airplane,NaN,airplane5.png
alexnet,1,7,NaN,bird,airplane,NaN,airplane6.png
alexnet,1,8,NaN,bird,airplane,NaN,airplane7.png
alexnet,1,9,NaN,knife,airplane,NaN,airplane8.png
alexnet,1,10,NaN,chair,airplane,NaN,airplane9.png
alexnet,1,11,NaN,clock,bear,NaN,bear1.png
alexnet,1,12,NaN,clock,bear,NaN,bear10.png
alexnet,1,13,NaN,clock,bear,NaN,bear2.png
alexnet,1,14,NaN,bicycle,bear,NaN,bear3.png
alexnet,1,15,NaN,clock,bear,NaN,bear4.png
alexnet,1,16,NaN,bicycle,bear,NaN,bear5.png
alexnet,1,17,NaN,knife,bear,NaN,bear6.png
alexnet,1,18,NaN,clock,bear,NaN,bear7.png
alexnet,1,19,NaN,bicycle,bear,NaN,bear8.png
alexnet,1,20,NaN,clock,bear,NaN,bear9.png
alexnet,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
alexnet,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
alexnet,1,23,NaN,knife,bicycle,NaN,bicycle2.png
alexnet,1,24,NaN,knife,bicycle,NaN,bicycle3.png
alexnet,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
alexnet,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
alexnet,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
alexnet,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
alexnet,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
alexnet,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
alexnet,1,31,NaN,clock,bird,NaN,bird1.png
alexnet,1,32,NaN,clock,bird,NaN,bird10.png
alexnet,1,33,NaN,clock,bird,NaN,bird2.png
alexnet,1,34,NaN,clock,bird,NaN,bird3.png
alexnet,1,35,NaN,chair,bird,NaN,bird4.png
alexnet,1,36,NaN,knife,bird,NaN,bird5.png
