subj,session,trial,rt,object_response,category,condition,imagename
bagnet17,1,1,NaN,clock,airplane,NaN,airplane1.png
bagnet17,1,2,NaN,bird,airplane,NaN,airplane10.png
bagnet17,1,3,NaN,bird,airplane,NaN,airplane2.png
bagnet17,1,4,NaN,clock,airplane,NaN,airplane3.png
bagnet17,1,5,NaN,cat,airplane,NaN,airplane4.png
bagnet17,1,6,NaN,cat,airplane,NaN,airplane5.png
bagnet17,1,7,NaN,bird,airplane,NaN,airplane6.png
bagnet17,1,8,NaN,clock,airplane,NaN,airplane7.png
bagnet17,1,9,NaN,clock,airplane,NaN,airplane8.png
bagnet17,1,10,NaN,clock,airplane,NaN,airplane9.png
bagnet17,1,11,NaN,cat,bear,NaN,bear1.png
bagnet17,1,12,NaN,cat,bear,NaN,bear10.png
bagnet17,1,13,NaN,cat,bear,NaN,bear2.png
bagnet17,1,14,NaN,bird,bear,NaN,bear3.png
bagnet17,1,15,NaN,cat,bear,NaN,bear4.png
bagnet17,1,16,NaN,cat,bear,NaN,bear5.png
bagnet17,1,17,NaN,cat,bear,NaN,bear6.png
bagnet17,1,18,NaN,cat,bear,NaN,bear7.png
bagnet17,1,19,NaN,bird,bear,NaN,bear8.png
bagnet17,1,20,NaN,cat,bear,NaN,bear9.png
bagnet17,1,21,NaN,cat,bicycle,NaN,bicycle1.png
bagnet17,1,22,NaN,cat,bicycle,NaN,bicycle10.png
bagnet17,1,23,NaN,cat,bicycle,NaN,bicycle2.png
bagnet17,1,24,NaN,cat,bicycle,NaN,bicycle3.png
bagnet17,1,25,NaN,cat,bicycle,NaN,bicycle4.png
bagnet17,1,26,NaN,cat,bicycle,NaN,bicycle5.png
bagnet17,1,27,NaN,cat,bicycle,NaN,bicycle6.png
bagnet17,1,28,NaN,cat,bicycle,NaN,bicycle7.png
bagnet17,1,29,NaN,cat,bicycle,NaN,bicycle8.png
bagnet17,1,30,NaN,cat,bicycle,NaN,bicycle9.png
bagnet17,1,31,NaN,cat,bird,NaN,bird1.png
bagnet17,1,32,NaN,cat,bird,NaN,bird10.png
bagnet17,1,33,NaN,cat,bird,NaN,bird2.png
bagnet17,1,34,NaN,cat,bird,NaN,bird3.png
bagnet17,1,35,NaN,cat,bird,NaN,bird4.png
bagnet17,1,36,NaN,cat,bird,NaN,bird5.png
bagnet17,1,37,NaN,cat,bird,NaN,bird6.png
bagnet17,1,38,NaN,clock,bird,NaN,bird7.png
bagnet17,1,39,NaN,cat,bird,NaN,bird8.png
bagnet17,1,40,NaN,cat,bird,NaN,bird9.png
bagnet17,1,41,NaN,clock,boat,NaN,boat1.png
bagnet17,1,42,NaN,bird,boat,NaN,boat10.png
bagnet17,1,43,NaN,cat,boat,NaN,boat2.png
bagnet17,1,44,NaN,dog,boat,NaN,boat3.png
bagnet17,1,45,NaN,clock,boat,NaN,boat4.png
bagnet17,1,46,NaN,bird,boat,NaN,boat5.png
bagnet17,1,47,NaN,cat,boat,NaN,boat6.png
bagnet17,1,48,NaN,clock,boat,NaN,boat7.png
bagnet17,1,49,NaN,clock,boat,NaN,boat8.png
bagnet17,1,50,NaN,bird,boat,NaN,boat9.png
bagnet17,1,51,NaN,clock,bottle,NaN,bottle1.png
bagnet17,1,52,NaN,bird,bottle,NaN,bottle10.png
