subj,session,trial,rt,object_response,category,condition,imagename
resnet50-trained-on-SIN,1,1,NaN,airplane,airplane,NaN,airplane1.png
resnet50-trained-on-SIN,1,2,NaN,airplane,airplane,NaN,airplane10.png
resnet50-trained-on-SIN,1,3,NaN,airplane,airplane,NaN,airplane2.png
resnet50-trained-on-SIN,1,4,NaN,airplane,airplane,NaN,airplane3.png
resnet50-trained-on-SIN,1,5,NaN,airplane,airplane,NaN,airplane4.png
resnet50-trained-on-SIN,1,6,NaN,airplane,airplane,NaN,airplane5.png
resnet50-trained-on-SIN,1,7,NaN,airplane,airplane,NaN,airplane6.png
resnet50-trained-on-SIN,1,8,NaN,airplane,airplane,NaN,airplane7.png
resnet50-trained-on-SIN,1,9,NaN,airplane,airplane,NaN,airplane8.png
resnet50-trained-on-SIN,1,10,NaN,chair,airplane,NaN,airplane9.png
resnet50-trained-on-SIN,1,11,NaN,cat,bear,NaN,bear1.png
resnet50-trained-on-SIN,1,12,NaN,knife,bear,NaN,bear10.png
resnet50-trained-on-SIN,1,13,NaN,bear,bear,NaN,bear2.png
resnet50-trained-on-SIN,1,14,NaN,bear,bear,NaN,bear3.png
resnet50-trained-on-SIN,1,15,NaN,bear,bear,NaN,bear4.png
resnet50-trained-on-SIN,1,16,NaN,bear,bear,NaN,bear5.png
resnet50-trained-on-SIN,1,17,NaN,bird,bear,NaN,bear6.png
resnet50-trained-on-SIN,1,18,NaN,bottle,bear,NaN,bear7.png
resnet50-trained-on-SIN,1,19,NaN,bear,bear,NaN,bear8.png
resnet50-trained-on-SIN,1,20,NaN,cat,bear,NaN,bear9.png
resnet50-trained-on-SIN,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
resnet50-trained-on-SIN,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
resnet50-trained-on-SIN,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
resnet50-trained-on-SIN,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
resnet50-trained-on-SIN,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
resnet50-trained-on-SIN,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
resnet50-trained-on-SIN,1,27,NaN,chair,bicycle,NaN,bicycle6.png
resnet50-trained-on-SIN,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
resnet50-trained-on-SIN,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
resnet50-trained-on-SIN,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
resnet50-trained-on-SIN,1,31,NaN,bird,bird,NaN,bird1.png
resnet50-trained-on-SIN,1,32,NaN,bird,bird,NaN,bird10.png
resnet50-trained-on-SIN,1,33,NaN,elephant,bird,NaN,bird2.png
resnet50-trained-on-SIN,1,34,NaN,bird,bird,NaN,bird3.png
resnet50-trained-on-SIN,1,35,NaN,bird,bird,NaN,bird4.png
resnet50-trained-on-SIN,1,36,NaN,bird,bird,NaN,bird5.png
resnet50-trained-on-SIN,1,37,NaN,bird,bird,NaN,bird6.png
resnet50-trained-on-SIN,1,38,NaN,bird,bird,NaN,bird7.png
resnet50-trained-on-SIN,1,39,NaN,bird,bird,NaN,bird8.png
resnet50-trained-on-SIN,1,40,NaN,bird,bird,NaN,bird9.png
resnet50-trained-on-SIN,1,41,NaN,knife,boat,NaN,boat1.png
resnet50-trained-on-SIN,1,42,NaN,oven,boat,NaN,boat10.png
resnet50-trained-on-SIN,1,43,NaN,knife,boat,NaN,boat2.png
resnet50-trained-on-SIN,1,44,NaN,clock,boat,NaN,boat3.png
resnet50-trained-on-SIN,1,45,NaN,knife,boat,NaN,boat4.png
resnet50-trained-on-SIN,1,46,NaN,boat,boat,NaN,boat5.png
resnet50-trained-on-SIN,1,47,NaN,bottle,boat,NaN,boat6.png
resnet50-trained-on-SIN,1,48,NaN,boat,boat,NaN,boat7.png
resnet50-trained-on-SIN,1,49,NaN,airplane,boat,NaN,boat8.png
resnet50-trained-on-SIN,1,50,NaN,boat,boat,NaN,boat9.png
resnet50-trained-on-SIN,1,51,NaN,bottle,bottle,NaN,bottle1.png
resnet50-trained-on-SIN,1,52,NaN,bottle,bottle,NaN,bottle10.png
resnet50-trained-on-SIN,1,53,NaN,bottle,bottle,NaN,bottle2.png
